Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,616080,560,21,11,53576,14480,0.500909
0.5,1.08e+06,150520,70,4,137560,27512,0.636715
0.6,1.25076e+06,0,92,18,189688,27512,0.5
0.7,1.02048e+06,225000,98,8,189688,33304,0.710263
0.8,1.202e+06,45000,92,27,189688,47784,0.537385
0.9,1.0196e+06,225000,98,22,189688,53576,0.710428
1,991560,255000,95,30,189688,62264,0.741217
1.1,988200,270000,102,28,189688,68056,0.754244
1.2,943400,300000,101,55,189688,105704,0.788795
1.3,913400,330000,104,64,189688,114392,0.819574
1.4,690480,555000,101,66,126552,140456,0.988306
1.5,956160,300000,33,62,127968,117632,0.785636
1.6,521680,726560,52,8,76048,148040,0.973766
1.7,1.2486e+06,0,50,54,135040,66983,0.5
1.8,690000,555000,94,27,137936,75671,0.988379
1.9,1.11e+06,135000,75,99,127937,133591,0.619849
2,635240,615000,94,65,127937,142279,0.999738
2.1,600000,645000,92,86,127937,208887,0.998695
2.2,885000,374160,48,87,129385,123640,0.85867
2.3,398720,844440,52,15,69216,174824,0.886093
2.4,1.2448e+06,0,50,61,128057,66239,0.5
2.5,765000,481400,82,28,128057,66239,0.950776
2.6,1.05e+06,195000,96,105,130953,131487,0.679523
2.7,795000,465000,110,75,128057,131487,0.935809
2.8,560880,690000,107,86,128201,195199,0.989457
2.9,930000,305880,65,91,128201,114904,0.796797
3,494240,753840,76,31,70856,127440,0.95853
3.1,1.2284e+06,20800,73,76,129152,66063,0.516928
3.2,765000,483760,103,46,129152,68959,0.951727
3.3,1.05e+06,195000,111,120,129152,130967,0.679523
3.4,720000,540000,122,84,129152,130967,0.98
3.5,525000,720000,134,102,128712,203367,0.976056
3.6,848840,394800,97,97,117800,122344,0.882386
3.7,526520,730680,90,35,69216,121984,0.974306
3.8,1.2442e+06,4120,86,78,129808,65895,0.503311
3.9,750000,495000,128,46,129808,65895,0.959738
4,1.065e+06,180000,132,122,129808,129607,0.66432
4.1,780000,465000,143,91,129808,129607,0.939836
4.2,495000,750000,150,55,129808,193319,0.959738
4.3,1.07072e+06,180000,98,75,132704,68056,0.663491
4.4,733920,525000,111,69,87880,97016,0.973198
4.5,870000,375000,136,70,128265,88323,0.8635
4.6,885000,364200,156,84,128265,121995,0.851926
4.7,960000,287760,163,103,128265,149731,0.775038
4.8,787720,450000,162,114,128265,170599,0.930708
4.9,736320,525000,158,119,128265,170599,0.972697
5,735000,507520,157,115,128265,167703,0.967569
5.1,735000,518280,126,96,124528,119024,0.970966
5.2,577640,657840,96,50,128457,119024,0.995804
5.3,1.05e+06,89160,108,57,127252,85091,0.584306
5.4,975000,266640,125,78,127252,85091,0.754447
5.5,840000,405000,159,90,127252,119843,0.891203
5.6,900000,345000,158,106,127252,157491,0.834221
5.7,765000,480000,161,113,127252,167623,0.950207
5.8,750000,510000,161,122,127252,167623,0.964989
5.9,735000,514800,161,126,127252,167623,0.969892
6,750000,487760,145,122,123080,128000,0.957041
6.1,735000,512840,96,84,127252,125264,0.969277
6.2,637960,445080,112,47,92384,156408,0.969259
6.3,1.14e+06,92280,120,78,130180,85427,0.58042
6.4,885000,360000,140,92,127284,105699,0.849026
6.5,795000,450000,162,101,126091,140451,0.928687
6.6,855000,405000,162,112,126091,164763,0.886878
6.7,750000,495000,163,117,126091,164763,0.959738
6.8,735000,510000,163,127,125347,164763,0.968372
6.9,765000,488080,162,130,125347,164763,0.953437
7,720000,527800,144,114,124528,129024,0.976824
7.1,735000,501200,95,76,123080,136104,0.965466
7.2,697000,318960,122,53,101072,85427,0.87838
7.3,1.11e+06,135000,126,92,133633,85427,0.619849
7.4,795000,465000,159,93,133633,111491,0.935809
7.5,960000,285000,176,111,133633,154931,0.772829
7.6,717200,525000,198,106,136529,164763,0.97662
7.7,796800,450000,180,115,134097,164763,0.928187
7.8,764720,495000,114,100,134097,123448,0.956166
7.9,563160,679200,132,54,82016,161115,0.991351
8,1.245e+06,0,136,81,136993,85427,0.5
8.1,945000,300000,157,98,134097,91219,0.788396
8.2,840000,420000,184,107,134097,123075,0.9
8.3,870000,375000,202,120,134097,161115,0.8635
8.4,749680,495000,207,124,133737,161115,0.959815
8.5,789280,465000,165,126,120904,124880,0.937346
8.6,518200,727520,139,75,134097,130672,0.972541
8.7,1.09304e+06,148400,147,78,134097,161115,0.633311
8.8,1.065e+06,182280,162,103,133678,85427,0.666284
8.9,855000,405000,196,111,133678,111491,0.886878
9,930000,315000,209,127,126243,144312,0.803851
9.1,765400,480000,195,128,126243,144312,0.950104
9.2,764040,480000,164,130,126243,124528,0.950453
9.3,634000,615000,121,89,126243,123080,0.999769
9.4,893800,303720,141,72,125016,85427,0.804632
9.5,1.08e+06,150000,150,96,126243,85427,0.63626
9.6,870000,375000,172,105,126243,108595,0.8635
9.7,885000,360000,191,116,126243,146243,0.849026
9.8,885000,360000,192,134,125131,149750,0.849026
9.9,765000,480000,192,134,123952,146854,0.950207
10,705000,555000,193,125,123952,146854,0.986026
10.1,795000,454280,191,126,123952,146854,0.930766
10.2,795000,450000,191,129,123952,146854,0.928687
10.3,750000,495000,167,130,5792,146854,0.959738
10.4,705000,540000,120,109,5792,5792,0.982739
10.5,45000,615000,124,68,5792,5792,0.572781
10.6,120000,45000,124,68,5792,5792,0.828767
10.7,405000,0,134,72,90148,5792,0.5
10.8,885000,60000,138,68,98077,5792,0.567486
10.9,1.065e+06,105000,152,95,127021,150365,0.597642
11,900000,345000,165,106,126928,150365,0.834221
11.1,840000,405000,188,113,126928,153261,0.891203
11.2,870000,375000,191,130,126928,153261,0.8635
11.3,795000,450000,195,133,126928,150365,0.928687
11.4,735000,525000,193,124,126928,150365,0.972973
11.5,780000,465000,192,127,126928,150365,0.939836
11.6,780000,465000,194,130,126928,150365,0.939836
11.7,765000,480000,193,132,126928,149933,0.950207
11.8,765000,495000,193,133,126928,149933,0.956098
11.9,750000,495000,193,133,126928,149933,0.959738
12,735000,510000,193,136,126928,149933,0.968372
12.1,750000,495000,193,137,126928,149933,0.959738
12.2,735000,516160,196,134,129824,149933,0.970315
12.3,750000,493560,194,140,126928,152829,0.95921
12.4,750000,510360,193,148,126928,152829,0.96511
12.5,735000,501920,193,139,126928,149933,0.96571
12.6,720000,532200,177,120,97217,150285,0.978002
12.7,770000,478400,126,113,100113,110096,0.948264
12.8,570000,655920,141,69,95280,151045,0.995112
12.9,870000,105000,143,94,99050,102803,0.618957
13,795000,450000,150,98,99050,125563,0.928687
13.1,810000,435000,164,102,98602,151045,0.916822
13.2,810000,450000,162,106,98602,150329,0.924528
13.3,780000,465000,170,109,98602,150329,0.939836
13.4,795000,450000,177,113,98602,150329,0.928687
13.5,810000,435000,180,117,101498,150329,0.916822
13.6,780000,465000,177,125,98602,153225,0.939836
13.7,735000,525000,179,129,98602,150329,0.972973
13.8,690000,555000,181,117,98602,150329,0.988379
13.9,750000,495000,175,116,95131,161413,0.959738
14,765000,480000,173,121,95131,161487,0.950207
14.1,720000,540000,178,121,95131,161487,0.98
14.2,750000,495000,177,125,95131,161487,0.959738
14.3,705000,540000,177,126,95131,161487,0.982739
14.4,705000,540000,177,126,95131,161487,0.982739
14.5,720000,525000,170,128,84544,161487,0.976056
14.6,645000,615000,172,124,84544,161784,0.999433
14.7,690000,555000,170,123,84544,161784,0.988379
14.8,675000,570000,173,130,87440,166476,0.992937
14.9,675000,570000,168,133,84544,163580,0.992937
15,600000,650200,171,114,84544,169451,0.99839
15.1,750000,496200,170,119,84544,178081,0.960175
15.2,735000,525000,170,124,84544,178081,0.972973
15.3,690000,555000,168,127,84544,178081,0.988379
15.4,645000,600000,172,128,84544,178081,0.998695
15.5,675000,570000,170,130,84544,178081,0.992937
15.6,645000,615000,168,130,80439,178081,0.999433
15.7,630000,615000,170,131,83335,178081,0.999855
15.8,645000,603080,166,130,80439,178273,0.998873
15.9,615000,631160,167,129,79929,181687,0.999832
16,645000,600000,168,144,79929,181687,0.998695
16.1,615000,640560,170,131,82825,178791,0.999586
16.2,675000,572640,163,117,79929,180599,0.993314
16.3,690000,555000,164,121,79929,180599,0.988379
16.4,675000,570000,167,124,79929,180599,0.992937
16.5,675000,570000,167,127,79929,180599,0.992937
16.6,660000,600000,166,128,79929,180599,0.997738
16.7,630000,615000,166,128,77009,180599,0.999855
16.8,630000,615000,166,129,77009,180837,0.999855
16.9,630000,619880,166,127,77009,180837,0.999934
17,630000,615000,169,128,79905,182758,0.999855
17.1,660000,585000,162,137,77009,185654,0.996384
17.2,585000,675000,166,143,77009,182758,0.994924
17.3,630000,611400,166,121,77009,183194,0.999776
17.4,675000,570280,165,117,79905,184385,0.992978
17.5,720000,525000,159,124,77009,184385,0.976056
17.6,615000,645000,164,123,78461,184385,0.999433
17.7,660000,585000,166,126,78461,184385,0.996384
17.8,645000,600000,167,128,78461,184385,0.998695
17.9,645000,600000,167,130,78461,184385,0.998695
18,630000,630000,166,136,78461,184385,1
18.1,615000,621720,167,137,78461,184385,0.99997
18.2,630000,620800,168,129,78461,184385,0.999946
18.3,630000,613400,170,141,81357,187281,0.999822
18.4,645000,608920,165,141,78461,184385,0.999173
18.5,600000,649520,167,116,78461,184385,0.998432
18.6,705000,538920,166,120,78461,184385,0.982486
18.7,690000,555000,166,125,78461,184385,0.988379
