Time,Bbr_1_Bps,Bbr_2_Bps,Bbr_1_PktLoss,Bbr_2_PktLoss,Bbr_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
0.4,616080,560,21,11,53576,14480,0.500909
0.5,1.08e+06,150520,70,4,137560,27512,0.636715
0.6,1.25076e+06,0,92,18,189688,27512,0.5
0.7,1.02048e+06,225000,98,8,189688,33304,0.710263
0.8,1.202e+06,45000,92,27,189688,47784,0.537385
0.9,1.0196e+06,225000,98,22,189688,53576,0.710428
1,991560,255000,95,30,189688,62264,0.741217
1.1,988200,270000,102,28,189688,68056,0.754244
1.2,943400,300000,101,55,189688,105704,0.788795
1.3,913400,330000,104,64,189688,114392,0.819574
1.4,690480,555000,101,66,126552,140456,0.988306
1.5,956160,300000,33,62,127968,117632,0.785636
1.6,521680,726560,52,8,76048,148040,0.973766
1.7,1.2486e+06,0,50,54,135040,66983,0.5
1.8,690000,555000,91,27,135040,75671,0.988379
1.9,1.11e+06,135000,89,99,127937,133591,0.619849
2,713640,540000,94,68,128273,139383,0.981176
2.1,601360,645000,87,85,123600,205991,0.998776
2.2,890720,359160,33,86,128273,123448,0.846833
2.3,450640,788400,51,22,70752,168840,0.93083
2.4,1.23e+06,22560,50,59,128273,66239,0.518335
2.5,825000,428720,77,51,128273,77823,0.909166
2.6,990000,255000,90,100,128273,124223,0.74155
2.7,630000,615000,104,77,128273,141599,0.999855
2.8,825000,420000,110,99,128273,193727,0.904306
2.9,820520,440960,62,81,117744,97608,0.916984
3,449760,661440,51,48,126408,97608,0.964982
3.1,975000,218720,68,53,128857,108664,0.71358
3.2,990000,255000,90,67,128857,75258,0.74155
3.3,870000,375000,109,74,128857,107114,0.8635
3.4,930000,315000,107,88,128857,147658,0.803851
3.5,810000,435000,107,94,128857,151178,0.916822
3.6,795000,465000,110,98,127745,151178,0.935809
3.7,765000,480000,109,106,127745,154074,0.950207
3.8,723760,525000,109,112,127745,154074,0.975292
3.9,735000,515160,110,107,127745,151178,0.970005
4,690000,547200,83,87,120472,151178,0.986853
4.1,618400,631200,52,78,120260,151178,0.999895
4.2,615000,645000,81,70,103968,151178,0.999433
4.3,825000,420000,103,76,120260,151178,0.904306
4.4,855000,390000,112,85,123156,150418,0.87758
4.5,825000,420000,111,92,120260,150418,0.904306
4.6,765000,480000,112,95,120260,150418,0.950207
4.7,765000,495000,92,97,93048,150418,0.956098
4.8,720000,525000,96,97,95944,150418,0.976056
4.9,630000,615000,92,98,93048,155174,0.999855
5,660000,588640,94,98,92760,152278,0.996744
5.1,660000,588480,97,83,92760,152278,0.996729
5.2,765000,479840,93,82,92760,163916,0.950142
5.3,780000,480000,88,88,92760,163916,0.946352
5.4,690000,555000,94,89,92760,163916,0.988379
5.5,720000,525000,94,92,92760,163916,0.976056
5.6,690000,555000,93,93,92760,163916,0.988379
5.7,675000,570000,93,93,92760,163916,0.992937
5.8,690000,570000,95,94,92760,163916,0.991011
5.9,690000,555000,93,95,92760,163916,0.988379
6,660000,585000,85,96,80206,166812,0.996384
6.1,615000,630000,84,105,80206,168766,0.999855
6.2,630000,622840,87,90,80206,165870,0.999967
6.3,705000,543720,82,78,80206,168180,0.983592
6.4,735000,510000,83,83,80206,168180,0.968372
6.5,690000,555000,87,85,83102,168180,0.988379
6.6,705000,555000,82,87,80206,168180,0.986026
6.7,645000,600000,85,86,80206,168180,0.998695
6.8,675000,570000,85,88,80206,168180,0.992937
6.9,660000,585000,86,88,80867,170447,0.996384
7,690000,570000,78,90,77971,170447,0.991011
7.1,615000,630000,82,87,77971,170447,0.999855
7.2,660000,585000,82,97,77971,173343,0.996384
7.3,615000,630000,87,98,80867,172261,0.999855
7.4,645000,608600,80,80,77971,176604,0.999158
7.5,690000,555680,81,83,77971,177017,0.988507
7.6,690000,555000,83,87,77971,177017,0.988379
7.7,675000,570000,83,90,77971,176361,0.992937
7.8,645000,615000,79,91,75412,176361,0.999433
7.9,600000,645000,84,89,75412,176361,0.998695
8,660000,585000,82,91,75412,176361,0.996384
8.1,630000,615000,82,92,75412,177887,0.999855
8.2,630000,630000,81,91,75412,177887,1
8.3,615000,630000,83,96,75412,180783,0.999855
8.4,630000,615000,82,108,75412,177887,0.999855
8.5,615000,640520,83,86,75412,179469,0.999587
8.6,660000,585440,82,82,75412,179474,0.996429
8.7,690000,555000,77,86,75412,179474,0.988379
8.8,630000,615000,81,87,75412,179474,0.999855
8.9,660000,585000,79,90,72732,179474,0.996384
9,615000,645000,83,89,76097,179474,0.999433
9.1,645000,600000,77,91,73201,179474,0.998695
9.2,585000,660000,80,89,73201,179474,0.996384
9.3,630000,615000,81,90,73201,179711,0.999855
9.4,630000,630000,83,91,76097,182607,1
9.5,645000,600000,76,105,73201,182607,0.998695
9.6,555000,682760,81,94,73201,179711,0.989458
9.7,645000,604400,80,79,73201,184602,0.998945
9.8,720000,540000,77,86,76097,184394,0.98
9.9,645000,600000,76,89,73201,184394,0.998695
10,600000,645000,81,89,73902,184394,0.998695
10.1,645000,600000,81,92,73902,184394,0.998695
10.2,615000,630000,82,98,73902,184394,0.999855
10.3,615000,645000,63,106,5792,184394,0.999433
10.4,315000,929360,45,53,5792,5792,0.804017
10.5,105000,226320,46,37,5792,5792,0.881771
10.6,120000,60000,46,33,77902,5792,0.9
10.7,600000,0,57,37,80798,5792,0.5
10.8,930000,60000,62,44,103768,188342,0.564249
10.9,990000,225000,84,72,125159,188342,0.71611
11,810000,435000,98,95,125159,191238,0.916822
11.1,750000,495000,115,105,125159,188342,0.959738
11.2,735000,525000,115,102,125159,188342,0.972973
11.3,735000,501960,118,106,128055,188342,0.965723
11.4,765000,493720,115,116,125159,188342,0.955613
11.5,705000,535360,116,119,125159,188342,0.981638
11.6,735000,511560,102,110,118736,126376,0.968871
11.7,750000,504160,52,66,118736,150864,0.962998
11.8,711040,368520,77,35,100912,188942,0.908542
11.9,1.155e+06,90000,80,71,138291,76530,0.577452
12,825000,420000,111,73,138291,96802,0.904306
12.1,975000,285000,128,97,138291,137346,0.769298
12.2,774560,465000,147,104,141195,163410,0.941294
12.3,795800,450000,141,110,126376,182185,0.928465
12.4,819040,429040,73,102,119968,110560,0.911042
12.5,506560,750760,85,51,74672,150656,0.963649
12.6,1.245e+06,0,88,82,138691,76530,0.5
12.7,885000,360000,117,87,138691,85218,0.849026
12.8,840000,405000,140,101,138691,119970,0.891203
12.9,951800,300000,154,123,138691,151826,0.786709
13,800880,450000,151,130,138691,182185,0.927056
13.1,770720,471640,104,128,122456,114728,0.945221
13.2,461640,783480,87,71,125016,126344,0.937372
13.3,1.155e+06,106400,89,86,133678,173712,0.591346
13.4,945000,300000,108,99,133678,78066,0.788396
13.5,765000,480000,145,114,133678,121506,0.950207
13.6,1.01396e+06,240000,152,139,133678,153362,0.724138
13.7,674320,570000,158,115,133678,122844,0.99302
13.8,849040,397720,121,115,120296,94840,0.884142
13.9,577720,675000,96,96,67856,108592,0.994006
14,945000,297200,111,90,133678,79426,0.786191
14.1,1.05e+06,195000,116,108,128438,96802,0.679523
14.2,900000,345000,135,116,128438,125482,0.834221
14.3,885000,360000,142,123,128438,138141,0.849026
14.4,885000,375000,153,129,128438,138141,0.85923
14.5,814440,420000,150,132,127326,138141,0.907359
14.6,800880,450000,144,135,127774,141037,0.927056
14.7,810000,450000,144,144,127774,141037,0.924528
14.8,750000,495000,145,137,130296,138141,0.959738
14.9,705000,540000,145,127,127400,141763,0.982739
15,840000,409600,142,132,127400,147447,0.893949
15.1,795000,450000,143,135,127400,147447,0.928687
15.2,780000,465000,143,137,127400,147447,0.939836
15.3,765000,495000,143,138,127400,147447,0.956098
15.4,780000,465000,143,140,127400,146335,0.939836
15.5,735000,510000,143,139,127400,146335,0.968372
15.6,750000,495000,144,139,127400,146335,0.959738
15.7,750000,495000,146,140,130296,146335,0.959738
15.8,765000,495000,143,146,127400,149231,0.956098
15.9,750000,495000,116,153,87606,146335,0.959738
16,555000,684360,117,125,87606,146335,0.989223
16.1,750000,511320,117,117,87606,148443,0.96543
16.2,795000,450000,111,121,87158,148471,0.928687
16.3,720000,525000,114,120,87158,148471,0.976056
16.4,750000,495000,116,121,86394,148471,0.959738
16.5,750000,495000,116,121,86394,149025,0.959738
16.6,765000,495000,115,122,86394,149028,0.956098
16.7,735000,510000,111,122,86394,149028,0.968372
16.8,720000,525000,115,121,86394,149028,0.976056
16.9,750000,495000,116,122,86394,149586,0.959738
17,750000,510000,117,130,89290,152483,0.964989
17.1,720000,525000,111,129,86394,149587,0.976056
17.2,630000,615000,117,114,86394,154945,0.999855
17.3,795000,450000,113,121,86394,167186,0.928687
17.4,750000,495000,116,126,86394,167186,0.959738
17.5,735000,525000,114,130,86394,167186,0.972973
17.6,675000,570000,116,130,84761,167186,0.992937
17.7,690000,555000,115,131,84761,167186,0.988379
17.8,675000,570000,116,131,84761,167186,0.992937
17.9,690000,570000,118,132,87464,168973,0.991011
18,690000,555000,113,133,84568,168973,0.988379
18.1,645000,600000,115,135,84568,171869,0.998695
18.2,675000,570000,116,146,84568,171869,0.992937
18.3,615000,633960,120,134,87464,170930,0.99977
18.4,705000,544800,110,123,84568,174378,0.983835
18.5,720000,525000,113,128,84568,174378,0.976056
18.6,705000,555000,115,131,84568,174378,0.986026
18.7,675000,570000,116,133,84568,174378,0.992937
18.8,675000,570000,114,135,81691,174378,0.992937
