Time,Cubic_1_Bps,Cubic_2_Bps,Cubic_1_PktLoss,Cubic_2_PktLoss,Cubic_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
0.4,691080,560,18,11,53576,14480,0.50081
0.5,1.095e+06,150520,28,14,72400,24616,0.634912
0.6,1.035e+06,210000,45,4,78192,27512,0.694876
0.7,1.2e+06,60000,36,36,82536,53576,0.549875
0.8,765000,480000,50,4,86880,53576,0.950207
0.9,1.125e+06,120000,47,43,92672,69504,0.605467
1,735000,510000,54,26,95568,70952,0.968372
1.1,1.005e+06,255000,57,42,101360,72400,0.738384
1.2,825000,420000,56,35,104256,73848,0.904306
1.3,930000,315000,61,39,108600,75296,0.803851
1.4,870000,375000,60,38,112944,78192,0.8635
1.5,900000,345000,63,38,117288,79640,0.834221
1.6,855000,405000,69,34,121632,81088,0.886878
1.7,870000,375000,74,36,125976,82536,0.8635
1.8,930000,315000,77,40,130320,83984,0.803851
1.9,900000,345000,92,47,133216,86880,0.834221
2,863680,390000,101,42,133216,88328,0.875077
2.1,877440,375000,99,42,133216,89776,0.861374
2.2,910600,330000,23,45,92672,91224,0.820329
2.3,467160,720000,52,29,92672,96082,0.956608
2.4,990000,270000,52,26,95568,63712,0.753846
2.5,885000,363800,49,33,98464,68056,0.851651
2.6,945000,300000,66,27,101360,68056,0.788396
2.7,855000,390000,56,30,102808,69504,0.87758
2.8,930000,315000,64,28,105704,70952,0.803851
2.9,900000,360000,62,34,108600,73848,0.844828
3,915000,330000,66,32,110048,73848,0.819144
3.1,930000,315000,64,43,112944,76744,0.803851
3.2,900000,345000,65,41,114392,78192,0.834221
3.3,885000,360000,65,42,115840,79640,0.849026
3.4,885000,375000,69,40,117288,81088,0.85923
3.5,855000,390000,69,38,118736,81088,0.87758
3.6,900000,345000,70,38,120184,82536,0.834221
3.7,870000,375000,71,42,121632,83984,0.8635
3.8,885000,375000,75,42,123080,85432,0.85923
3.9,885000,360000,73,43,124528,86880,0.849026
4,870000,375000,73,44,124528,86880,0.8635
4.1,840000,405000,74,44,125976,88328,0.891203
4.2,885000,360000,76,44,127424,88328,0.849026
4.3,855000,405000,77,42,127424,89776,0.886878
4.4,885000,360000,77,44,128872,89776,0.849026
4.5,870000,375000,78,46,130320,91224,0.8635
4.6,885000,360000,75,48,130320,91224,0.849026
4.7,855000,405000,84,45,131768,91224,0.886878
4.8,845040,390000,103,46,131768,92672,0.880476
4.9,853080,405000,105,45,131768,92672,0.887429
5,884840,360000,104,47,131768,92672,0.849072
5.1,889080,360000,48,47,92672,92672,0.847877
5.2,504160,735000,69,24,92672,92672,0.966461
5.3,968800,285000,60,55,97016,92672,0.770748
5.4,795000,450000,60,43,98464,92672,0.928687
5.5,870000,375000,54,52,101360,92672,0.8635
5.6,750000,495000,59,45,102808,92672,0.959738
5.7,810000,450000,57,43,105704,92672,0.924528
5.8,795000,450000,65,41,107152,92672,0.928687
5.9,795000,450000,68,41,110048,92672,0.928687
6,885000,360000,68,45,111496,92672,0.849026
6.1,825000,420000,70,49,112944,92672,0.904306
6.2,840000,420000,68,47,115840,92672,0.9
6.3,855000,390000,68,47,117288,92672,0.87758
6.4,795000,450000,70,45,118736,92672,0.928687
6.5,840000,405000,73,46,120184,92672,0.891203
6.6,855000,405000,75,45,121632,92672,0.886878
6.7,855000,390000,74,47,121632,92672,0.87758
6.8,840000,405000,75,46,123080,92672,0.891203
6.9,840000,405000,76,45,124528,92672,0.891203
7,855000,390000,78,47,125976,92672,0.87758
7.1,870000,390000,76,47,125976,92672,0.873267
7.2,840000,405000,77,46,127424,92672,0.891203
7.3,840000,405000,80,45,128872,92672,0.891203
7.4,870000,375000,78,47,128872,94120,0.8635
7.5,870000,390000,79,47,130320,94120,0.873267
7.6,855000,390000,79,47,131768,94120,0.87758
7.7,840000,405000,100,48,131768,94120,0.891203
7.8,879800,375000,105,48,131768,95568,0.860703
7.9,850280,390000,80,48,111932,95568,0.878949
8,798400,450000,11,47,91224,97016,0.927744
8.1,651760,600000,54,51,94120,97016,0.998293
8.2,839560,405000,61,47,95568,98464,0.891331
8.3,660000,585000,60,42,97016,98464,0.996384
8.4,840000,405000,65,48,98464,99912,0.891203
8.5,735000,525000,65,44,99912,101360,0.972973
8.6,825000,420000,66,48,99912,101360,0.904306
8.7,780000,465000,67,50,101360,102808,0.939836
8.8,780000,465000,66,54,102808,104256,0.939836
8.9,795000,465000,66,52,104256,105704,0.935809
9,720000,525000,68,50,104256,107152,0.976056
9.1,795000,450000,68,51,105704,108600,0.928687
9.2,735000,510000,72,52,107152,110048,0.968372
9.3,795000,450000,71,58,107152,112944,0.928687
9.4,750000,510000,70,57,108600,114392,0.964989
9.5,780000,465000,70,59,108600,115840,0.939836
9.6,735000,510000,70,61,110048,118736,0.968372
9.7,720000,525000,72,59,110048,120184,0.976056
9.8,765000,495000,71,61,110048,121632,0.956098
9.9,720000,525000,73,62,110048,124528,0.976056
10,735000,510000,73,65,111496,125976,0.968372
10.1,720000,525000,73,63,111496,127424,0.976056
10.2,720000,525000,73,66,111496,130320,0.976056
10.3,750000,510000,71,75,111496,131768,0.964989
10.4,690000,555000,73,85,111496,133216,0.988379
10.5,690000,551480,73,88,111496,133216,0.987704
10.6,705000,541560,72,88,111496,133216,0.9831
10.7,705000,552840,73,87,111496,133216,0.985577
10.8,720000,520560,75,89,111496,133216,0.974805
10.9,690000,562200,75,88,111496,133216,0.989691
11,705000,548600,74,87,111496,133216,0.984673
11.1,720000,525680,74,85,111496,133216,0.976244
11.2,705000,547200,73,89,111496,133216,0.984368
11.3,705000,536960,74,89,111496,133216,0.982022
11.4,705000,545800,75,88,111496,133216,0.984058
11.5,690000,548600,75,85,111496,133216,0.987135
11.6,720000,535560,73,86,111496,133216,0.978877
11.7,720000,532200,73,89,111496,133216,0.978002
11.8,690000,557080,73,90,111496,133216,0.988767
11.9,705000,532200,76,89,111496,133216,0.980866
12,705000,551960,73,86,111496,133216,0.985392
12.1,720000,532200,71,87,111496,133216,0.978002
12.2,720000,519160,71,90,111496,133216,0.974403
12.3,690000,563600,73,90,111496,133216,0.989936
12.4,690000,558840,76,87,112944,133216,0.98909
12.5,705000,536960,75,85,112944,133216,0.982022
12.6,720000,525680,75,89,112944,133216,0.976244
12.7,750000,504160,74,89,114392,133216,0.962998
12.8,690000,551960,76,90,114392,133216,0.987797
12.9,705000,545800,77,53,114392,92672,0.984058
13,720000,536960,76,5,115840,92672,0.979235
13.1,1.23e+06,13040,68,24,115840,92672,0.5106
13.2,1.095e+06,151400,78,57,117288,92672,0.635671
13.3,435000,807120,89,24,117288,94120,0.917641
13.4,1.2e+06,60000,73,66,117288,97016,0.549875
13.5,720000,525000,80,52,118736,98464,0.976056
13.6,825000,420000,69,58,118736,101360,0.904306
13.7,795000,450000,78,47,118736,102808,0.928687
13.8,795000,465000,80,52,120184,105704,0.935809
13.9,825000,420000,82,58,121632,108600,0.904306
14,810000,435000,78,58,121632,110048,0.916822
14.1,825000,420000,74,61,123080,111496,0.904306
14.2,750000,495000,83,59,124528,112944,0.959738
14.3,780000,480000,84,63,125976,115840,0.946352
14.4,780000,465000,86,63,128872,117288,0.939836
14.5,780000,465000,85,61,130320,118736,0.939836
14.6,810000,435000,86,63,131768,120184,0.916822
14.7,795000,465000,108,65,133216,121632,0.935809
14.8,746640,495000,112,65,130291,123080,0.960546
14.9,770920,480000,59,67,92672,124735,0.948689
15,375240,875480,100,11,92672,86880,0.862092
15.1,1.19036e+06,45000,74,29,97016,86880,0.53775
15.2,945000,313000,87,48,99912,86880,0.798473
15.3,945000,301000,90,46,102808,86880,0.78918
15.4,915000,330000,78,66,104256,89776,0.819144
15.5,810000,435000,88,58,107152,91224,0.916822
15.6,825000,435000,78,54,108600,92672,0.912571
15.7,810000,435000,88,52,111496,94120,0.916822
15.8,705000,540000,94,45,112944,95568,0.982739
15.9,945000,300000,88,54,114392,97016,0.788396
16,825000,435000,91,58,117288,98464,0.912571
16.1,840000,405000,90,61,118736,98464,0.891203
16.2,780000,465000,91,55,120184,99912,0.939836
16.3,855000,390000,91,57,121632,99912,0.87758
16.4,780000,465000,98,57,123080,101360,0.939836
16.5,840000,420000,97,60,124528,102808,0.9
16.6,840000,405000,95,63,124528,102808,0.891203
16.7,810000,435000,94,58,125976,102808,0.916822
16.8,810000,435000,97,60,127424,104256,0.916822
16.9,810000,450000,99,58,127424,104256,0.924528
17,825000,420000,99,61,128872,105704,0.904306
17.1,855000,390000,96,63,128872,105704,0.87758
17.2,780000,465000,99,58,130320,105704,0.939836
17.3,825000,420000,100,60,130320,105704,0.904306
17.4,810000,450000,105,60,131768,105704,0.924528
17.5,825000,420000,121,60,131768,105704,0.904306
17.6,824120,420000,126,60,131768,105704,0.904559
17.7,804080,450000,98,58,112459,105704,0.926168
17.8,736480,510000,37,54,91224,105704,0.968042
17.9,611440,630000,83,64,94120,105704,0.999777
18,855000,390000,86,56,95568,105704,0.87758
18.1,630000,630000,87,52,97016,105704,1
18.2,825000,420000,91,56,98464,105704,0.904306
18.3,735000,510000,91,56,99912,105704,0.968372
18.4,795000,450000,91,60,101360,105704,0.928687
