Time,Flow1_Cubic_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,691080,560,18,11,53576,14480,0.50081
0.5,1.095e+06,150520,28,10,72400,21720,0.634912
0.6,1.035e+06,210000,45,4,78192,27512,0.694876
0.7,1.185e+06,60000,35,36,82536,53576,0.550503
0.8,780000,465000,50,5,86880,53576,0.939836
0.9,1.125e+06,135000,47,43,92672,69504,0.618297
1,735000,510000,52,26,95568,70952,0.968372
1.1,990000,255000,55,42,99912,72400,0.74155
1.2,825000,420000,57,33,104256,73848,0.904306
1.3,945000,300000,61,40,108600,75296,0.788396
1.4,870000,390000,60,38,112944,78192,0.873267
1.5,915000,330000,60,39,117288,79640,0.819144
1.6,825000,420000,70,34,121632,81088,0.904306
1.7,900000,345000,73,38,125976,82536,0.834221
1.8,915000,345000,77,38,130320,83984,0.830118
1.9,900000,345000,92,45,133216,86880,0.834221
2,878680,360000,100,44,133216,88328,0.850818
2.1,864720,390000,98,43,133216,89776,0.874778
2.2,890480,360000,100,44,133216,91224,0.847484
2.3,868960,375000,104,46,133216,92672,0.863798
2.4,868960,375000,100,51,133216,95568,0.863798
2.5,840920,420000,103,46,133216,97016,0.899737
2.6,853960,390000,100,47,133216,98464,0.877881
2.7,847440,390000,102,48,133216,99912,0.879776
2.8,874080,375000,102,55,133216,102808,0.862332
2.9,809160,450000,103,54,133216,104256,0.924761
3,810920,435000,102,53,133216,107152,0.916561
3.1,840920,405000,101,53,133216,108600,0.890936
3.2,832440,420000,100,54,133216,110048,0.902165
3.3,825920,420000,100,60,133216,112944,0.90404
3.4,772640,465000,104,58,133216,114392,0.941809
3.5,799280,450000,102,60,133216,117288,0.927499
3.6,756240,495000,106,58,133216,118736,0.95823
3.7,814280,435000,103,61,133216,121632,0.915606
3.8,794520,450000,102,60,133216,123080,0.92882
3.9,761000,495000,101,63,133216,125976,0.957073
4,810920,435000,100,68,133216,128872,0.916561
4.1,739840,510000,104,69,133216,130320,0.967289
4.2,739480,510000,103,74,133216,133216,0.96737
4.3,741240,495000,108,86,133216,133216,0.961839
4.4,771240,490840,103,91,133216,133216,0.952961
4.5,719720,514920,106,90,133216,133216,0.973221
4.6,729600,525680,106,84,133216,133216,0.974289
4.7,761360,482640,106,86,133216,133216,0.9522
4.8,772640,482640,102,86,133216,133216,0.949332
4.9,749720,499040,101,88,133216,133216,0.961263
5,762760,482640,100,90,133216,133216,0.951845
5.1,751120,499040,100,90,133216,133216,0.960931
5.2,739840,509280,102,90,133216,133216,0.967053
5.3,724480,514040,106,89,133216,133216,0.97194
5.4,734720,515800,108,90,133216,133216,0.970264
5.5,777760,477520,104,92,133216,133216,0.945888
5.6,708080,530800,104,86,133216,133216,0.979934
5.7,756240,499040,104,86,133216,133216,0.95971
5.8,761360,482640,104,86,133216,133216,0.9522
5.9,746000,499040,100,84,133216,133216,0.962145
6,761360,482640,102,88,133216,133216,0.9522
6.1,777760,476120,100,93,133216,133216,0.945294
6.2,751120,489160,100,94,133216,133216,0.957295
6.3,713200,540680,104,91,133216,133216,0.981421
6.4,708080,532200,110,88,133216,133216,0.980287
6.5,777760,482640,108,92,133216,133216,0.948024
6.6,744600,504160,105,90,133216,133216,0.964252
6.7,719720,520560,104,84,133216,133216,0.974863
6.8,771240,482640,105,86,133216,133216,0.949689
6.9,767880,482640,102,86,133216,133216,0.950545
7,746000,499040,100,84,133216,133216,0.962145
7.1,761360,482640,100,88,133216,133216,0.9522
7.2,777760,476120,100,95,133216,133216,0.945294
7.3,751120,489160,98,94,133216,133216,0.957295
7.4,713200,540680,104,93,133216,133216,0.981421
7.5,708080,532200,110,88,133216,133216,0.980287
7.6,777760,471000,108,93,133216,133216,0.943089
7.7,713200,537320,108,88,133216,133216,0.980603
7.8,751120,499040,104,84,133216,133216,0.960931
7.9,756240,482640,106,86,133216,133216,0.953496
8,771240,482640,101,86,133216,133216,0.949689
8.1,741240,499040,102,84,133216,133216,0.963267
8.2,777760,482640,100,86,133216,133216,0.948024
8.3,777760,461120,98,96,133216,133216,0.938682
8.4,751120,504160,98,94,133216,133216,0.962737
8.5,713200,525680,102,94,133216,133216,0.977603
8.6,708080,547200,110,88,133216,133216,0.98384
8.7,777760,471000,108,93,133216,133216,0.943089
8.8,713200,537320,108,86,133216,133216,0.980603
8.9,751120,482640,102,86,133216,133216,0.954786
9,756240,499040,106,86,133216,133216,0.95971
9.1,771240,482640,101,86,133216,133216,0.949689
9.2,741240,499040,102,84,133216,133216,0.963267
9.3,766120,482640,101,86,133216,133216,0.950992
9.4,789400,461120,98,96,133216,133216,0.935529
9.5,751120,492520,98,95,133216,133216,0.958554
9.6,713200,537320,102,94,133216,133216,0.980603
9.7,701560,547200,111,88,133216,133216,0.98495
9.8,784280,456000,108,94,133216,133216,0.93453
9.9,701560,552320,109,86,133216,133216,0.986032
10,762760,482640,102,86,133216,133216,0.951845
10.1,756240,499040,106,86,133216,133216,0.95971
10.2,756240,482640,100,86,133216,133216,0.953496
10.3,756240,499040,102,84,133216,133216,0.95971
10.4,766120,482640,99,86,133216,133216,0.950992
10.5,789400,461120,98,94,133216,133216,0.935529
10.6,751120,492520,98,95,133216,133216,0.958554
10.7,713200,537320,102,94,133216,133216,0.980603
10.8,701560,547200,109,88,133216,133216,0.98495
10.9,784280,456000,108,94,133216,133216,0.93453
11,701560,552320,109,86,133216,133216,0.986032
11.1,762760,482640,102,86,133216,133216,0.951845
11.2,744600,499040,107,86,133216,133216,0.962475
11.3,767880,482640,100,86,133216,133216,0.950545
11.4,756240,482640,102,86,133216,133216,0.953496
11.5,751120,499040,100,86,133216,133216,0.960931
11.6,792760,461120,99,94,133216,133216,0.934618
11.7,762760,477520,98,96,133216,133216,0.949766
11.8,713200,545800,102,93,133216,133216,0.982628
11.9,686560,553720,110,88,133216,133216,0.988659
12,799280,456000,108,94,133216,133216,0.930418
12.1,686560,552320,110,86,133216,133216,0.988395
12.2,777760,471000,102,87,133216,133216,0.943089
12.3,744600,510680,107,86,133216,133216,0.96644
12.4,767880,482640,100,86,133216,133216,0.950545
12.5,756240,482640,102,86,133216,133216,0.953496
12.6,751120,499040,100,86,133216,133216,0.960931
12.7,792760,461120,99,94,133216,133216,0.934618
12.8,762760,477520,98,96,133216,133216,0.949766
12.9,713200,530800,102,94,133216,133216,0.978954
13,686560,568720,110,88,133216,133216,0.991264
13.1,792760,456000,109,94,133216,133216,0.932205
13.2,693080,552320,110,86,133216,133216,0.987387
13.3,777760,471000,102,87,133216,133216,0.943089
13.4,729600,510680,106,86,133216,133216,0.969786
13.5,776360,482640,101,86,133216,133216,0.948382
13.6,762760,482640,102,86,133216,133216,0.951845
13.7,751120,499040,100,86,133216,133216,0.960931
13.8,777760,461120,98,94,133216,133216,0.938682
13.9,777760,477520,98,96,133216,133216,0.945888
14,713200,530800,102,94,133216,133216,0.978954
14.1,686560,568720,110,88,133216,133216,0.991264
14.2,777760,456000,110,94,133216,133216,0.936317
14.3,708080,552320,110,86,133216,133216,0.984958
14.4,777760,471000,102,87,133216,133216,0.943089
14.5,729600,510680,106,86,133216,133216,0.969786
14.6,761360,482640,102,86,133216,133216,0.9522
14.7,777760,471000,102,87,133216,133216,0.943089
14.8,751120,504160,100,87,133216,133216,0.962737
14.9,777760,467640,98,94,133216,133216,0.941613
15,761360,477520,100,96,133216,133216,0.950126
15.1,729600,530800,102,92,133216,133216,0.975726
15.2,686560,562200,110,89,133216,133216,0.99018
15.3,777760,462520,108,94,133216,133216,0.939319
15.4,708080,545800,110,87,133216,133216,0.983526
15.5,777760,462520,102,88,133216,133216,0.939319
15.6,729600,525680,106,86,133216,133216,0.974289
15.7,761360,482640,102,86,133216,133216,0.9522
15.8,777760,471000,102,87,133216,133216,0.943089
15.9,751120,489160,98,88,133216,133216,0.957295
16,777760,482640,98,92,133216,133216,0.948024
16.1,761360,477520,100,96,133216,133216,0.950126
16.2,729600,519160,102,93,133216,133216,0.972386
16.3,686560,558840,108,90,133216,133216,0.989592
16.4,777760,477520,108,92,133216,133216,0.945888
16.5,708080,530800,110,88,133216,133216,0.979934
16.6,777760,477520,102,88,133216,133216,0.945888
16.7,713200,525680,108,86,133216,133216,0.977603
16.8,777760,482640,102,86,133216,133216,0.948024
16.9,777760,471000,102,87,133216,133216,0.943089
17,751120,489160,98,88,133216,133216,0.957295
17.1,771240,482640,99,92,133216,133216,0.949689
17.2,767880,477520,100,96,133216,133216,0.948445
17.3,729600,519160,102,93,133216,133216,0.972386
17.4,686560,558840,108,90,133216,133216,0.989592
17.5,766120,477520,109,92,133216,133216,0.9489
17.6,719720,530800,110,88,133216,133216,0.977686
17.7,777760,477520,102,88,133216,133216,0.945888
17.8,713200,525680,106,86,133216,133216,0.977603
17.9,777760,476120,102,87,133216,133216,0.945294
18,777760,462520,100,88,133216,133216,0.939319
18.1,751120,504160,98,88,133216,133216,0.962737
18.2,756240,482640,100,92,133216,133216,0.953496
18.3,771240,477520,101,96,133216,133216,0.947577
18.4,741240,504160,102,94,133216,133216,0.965029
18.5,686560,573840,108,90,133216,133216,0.992065
18.6,766120,477520,109,92,133216,133216,0.9489
18.7,719720,530800,110,88,133216,133216,0.977686
18.8,761360,477520,104,88,133216,133216,0.950126
18.9,729600,525680,106,86,133216,133216,0.974289
19,777760,461120,102,88,133216,133216,0.938682
19.1,777760,477520,100,88,133216,133216,0.945888
19.2,734720,504160,100,86,133216,133216,0.966525
19.3,772640,482640,100,90,133216,133216,0.949332
19.4,771240,477520,101,96,133216,133216,0.947577
19.5,741240,504160,100,94,133216,133216,0.965029
19.6,686560,562200,106,91,133216,133216,0.99018
19.7,751120,489160,108,92,133216,133216,0.957295
19.8,734720,519160,110,89,133216,133216,0.971294
19.9,761360,489160,104,88,133216,133216,0.954763
