Time,Cubic_1_Bps,Cubic_2_Bps,Cubic_1_PktLoss,Cubic_2_PktLoss,Cubic_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
0.4,631080,481080,22,32,53576,53576,0.982134
0.5,660000,585000,33,40,69504,69504,0.996384
0.6,660000,600000,31,48,72400,72400,0.997738
0.7,495000,750000,51,32,76744,75296,0.959738
0.8,765000,480000,42,44,79640,78192,0.950207
0.9,585000,660000,51,40,82536,81088,0.996384
1,645000,600000,48,48,85432,83984,0.998695
1.1,540000,720000,54,46,88328,86880,0.98
1.2,675000,570000,53,50,91224,89776,0.992937
1.3,735000,510000,52,56,94120,92672,0.968372
1.4,465000,780000,59,52,97016,95568,0.939836
1.5,705000,555000,56,60,99912,99912,0.986026
1.6,630000,615000,60,58,102808,101360,0.999855
1.7,585000,660000,63,61,105704,105704,0.996384
1.8,705000,540000,63,65,110048,108600,0.982739
1.9,465000,780000,74,61,112944,111496,0.939836
2,750000,510000,74,63,115840,114392,0.964989
2.1,630000,615000,50,67,97536,96160,0.999855
2.2,660000,585000,7,31,81088,81088,0.996384
2.3,691640,500720,50,53,78936,81088,0.975003
2.4,545720,691640,24,63,57920,83984,0.986284
2.5,401680,855000,32,58,59368,86880,0.884858
2.6,405000,840000,45,45,59368,88328,0.891203
2.7,600000,645000,40,54,60816,91224,0.998695
2.8,525000,720000,48,49,62264,92672,0.976056
2.9,645000,615000,29,67,62264,94120,0.999433
3,330000,915000,32,68,63712,97016,0.819144
3.1,405000,840000,49,53,63712,98464,0.891203
3.2,600000,645000,48,55,65160,99912,0.998695
3.3,645000,615000,35,69,65160,101360,0.999433
3.4,300000,945000,36,69,66608,102808,0.788396
3.5,465000,780000,47,60,66608,104256,0.939836
3.6,570000,675000,51,58,66608,105704,0.992937
3.7,555000,690000,30,79,66608,107152,0.988379
3.8,255000,1.005e+06,52,58,68056,107152,0.738384
3.9,615000,630000,49,61,68056,108600,0.999855
4,660000,585000,31,81,68056,110048,0.996384
4.1,120000,1.125e+06,51,60,68056,110048,0.605467
4.2,690000,570000,43,69,68056,111496,0.991011
4.3,570000,675000,37,77,68056,112944,0.992937
4.4,180000,1.065e+06,47,66,68056,112944,0.66432
4.5,630000,615000,43,72,68056,114392,0.999855
4.6,570000,675000,40,77,69504,114392,0.992937
4.7,195000,1.065e+06,49,68,69504,114392,0.677159
4.8,660000,585000,43,73,69504,114392,0.996384
4.9,570000,675000,38,79,70952,115840,0.992937
5,165000,1.08e+06,53,65,70952,115840,0.649293
5.1,705000,555000,45,74,72400,115840,0.986026
5.2,585000,660000,34,86,72400,115840,0.996384
5.3,165000,1.08e+06,55,64,72400,115840,0.649293
5.4,600000,645000,56,65,73848,115840,0.998695
5.5,570000,675000,36,86,73848,115840,0.992937
5.6,345000,915000,55,65,73848,115840,0.830118
5.7,600000,645000,56,64,75296,115840,0.998695
5.8,405000,840000,39,82,75296,115840,0.891203
5.9,510000,735000,49,73,75296,115840,0.968372
6,630000,630000,48,75,76744,115840,1
6.1,210000,1.035e+06,54,68,76744,115840,0.694876
6.2,705000,540000,49,72,76744,115840,0.982739
6.3,585000,660000,36,86,76744,115840,0.996384
6.4,225000,1.02e+06,58,66,78192,115840,0.710353
6.5,645000,615000,59,65,78192,115840,0.999433
6.6,480000,765000,37,86,78192,115840,0.950207
6.7,480000,765000,54,71,79640,115840,0.950207
6.8,675000,570000,47,77,79640,115840,0.992937
6.9,195000,1.065e+06,56,68,79640,115840,0.677159
7,705000,540000,54,70,81088,115840,0.982739
7.1,585000,660000,39,86,81088,115840,0.996384
7.2,300000,945000,61,65,81088,115840,0.788396
7.3,690000,555000,62,66,82536,115840,0.988379
7.4,360000,900000,48,78,82536,115840,0.844828
7.5,645000,600000,51,74,82536,115840,0.998695
7.6,645000,600000,41,87,83984,117288,0.998695
7.7,210000,1.035e+06,63,66,83984,117288,0.694876
7.8,690000,570000,64,66,85432,117288,0.991011
7.9,435000,810000,47,83,85432,118736,0.916822
8,630000,615000,51,78,85432,118736,0.999855
8.1,645000,600000,42,88,85432,118736,0.998695
8.2,225000,1.02e+06,64,69,86880,120184,0.710353
8.3,705000,555000,65,68,86880,120184,0.986026
8.4,345000,900000,55,79,88328,121632,0.834221
8.5,690000,555000,58,78,89776,121632,0.988379
8.6,555000,690000,47,91,92672,123080,0.988379
8.7,435000,825000,66,75,95568,124528,0.912571
8.8,780000,465000,51,90,97016,124528,0.939836
8.9,195000,1.05e+06,74,72,99912,127424,0.679523
9,795000,450000,73,78,105621,127424,0.928687
9.1,195000,1.05e+06,72,15,91696,89776,0.679523
9.2,875240,82080,63,70,70952,89776,0.592962
9.3,525120,720920,55,65,78059,92672,0.975903
9.4,588480,660000,50,53,52128,95568,0.996729
9.5,525000,720000,46,61,53576,98464,0.976056
9.6,480000,780000,35,75,55024,101360,0.946352
9.7,300000,945000,39,71,55024,102808,0.788396
9.8,330000,915000,54,60,56472,105704,0.819144
9.9,585000,660000,53,61,56472,107152,0.996384
10,525000,720000,35,82,57920,108600,0.976056
10.1,300000,960000,43,76,57920,111496,0.784698
10.2,330000,915000,55,66,57920,112944,0.819144
10.3,600000,645000,50,72,59368,114392,0.998695
10.4,300000,945000,54,68,59368,115840,0.788396
10.5,405000,855000,49,74,59368,117288,0.886878
10.6,510000,735000,56,70,60816,118736,0.968372
10.7,420000,825000,46,80,60816,120184,0.904306
10.8,375000,870000,45,82,60816,120184,0.8635
10.9,450000,795000,57,72,60816,121632,0.928687
11,435000,825000,46,84,60816,123080,0.912571
11.1,330000,915000,48,81,60816,123080,0.819144
11.2,495000,750000,57,74,60816,124528,0.959738
11.3,360000,885000,51,79,60816,124528,0.849026
11.4,360000,900000,51,80,60816,125976,0.844828
11.5,540000,705000,56,75,62264,125976,0.982739
11.6,270000,975000,58,75,62264,127424,0.757199
11.7,375000,870000,57,75,62264,127424,0.8635
11.8,630000,615000,50,86,63712,127424,0.999855
11.9,270000,990000,52,82,63712,127424,0.753846
12,375000,870000,59,77,63712,128872,0.8635
12.1,615000,630000,39,97,65160,128872,0.999855
12.2,315000,930000,42,95,65160,128872,0.803851
12.3,405000,855000,59,76,65160,128872,0.886878
12.4,390000,855000,52,85,66608,128872,0.87758
12.5,315000,930000,57,79,66608,128872,0.803851
12.6,630000,615000,55,82,66608,128872,0.999855
12.7,300000,945000,58,81,68056,128872,0.788396
12.8,390000,870000,62,77,68056,128872,0.873267
12.9,645000,600000,41,97,68056,128872,0.998695
13,315000,930000,44,93,68056,128872,0.803851
13.1,435000,810000,62,77,69504,128872,0.916822
13.2,360000,900000,60,79,69504,128872,0.844828
13.3,345000,900000,63,77,69504,128872,0.834221
13.4,720000,525000,50,90,70952,128872,0.976056
13.5,345000,900000,47,92,70952,128872,0.834221
13.6,390000,855000,64,77,72400,128872,0.87758
13.7,480000,780000,54,87,72400,128872,0.946352
13.8,315000,930000,61,81,72400,128872,0.803851
13.9,690000,555000,56,86,73848,128872,0.988379
14,330000,915000,54,87,73848,128872,0.819144
14.1,435000,825000,65,76,73848,128872,0.912571
14.2,510000,735000,53,89,73848,128872,0.968372
14.3,315000,930000,61,81,75296,128872,0.803851
14.4,690000,555000,57,86,75296,128872,0.988379
14.5,330000,915000,57,87,75296,128872,0.819144
