Time,Flow1_Cubic_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,601080,511080,24,30,53576,53576,0.993494
0.5,675000,570000,34,39,69504,69504,0.992937
0.6,540000,705000,40,38,72400,72400,0.982739
0.7,615000,630000,41,42,75296,75296,0.999855
0.8,615000,630000,44,44,78192,78192,0.999855
0.9,660000,600000,47,44,82536,81088,0.997738
1,705000,540000,42,54,85432,83984,0.982739
1.1,555000,690000,49,50,88328,86880,0.988379
1.2,660000,585000,51,53,91224,89776,0.996384
1.3,570000,690000,57,49,94120,92672,0.991011
1.4,660000,585000,57,55,97016,97016,0.996384
1.5,615000,630000,60,55,99912,99912,0.999855
1.6,705000,540000,53,67,102808,102808,0.982739
1.7,555000,690000,64,61,105704,105704,0.988379
1.8,600000,660000,71,59,110048,108600,0.997738
1.9,615000,630000,69,63,111496,111496,0.999855
2,660000,585000,65,72,114392,114392,0.996384
2.1,630000,615000,70,71,118736,117288,0.999855
2.2,570000,690000,76,69,121632,120184,0.991011
2.3,660000,585000,74,76,124528,123080,0.996384
2.4,600000,645000,80,73,127424,125976,0.998695
2.5,675000,570000,79,79,130320,128872,0.992937
2.6,645000,600000,83,92,133216,133216,0.998695
2.7,540000,720000,114,89,133216,133216,0.98
2.8,700960,548560,104,108,133216,133216,0.985342
2.9,665040,579480,98,113,133216,133216,0.995296
3,525680,717440,116,97,133216,133216,0.976758
3.1,681440,575240,104,108,133216,133216,0.992909
3.2,691680,552320,94,118,133216,133216,0.987606
3.3,499040,744600,104,109,133216,133216,0.962475
3.4,643520,607000,108,104,133216,133216,0.999148
3.5,595360,643520,114,98,133216,133216,0.998491
3.6,665040,590240,104,108,133216,133216,0.996462
3.7,643520,600480,102,110,133216,133216,0.998804
3.8,547200,702960,120,92,133216,133216,0.984714
3.9,701560,552320,105,108,133216,133216,0.986032
4,671560,573840,98,114,133216,133216,0.993881
4.1,525680,723080,116,97,133216,133216,0.975621
4.2,665040,575240,106,106,133216,133216,0.994785
4.3,708080,545800,94,119,133216,133216,0.983526
4.4,499040,751120,102,109,133216,133216,0.960931
4.5,643520,607000,108,104,133216,133216,0.999148
4.6,595360,643520,114,98,133216,133216,0.998491
4.7,665040,590240,104,108,133216,133216,0.996462
4.8,643520,600480,102,110,133216,133216,0.998804
4.9,547200,702960,120,92,133216,133216,0.984714
5,686560,552320,106,108,133216,133216,0.988395
5.1,686560,562200,98,115,133216,133216,0.99018
5.2,525680,719720,116,98,133216,133216,0.9763
5.3,665040,590240,106,106,133216,133216,0.996462
5.4,708080,530800,94,120,133216,133216,0.979934
5.5,499040,751120,102,110,133216,133216,0.960931
5.6,627120,622000,110,104,133216,133216,0.999983
5.7,611760,643520,114,98,133216,133216,0.99936
5.8,665040,573840,104,110,133216,133216,0.99461
5.9,643520,616880,102,110,133216,133216,0.999553
6,547200,696440,120,93,133216,133216,0.985804
6.1,686560,558840,106,106,133216,133216,0.989592
6.2,686560,562200,98,115,133216,133216,0.99018
6.3,525680,719720,114,98,133216,133216,0.9763
6.4,665040,590240,106,106,133216,133216,0.996462
6.5,708080,530800,92,120,133216,133216,0.979934
6.6,499040,751120,102,110,133216,133216,0.960931
6.7,627120,622000,108,104,133216,133216,0.999983
6.8,605240,643520,115,98,133216,133216,0.999061
6.9,671560,573840,104,108,133216,133216,0.993881
7,643520,605240,102,111,133216,133216,0.999061
7.1,547200,693080,120,94,133216,133216,0.986355
7.2,686560,573840,106,106,133216,133216,0.992065
7.3,686560,562200,98,115,133216,133216,0.99018
7.4,525680,719720,114,98,133216,133216,0.9763
7.5,653400,590240,107,106,133216,133216,0.997427
7.6,719720,530800,92,120,133216,133216,0.977686
7.7,499040,751120,102,108,133216,133216,0.960931
7.8,627120,622000,108,104,133216,133216,0.999983
7.9,590240,643520,116,98,133216,133216,0.998139
8,686560,573840,104,108,133216,133216,0.992065
8.1,643520,605240,102,111,133216,133216,0.999061
8.2,547200,693080,118,94,133216,133216,0.986355
8.3,674920,573840,107,106,133216,133216,0.993491
8.4,698200,547200,98,116,133216,133216,0.985512
8.5,525680,728200,114,99,133216,133216,0.974576
8.6,653400,596760,107,104,133216,133216,0.997952
8.7,713200,530800,93,120,133216,133216,0.978954
8.8,505560,734720,102,110,133216,133216,0.966989
8.9,615480,638400,109,104,133216,133216,0.999666
9,601880,643520,116,96,133216,133216,0.998883
9.1,686560,562200,104,109,133216,133216,0.99018
9.2,643520,601880,100,112,133216,133216,0.998883
9.3,547200,708080,118,94,133216,133216,0.98384
9.4,674920,573840,107,104,133216,133216,0.993491
9.5,698200,547200,96,116,133216,133216,0.985512
9.6,525680,713200,112,100,133216,133216,0.977603
9.7,638400,611760,108,104,133216,133216,0.999546
9.8,728200,530800,93,120,133216,133216,0.976006
9.9,505560,734720,102,110,133216,133216,0.966989
10,615480,638400,109,104,133216,133216,0.999666
