Time,Dctcp_1_Bps,Dctcp_2_Bps,Dctcp_1_PktLoss,Dctcp_2_PktLoss,Dctcp_1_Cwnd,Dctcp_2_Cwnd,JainsFairnessIndex
0.4,631080,481080,22,32,53576,53576,0.982134
0.5,645000,600000,31,36,65535,65535,0.998695
0.6,660000,600000,28,41,66983,66983,0.997738
0.7,630000,615000,29,43,68431,68431,0.999855
0.8,540000,705000,40,33,69879,69879,0.982739
0.9,600000,645000,41,35,71327,71327,0.998695
1,690000,555000,38,40,72775,71327,0.988379
1.1,660000,600000,43,37,74223,72775,0.997738
1.2,645000,600000,40,40,74223,74223,0.998695
1.3,600000,645000,37,44,75671,75671,0.998695
1.4,585000,660000,41,43,77119,77119,0.996384
1.5,615000,645000,45,40,78567,77119,0.999433
1.6,675000,570000,47,41,80015,78567,0.992937
1.7,705000,540000,40,48,80015,80015,0.982739
1.8,585000,660000,34,55,81463,81463,0.996384
1.9,480000,765000,49,45,82911,82911,0.950207
2,735000,525000,49,44,84359,82911,0.972973
2.1,735000,510000,40,53,84359,84359,0.968372
2.2,510000,735000,41,55,85807,85807,0.968372
2.3,600000,645000,52,44,87255,85807,0.998695
2.4,660000,600000,54,43,87255,87255,0.997738
2.5,600000,645000,47,53,88703,88703,0.998695
2.6,555000,690000,53,47,90151,88703,0.988379
2.7,780000,465000,56,47,91599,90151,0.939836
2.8,570000,675000,50,55,91599,91599,0.992937
2.9,510000,750000,55,49,93047,91599,0.964989
3,810000,435000,58,49,94495,93047,0.916822
3.1,540000,705000,52,57,94495,94495,0.982739
3.2,570000,675000,57,52,95943,94495,0.992937
3.3,720000,540000,61,49,95943,95943,0.98
3.4,615000,630000,47,66,97391,97391,0.999855
3.5,540000,705000,66,47,98839,97391,0.982739
3.6,825000,420000,47,66,98839,98839,0.904306
3.7,375000,870000,63,55,100287,100287,0.8635
3.8,825000,435000,56,60,100287,100287,0.912571
3.9,525000,720000,56,61,101735,101735,0.976056
4,630000,615000,63,56,103183,101735,0.999855
4.1,720000,525000,57,64,103183,103183,0.976056
4.2,420000,840000,66,54,104631,103183,0.9
4.3,870000,375000,56,66,104631,104631,0.8635
4.4,480000,765000,57,68,106079,106079,0.950207
4.5,615000,630000,73,52,107527,106079,0.999855
4.6,735000,510000,56,71,107527,107527,0.968372
4.7,480000,780000,67,61,108975,107527,0.946352
4.8,720000,525000,67,61,108975,108975,0.976056
4.9,450000,795000,72,56,110423,108975,0.928687
5,885000,360000,61,69,110423,110423,0.849026
5.1,495000,765000,57,75,111871,111871,0.956098
5.2,735000,510000,66,67,111871,111871,0.968372
5.3,510000,735000,65,35,113319,106027,0.968372
5.4,825000,420000,64,49,113319,106027,0.904306
5.5,945000,300000,16,59,108116,107475,0.788396
5.6,216760,1.04464e+06,77,15,111012,102540,0.698932
5.7,1.14e+06,107480,60,74,111012,102540,0.59345
5.8,285000,950640,58,80,112460,103988,0.775075
5.9,855000,402160,78,60,113908,103988,0.885151
6,585000,660000,57,81,113908,105436,0.996384
6.1,570000,675000,80,60,115356,105436,0.992937
6.2,870000,390000,58,83,115356,106884,0.873267
6.3,315000,930000,80,61,116804,106884,0.803851
6.4,1.08e+06,165000,60,83,116804,108332,0.649293
6.5,150000,1.095e+06,76,67,113163,109780,0.634463
6.6,1.11e+06,135000,3,76,113163,109780,0.619849
6.7,274360,975000,63,82,116059,106772,0.760748
6.8,885000,375000,82,59,114287,106772,0.85923
