Time,Flow1_Dctcp_Bps,Flow2_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,601080,511080,24,30,53576,53576,0.993494
0.5,660000,585000,32,35,65535,65535,0.996384
0.6,600000,645000,33,37,66983,66983,0.998695
0.7,570000,675000,38,35,68431,68431,0.992937
0.8,660000,585000,35,39,69879,69879,0.996384
0.9,615000,645000,39,37,71327,71327,0.999433
1,615000,630000,41,35,72775,71327,0.999855
1.1,615000,630000,40,38,72775,72775,0.999855
1.2,615000,630000,46,35,74223,74223,0.999855
1.3,735000,525000,36,45,75671,75671,0.972973
1.4,540000,705000,43,41,77119,77119,0.982739
1.5,630000,615000,40,45,78567,78567,0.999855
1.6,600000,645000,44,42,78567,78567,0.998695
1.7,615000,630000,50,39,80015,80015,0.999855
1.8,675000,585000,42,47,81463,81463,0.994924
1.9,600000,645000,47,45,82911,82911,0.998695
2,615000,630000,50,43,82911,82911,0.999855
2.1,600000,645000,53,41,84359,84359,0.998695
2.2,645000,615000,49,47,85807,85807,0.999433
2.3,615000,630000,51,45,87255,85807,0.999855
2.4,750000,495000,41,57,87255,87255,0.959738
2.5,600000,645000,46,55,88703,88703,0.998695
2.6,570000,675000,49,53,90151,90151,0.992937
2.7,675000,585000,48,54,90151,90151,0.994924
2.8,600000,645000,47,58,91599,91599,0.998695
2.9,585000,660000,53,53,93047,93047,0.996384
3,705000,540000,48,57,93047,93047,0.982739
3.1,600000,660000,49,60,94495,94495,0.997738
3.2,555000,690000,52,56,94495,94495,0.988379
3.3,765000,480000,44,65,95943,95943,0.950207
3.4,510000,735000,53,59,97391,97391,0.968372
3.5,645000,600000,56,57,97391,97391,0.998695
3.6,615000,645000,58,55,98839,98839,0.999433
3.7,600000,645000,55,61,100287,100287,0.998695
3.8,630000,615000,65,52,100287,100287,0.999855
3.9,675000,570000,53,65,101735,101735,0.992937
4,555000,705000,58,60,101735,101735,0.986026
4.1,705000,540000,56,65,103183,103183,0.982739
4.2,540000,705000,59,63,104631,104631,0.982739
4.3,660000,585000,65,56,104631,104631,0.996384
4.4,645000,600000,61,65,106079,106079,0.998695
4.5,660000,600000,57,67,106079,106079,0.997738
4.6,510000,735000,68,57,107527,107527,0.968372
4.7,630000,615000,71,56,108975,107527,0.999855
4.8,765000,480000,54,75,108975,108975,0.950207
4.9,495000,765000,64,65,110423,110423,0.956098
5,675000,570000,69,61,110423,110423,0.992937
5.1,570000,675000,66,67,111871,111871,0.992937
5.2,645000,600000,71,61,111871,111871,0.998695
5.3,690000,555000,62,73,113319,113319,0.988379
5.4,660000,600000,58,75,113319,113319,0.997738
5.5,510000,735000,69,67,114767,114767,0.968372
5.6,705000,540000,66,71,114767,114767,0.982739
5.7,540000,705000,74,63,116215,116215,0.982739
5.8,645000,615000,75,62,116215,116215,0.999433
5.9,675000,570000,69,72,117663,117663,0.992937
6,510000,735000,81,59,117663,117663,0.968372
6.1,780000,465000,64,78,119111,119111,0.939836
6.2,510000,735000,76,66,119111,119111,0.968372
6.3,765000,495000,59,82,116283,120559,0.956098
6.4,510000,735000,71,70,116283,120559,0.968372
6.5,735000,510000,59,77,116283,116550,0.968372
6.6,525000,720000,66,71,116283,116550,0.976056
6.7,675000,585000,71,70,119601,115840,0.994924
6.8,555000,690000,62,72,113973,114276,0.988379
6.9,585000,660000,74,56,110650,110768,0.996384
7,645000,600000,67,64,110650,110768,0.998695
7.1,675000,570000,63,66,110650,107419,0.992937
7.2,630000,630000,60,69,112098,107419,1
7.3,645000,600000,63,66,112098,107419,0.998695
7.4,600000,645000,66,64,113546,108867,0.998695
7.5,555000,690000,77,53,113546,108867,0.988379
7.6,825000,435000,58,75,114994,110315,0.912571
7.7,555000,690000,63,69,114994,110315,0.988379
7.8,615000,630000,71,62,116442,108937,0.999855
7.9,645000,600000,66,68,116442,108937,0.998695
8,585000,660000,77,58,117890,108937,0.996384
8.1,660000,600000,76,58,119338,108937,0.997738
8.2,735000,510000,65,68,119338,106473,0.968372
8.3,645000,600000,68,65,117058,107921,0.998695
8.4,630000,615000,68,65,117058,107921,0.999855
8.5,630000,630000,69,64,118506,109369,1
8.6,570000,675000,80,53,118506,109369,0.992937
8.7,810000,435000,67,68,119954,110817,0.916822
8.8,525000,720000,72,64,119954,110817,0.976056
8.9,780000,465000,63,74,118025,112265,0.939836
9,585000,675000,62,74,118025,112265,0.994924
9.1,630000,615000,73,65,119473,113713,0.999855
9.2,720000,525000,60,78,119473,113713,0.976056
9.3,495000,750000,82,59,120921,115161,0.959738
9.4,750000,510000,67,73,119278,115161,0.964989
9.5,540000,705000,77,62,119278,115004,0.982739
9.6,675000,570000,72,67,119278,115004,0.992937
9.7,645000,600000,71,69,119241,115004,0.998695
9.8,600000,645000,77,63,119241,115004,0.998695
9.9,720000,540000,65,75,119241,115001,0.98
10,555000,690000,77,61,120689,115001,0.988379
10.1,705000,540000,63,75,119295,115001,0.982739
10.2,570000,675000,73,64,119295,113525,0.992937
10.3,630000,630000,71,65,117828,113525,1
10.4,660000,585000,68,69,117828,112072,0.996384
10.5,525000,720000,79,55,116335,112072,0.976056
10.6,735000,510000,68,68,116335,113520,0.968372
10.7,555000,690000,71,63,114866,112162,0.988379
10.8,795000,465000,65,70,114866,112162,0.935809
10.9,555000,690000,60,75,114866,112162,0.988379
11,660000,585000,66,69,114936,113610,0.996384
11.1,675000,570000,57,76,114936,112372,0.992937
11.2,495000,765000,77,57,114936,112372,0.956098
11.3,780000,465000,64,70,114936,112372,0.939836
11.4,555000,690000,70,66,116384,113820,0.988379
11.5,630000,615000,74,61,116384,113820,0.999855
11.6,660000,585000,63,75,117288,115268,0.996384
11.7,555000,705000,79,58,116641,115268,0.986026
11.8,630000,615000,69,67,116641,115695,0.999855
11.9,675000,570000,72,65,118089,115695,0.992937
12,510000,735000,80,59,118089,115695,0.968372
12.1,720000,540000,69,67,117065,115695,0.98
12.2,540000,705000,76,63,117065,117143,0.982739
12.3,750000,495000,66,75,118513,118591,0.959738
12.4,555000,690000,69,71,117505,118591,0.988379
12.5,720000,525000,67,75,117505,120039,0.976056
12.6,570000,690000,64,77,117505,120039,0.991011
12.7,705000,540000,63,76,116522,119241,0.982739
12.8,570000,675000,58,82,116522,119241,0.992937
12.9,615000,630000,66,74,115476,120689,0.999855
13,660000,600000,57,82,115476,119760,0.997738
13.1,495000,750000,75,66,116924,119760,0.959738
13.2,765000,480000,58,82,115783,118851,0.950207
13.3,420000,825000,79,60,115783,118851,0.904306
13.4,825000,420000,59,81,114680,118851,0.904306
13.5,435000,825000,73,65,114680,117768,0.912571
13.6,720000,525000,65,71,113400,117768,0.976056
13.7,555000,690000,65,70,113400,116641,0.988379
13.8,600000,645000,73,61,112041,116641,0.998695
13.9,645000,615000,61,73,112041,116899,0.999433
14,540000,705000,76,59,113489,116899,0.982739
14.1,615000,630000,71,63,112125,116899,0.999855
14.2,645000,600000,68,67,112125,116899,0.998695
14.3,510000,735000,76,59,112125,115656,0.968372
14.4,765000,495000,62,72,113573,115656,0.956098
14.5,525000,720000,68,69,113573,117104,0.976056
14.6,750000,495000,62,74,115021,117104,0.959738
14.7,555000,690000,59,79,115021,117357,0.988379
14.8,615000,645000,69,70,116469,117357,0.999433
14.9,675000,570000,58,81,116469,117357,0.992937
15,510000,735000,76,65,117917,118805,0.968372
15.1,765000,480000,59,80,117917,117662,0.950207
15.2,465000,780000,80,62,119365,117662,0.939836
15.3,795000,465000,64,76,119365,117662,0.935809
15.4,495000,750000,76,65,119823,116579,0.959738
15.5,720000,525000,70,71,119823,116579,0.976056
15.6,570000,675000,72,66,119823,115530,0.992937
15.7,645000,615000,75,63,118744,115530,0.999433
15.8,675000,570000,65,74,118744,114428,0.992937
15.9,555000,690000,81,57,117494,114428,0.988379
16,645000,600000,69,67,117494,114622,0.998695
16.1,630000,615000,75,63,116208,114622,0.999855
16.2,570000,690000,79,58,116208,113330,0.991011
16.3,750000,495000,66,69,116208,113330,0.959738
16.4,435000,810000,79,56,116363,111847,0.916822
16.5,750000,495000,69,66,116363,111847,0.959738
16.6,600000,660000,69,66,116363,110349,0.997738
16.7,765000,480000,68,66,117811,110349,0.950207
16.8,585000,660000,60,76,117811,110349,0.996384
16.9,690000,555000,66,72,119259,111797,0.988379
17,660000,585000,62,76,119259,110348,0.996384
17.1,570000,690000,73,62,118051,110348,0.991011
17.2,735000,510000,64,72,118051,110348,0.968372
17.3,615000,630000,72,64,119499,111796,0.999855
17.4,585000,660000,74,62,118346,111796,0.996384
17.5,690000,570000,68,69,118346,113244,0.991011
17.6,555000,690000,77,58,118346,112071,0.988379
17.7,645000,600000,75,62,119794,112071,0.998695
17.8,705000,540000,68,69,119794,112071,0.982739
17.9,510000,735000,79,57,118692,113519,0.968372
18,735000,525000,66,69,118692,112400,0.972973
18.1,525000,720000,76,61,119079,112400,0.976056
18.2,720000,525000,74,62,119079,112400,0.976056
18.3,615000,630000,69,69,119079,113848,0.999855
18.4,735000,525000,69,68,119079,113848,0.972973
18.5,615000,630000,60,79,119437,115296,0.999855
18.6,690000,555000,63,76,119437,115296,0.988379
18.7,615000,630000,59,79,118403,116744,0.999855
18.8,630000,615000,65,73,118403,115816,0.999855
18.9,675000,585000,61,78,117352,115816,0.994924
19,510000,735000,75,64,117352,115816,0.968372
19.1,690000,555000,68,71,117352,116355,0.988379
19.2,600000,645000,75,64,116331,116355,0.998695
19.3,600000,660000,74,64,116331,116355,0.997738
19.4,675000,570000,70,67,117779,115418,0.992937
19.5,585000,660000,75,63,117779,115418,0.996384
19.6,615000,630000,71,67,119227,114386,0.999855
19.7,705000,540000,68,70,118169,114386,0.982739
19.8,495000,765000,77,59,118169,115834,0.956098
19.9,795000,450000,63,74,117098,115834,0.928687
