Time,NewReno_1_Bps,Cubic_2_Bps,Bbr_3_Bps,Dctcp_4_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,Bbr_3_PktLoss,Dctcp_4_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,Bbr_3_Cwnd,Dctcp_4_Cwnd,JainsFairnessIndex
0.4,616080,151080,151080,560,23,18,0,11,53576,27512,14480,14480,0.496345
0.5,825000,270000,0,150520,24,36,18,0,65535,53576,27512,14480,0.499664
0.6,525000,465000,270000,0,32,29,36,18,66983,65535,53576,27512,0.702789
0.7,480000,345000,150000,270000,45,26,26,0,68431,65535,53576,27512,0.871143
0.8,525000,330000,390000,0,31,33,40,36,69879,66983,65535,53576,0.722117
0.9,300000,375000,90000,480000,45,42,38,4,69879,66983,65535,53576,0.826019
1,525000,135000,540000,60000,35,44,29,44,71327,68431,66983,65535,0.673797
1.1,345000,495000,60000,345000,52,52,43,21,75850,68698,65424,65535,0.796232
1.2,450000,60000,420000,315000,27,52,33,35,49232,66471,70558,66983,0.804414
1.3,180000,495000,285000,285000,46,44,33,26,45329,42000,55420,66983,0.880946
1.4,390000,165000,330000,360000,35,37,20,31,38365,42000,39386,68431,0.927437
1.5,360000,315000,210000,375000,35,40,27,24,35541,35454,43181,68431,0.959739
1.6,315000,330000,270000,330000,33,28,20,31,36989,28239,35793,69879,0.993797
1.7,390000,210000,225000,420000,34,29,17,23,38437,29687,26510,69879,0.915603
1.8,510000,225000,195000,315000,29,30,10,37,39885,29687,26510,71327,0.865018
1.9,435000,255000,105000,465000,31,30,20,26,41333,31135,27958,71327,0.824299
2,435000,240000,240000,330000,35,35,19,35,42781,32583,29406,72775,0.937534
2.1,405000,255000,180000,405000,33,33,13,34,44229,34031,29406,72775,0.910762
2.2,465000,255000,135000,390000,35,34,21,35,45677,34031,30854,74223,0.858122
2.3,390000,240000,225000,390000,36,31,19,35,47125,35479,32302,74223,0.93958
2.4,435000,240000,180000,405000,40,38,19,31,48573,36927,32302,75671,0.895431
