Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
0.4,421080,361080,361080,361080,20,24,24,24,41992,41992,41992,41992,0.99525
0.5,300000,360000,360000,240000,40,36,36,44,65535,65535,65535,65535,0.975664
0.6,360000,285000,240000,360000,36,41,42,36,65535,65535,65535,65535,0.973573
0.7,300000,345000,300000,300000,37,39,45,38,66983,66983,66983,65535,0.996096
0.8,255000,270000,360000,360000,44,41,37,37,66983,66983,66983,66983,0.975779
0.9,300000,315000,315000,315000,47,47,37,32,68431,68431,67901,66983,0.999565
1,360000,360000,300000,240000,39,39,33,44,68431,68431,54541,66673,0.975664
1.1,345000,345000,315000,240000,42,28,22,39,63966,60253,46524,57044,0.981339
1.2,360000,270000,180000,435000,28,27,21,23,55981,42000,40564,42000,0.91366
1.3,345000,330000,300000,270000,26,23,15,18,45100,39339,27090,40855,0.991508
1.4,390000,345000,255000,270000,25,12,13,18,46548,31015,28538,28210,0.970297
1.5,465000,285000,225000,270000,20,13,17,19,46548,30491,29986,29658,0.920497
1.6,495000,210000,255000,285000,20,17,16,19,47996,30491,29986,31106,0.890052
1.7,330000,285000,315000,315000,27,19,14,14,49444,31939,31434,31106,0.99725
1.8,435000,285000,240000,285000,29,19,15,16,50892,33387,32882,32554,0.946811
1.9,495000,300000,225000,240000,25,18,21,19,52340,34835,34330,34002,0.895431
2,375000,270000,315000,285000,31,23,21,13,53788,36283,35778,35450,0.983581
2.1,465000,345000,240000,195000,33,12,19,25,55236,36283,35778,36898,0.899347
2.2,405000,180000,285000,375000,28,23,21,20,55236,37731,37226,36898,0.926439
2.3,390000,345000,315000,210000,33,23,19,21,56684,39179,38674,38346,0.957655
2.4,405000,285000,255000,300000,35,25,20,18,58132,40627,38674,39794,0.9681
2.5,525000,270000,180000,270000,26,19,27,26,58132,40627,40122,39794,0.853867
2.6,300000,285000,360000,300000,37,25,20,21,59580,42075,41570,41242,0.991508
2.7,435000,285000,270000,255000,33,27,27,21,61028,43523,43018,42690,0.948898
2.8,495000,345000,180000,240000,34,16,29,29,61028,43523,43018,42690,0.874133
2.9,300000,225000,375000,345000,39,26,23,23,62476,44971,44466,44138,0.9681
3,405000,330000,285000,225000,39,29,24,20,63924,46419,44466,44138,0.957337
3.1,585000,150000,210000,300000,24,31,31,31,63924,46419,45914,45586,0.776838
3.2,240000,420000,315000,285000,37,26,29,27,65372,47867,47362,47034,0.957655
3.3,435000,360000,270000,180000,45,20,23,31,66820,47867,47362,47034,0.91366
3.4,300000,180000,345000,420000,41,31,27,24,66820,49315,48810,48482,0.927437
3.5,405000,315000,285000,240000,45,35,26,20,68268,50763,48810,48482,0.963766
3.6,555000,180000,210000,300000,28,35,33,33,68268,50763,50258,49930,0.816619
3.7,270000,420000,315000,255000,39,30,30,31,69716,52211,50258,51378,0.959739
3.8,555000,270000,180000,240000,38,24,35,35,69716,52211,51706,51378,0.822862
3.9,240000,285000,375000,345000,39,32,33,31,71164,53659,53154,52826,0.972473
4,495000,420000,150000,180000,48,16,35,35,71164,53659,53154,52826,0.813533
4.1,240000,180000,465000,375000,43,33,31,31,72612,55107,54602,54274,0.888218
4.2,480000,390000,225000,150000,49,27,26,37,72612,55107,54602,54274,0.850494
4.3,285000,165000,330000,465000,45,35,31,31,74060,56555,56050,55722,0.893747
4.4,450000,390000,315000,90000,51,35,20,37,74060,57350,56050,55722,0.838894
4.5,345000,195000,240000,465000,47,33,33,33,75508,56249,57498,57170,0.899347
4.6,420000,390000,330000,120000,52,35,21,37,75508,52985,57498,57170,0.878486
4.7,345000,180000,255000,465000,48,31,33,34,76956,52985,58946,58618,0.895606
4.8,435000,345000,330000,135000,52,35,21,37,76956,52985,58946,58618,0.890052
4.9,345000,180000,255000,465000,49,33,35,34,78404,56187,60394,60066,0.895606
5,435000,345000,330000,150000,52,34,23,38,79549,50413,60394,61804,0.902764
5.1,300000,210000,285000,450000,49,29,36,31,78241,50413,61039,55620,0.927437
5.2,480000,300000,330000,135000,49,28,22,37,72665,46880,60658,55620,0.865887
5.3,330000,195000,270000,450000,45,26,31,30,76342,46880,52471,57326,0.917555
5.4,405000,270000,270000,300000,50,28,29,24,74129,43690,54752,56687,0.96919
5.5,375000,195000,330000,360000,39,28,31,25,64510,43690,53660,49790,0.951456
5.6,495000,300000,225000,225000,35,23,34,25,64510,40916,53174,49790,0.888216
5.7,525000,150000,315000,255000,22,27,33,33,64510,40916,50043,49790,0.838078
5.8,210000,330000,360000,345000,39,23,24,33,65958,40916,45699,51238,0.964846
5.9,450000,285000,300000,225000,45,23,21,30,65958,42364,47147,51238,0.935313
6,255000,225000,315000,450000,43,27,25,25,67406,43812,48595,52686,0.928437
6.1,555000,255000,150000,285000,36,26,33,26,67406,43812,48595,52686,0.812765
6.2,480000,180000,345000,240000,25,31,33,37,68854,45260,50043,54134,0.881848
6.3,285000,375000,210000,375000,43,22,29,33,70302,45260,50043,55582,0.953099
6.4,480000,300000,300000,180000,41,17,34,37,70302,46708,51491,55582,0.896341
6.5,255000,225000,360000,405000,47,26,24,37,71750,46708,51491,57030,0.946811
6.6,450000,240000,300000,255000,49,29,25,32,71750,48156,52939,57030,0.933469
6.7,285000,255000,315000,390000,47,29,29,33,73198,49604,54387,58478,0.974675
6.8,450000,240000,210000,360000,49,33,33,21,73198,49604,54387,58478,0.914938
6.9,315000,285000,390000,255000,49,31,28,34,74646,51052,55835,59926,0.974675
7,465000,210000,165000,405000,48,35,37,23,74646,51052,55835,59926,0.858122
7.1,300000,315000,405000,225000,47,33,29,33,73112,52500,57283,61374,0.959471
7.2,495000,210000,150000,390000,44,35,39,27,73112,52500,57283,61374,0.835638
7.3,255000,315000,435000,255000,47,35,33,33,73112,53948,58731,62822,0.948387
7.4,525000,210000,150000,360000,42,37,38,30,73112,53948,56550,62822,0.821292
7.5,210000,345000,420000,270000,49,34,30,35,74560,55396,56550,64270,0.93958
7.6,525000,210000,150000,360000,41,36,39,30,72067,53637,56550,64270,0.821292
7.7,240000,345000,420000,255000,47,30,28,35,72067,53637,54536,62308,0.949408
7.8,480000,195000,165000,405000,40,35,37,29,69611,53637,54536,62308,0.843
7.9,255000,360000,375000,255000,44,31,29,32,69611,51997,52626,60291,0.9681
8,510000,165000,180000,390000,35,33,35,29,67076,51997,52626,60291,0.821292
8.1,360000,330000,345000,210000,32,30,33,39,67076,50285,52175,59595,0.964846
8.2,375000,240000,180000,465000,32,27,36,35,64595,50285,52175,59595,0.888218
8.3,450000,300000,345000,150000,26,29,36,39,64595,48497,52175,57574,0.89282
8.4,300000,285000,195000,465000,36,23,35,32,64595,48497,52175,57574,0.910762
8.5,360000,315000,450000,120000,43,23,29,38,66043,49945,53623,57574,0.869384
8.6,315000,210000,285000,450000,45,26,22,38,67491,49945,53623,57574,0.929399
8.7,360000,300000,330000,255000,45,34,26,30,67491,51393,55071,59022,0.984706
8.8,315000,270000,300000,360000,47,30,22,36,68939,51393,53499,59022,0.98923
8.9,360000,240000,270000,375000,47,35,34,22,68939,52841,53499,60470,0.967013
9,345000,270000,330000,300000,48,31,26,34,70387,52841,53499,60470,0.991508
9.1,405000,255000,210000,390000,45,37,36,23,70387,54289,54947,61918,0.933333
9.2,315000,330000,345000,255000,48,33,25,37,69999,54289,54947,63366,0.988095
9.3,465000,225000,195000,360000,41,37,37,28,69999,55737,56395,61733,0.891895
9.4,255000,330000,375000,285000,48,33,26,35,69999,55737,56395,61733,0.979107
9.5,510000,225000,180000,345000,37,38,38,30,68275,57185,57843,61733,0.858812
