Time,NewReno_1_Bps,NewReno_2_Bps,NewReno_1_PktLoss,NewReno_2_PktLoss,NewReno_1_Cwnd,NewReno_2_Cwnd,JainsFairnessIndex
0.4,631080,560,3,11,31856,14480,0.500887
0.5,765000,150520,30,14,66732,21720,0.689425
0.6,1.035e+06,210000,29,0,67782,21720,0.694876
0.7,1.245e+06,0,27,21,68982,31856,0.5
0.8,945000,315000,27,18,69912,40544,0.8
0.9,975000,270000,35,15,70956,47784,0.757199
1,975000,270000,30,40,71826,66701,0.757199
1.1,750000,495000,37,21,72627,66918,0.959738
1.2,915000,345000,36,32,73467,67445,0.830118
1.3,795000,450000,38,24,74223,67782,0.928687
1.4,915000,330000,35,27,75030,68142,0.819144
1.5,840000,405000,36,26,75786,68532,0.891203
1.6,900000,345000,34,29,76569,68922,0.834221
1.7,885000,375000,34,30,77352,69312,0.85923
1.8,840000,405000,38,32,78144,69732,0.891203
1.9,855000,390000,40,32,78898,70115,0.87758
2,840000,405000,43,31,79652,70492,0.891203
2.1,855000,405000,44,30,80406,70869,0.886878
2.2,855000,390000,42,31,81091,71246,0.87758
2.3,840000,405000,44,30,81816,71623,0.891203
2.4,870000,375000,42,29,82516,71971,0.8635
2.5,870000,375000,43,28,83241,72319,0.8635
2.6,855000,405000,42,26,83939,72655,0.886878
2.7,855000,390000,42,26,84611,73019,0.87758
2.8,885000,360000,41,30,85307,73411,0.849026
2.9,855000,390000,43,30,86003,73775,0.87758
3,900000,360000,41,33,86699,74139,0.844828
3.1,840000,405000,42,32,87371,74503,0.891203
3.2,855000,390000,43,32,88038,74867,0.87758
3.3,855000,390000,43,32,88682,75219,0.87758
3.4,885000,360000,42,35,89349,75570,0.849026
3.5,855000,405000,42,34,89993,75921,0.886878
3.6,855000,390000,45,36,90683,76299,0.87758
3.7,855000,390000,43,34,91298,76623,0.87758
3.8,855000,390000,46,37,91958,77001,0.87758
3.9,855000,405000,43,34,92552,77325,0.886878
4,840000,405000,46,35,93190,77702,0.891203
4.1,870000,375000,46,34,93828,78014,0.8635
4.2,825000,420000,50,33,94466,78352,0.904306
4.3,870000,375000,48,34,95082,78690,0.8635
4.4,840000,420000,51,34,95702,79054,0.9
4.5,855000,390000,50,34,96290,79392,0.87758
4.6,840000,405000,52,34,96899,79730,0.891203
4.7,840000,405000,55,33,97508,80068,0.891203
4.8,855000,405000,54,32,98096,80406,0.886878
4.9,855000,390000,54,34,98684,80766,0.87758
5,885000,360000,55,37,99314,81091,0.849026
5.1,855000,390000,54,37,99900,81416,0.87758
5.2,840000,405000,57,36,100480,81741,0.891203
5.3,870000,390000,55,38,101040,82091,0.873267
5.4,855000,390000,55,38,101600,82416,0.87758
5.5,855000,390000,56,39,102180,82741,0.87758
5.6,840000,405000,56,38,102740,83066,0.891203
5.7,840000,420000,57,36,103300,83391,0.9
5.8,855000,390000,56,36,103860,83716,0.87758
5.9,855000,390000,56,39,104420,84059,0.87758
6,855000,390000,57,37,104992,84347,0.87758
6.1,840000,405000,57,38,105524,84683,0.891203
6.2,855000,405000,59,39,106075,85019,0.886878
6.3,840000,405000,59,38,106607,85331,0.891203
6.4,885000,360000,59,43,107158,85667,0.849026
6.5,810000,435000,61,38,107690,85955,0.916822
6.6,870000,390000,59,38,108222,86267,0.873267
6.7,855000,390000,59,40,108754,86603,0.87758
6.8,855000,390000,60,41,109305,86915,0.87758
6.9,840000,405000,60,40,109837,87227,0.891203
7,840000,405000,63,39,110387,87532,0.891203
7.1,855000,405000,62,40,110891,87854,0.886878
7.2,855000,390000,61,40,111395,88153,0.87758
7.3,825000,420000,63,41,111899,88475,0.904306
7.4,855000,390000,64,41,112421,88774,0.87758
7.5,855000,405000,61,40,112907,89073,0.886878
7.6,855000,390000,63,42,113429,89395,0.87758
7.7,855000,390000,62,42,113933,89694,0.87758
7.8,825000,420000,66,43,114455,90016,0.904306
7.9,840000,405000,66,42,114959,90315,0.891203
8,870000,390000,64,42,115463,90614,0.873267
8.1,855000,390000,64,44,115967,90936,0.87758
8.2,825000,420000,65,45,116471,91254,0.904306
8.3,855000,390000,64,45,116948,91540,0.87758
8.4,825000,435000,68,42,117441,91826,0.912571
8.5,855000,390000,67,44,117917,92134,0.87758
8.6,855000,390000,66,44,118393,92420,0.87758
8.7,840000,405000,67,46,118869,92728,0.891203
8.8,840000,405000,67,45,119345,93014,0.891203
8.9,855000,405000,66,44,119821,93300,0.886878
9,840000,405000,69,45,120314,93608,0.891203
9.1,840000,405000,69,44,120790,93894,0.891203
9.2,855000,390000,68,47,121266,94202,0.87758
9.3,840000,420000,69,45,121742,94488,0.9
9.4,810000,435000,71,44,122218,94796,0.916822
9.5,855000,390000,70,44,122694,95082,0.87758
9.6,855000,390000,70,46,123170,95387,0.87758
9.7,855000,390000,71,47,123644,95660,0.87758
9.8,840000,420000,69,47,124076,95954,0.9
9.9,840000,405000,69,46,124524,96227,0.891203
10,825000,420000,73,46,124988,96521,0.904306
10.1,855000,390000,72,48,125436,96815,0.87758
10.2,840000,420000,70,47,125868,97088,0.9
10.3,855000,390000,72,49,126332,97382,0.87758
10.4,810000,435000,74,48,126780,97676,0.916822
10.5,840000,405000,72,47,127212,97949,0.891203
10.6,840000,405000,73,46,127660,98222,0.891203
10.7,870000,390000,73,49,128124,98516,0.873267
10.8,825000,420000,74,49,128572,98810,0.904306
10.9,840000,405000,75,48,129020,99083,0.891203
11,855000,390000,72,50,129452,99377,0.87758
11.1,840000,420000,74,48,129916,99650,0.9
11.2,825000,420000,74,51,130348,99960,0.904306
11.3,825000,420000,81,49,130812,100220,0.904306
11.4,840000,405000,93,48,131232,100480,0.891203
11.5,865160,390000,99,50,131697,100760,0.874652
11.6,828080,420000,101,50,126640,101040,0.903418
11.7,830680,420000,34,50,62596,101320,0.902671
11.8,482560,765000,37,27,62629,98464,0.951245
11.9,881640,364600,34,2,63585,49232,0.853151
12,1.11e+06,135680,39,26,64833,49568,0.620435
12.1,885000,360000,31,25,65630,50069,0.849026
12.2,900000,345000,36,14,66622,50315,0.834221
12.3,990000,270000,40,25,67705,50889,0.753846
12.4,870000,375000,39,20,68545,51296,0.8635
12.5,960000,285000,37,19,69475,51656,0.772829
12.6,975000,270000,35,26,70388,52136,0.757199
12.7,885000,360000,43,22,71345,52534,0.849026
12.8,960000,300000,41,24,72244,52963,0.784698
12.9,915000,330000,39,22,73058,53353,0.819144
13,945000,300000,41,23,73954,53743,0.788396
13.1,930000,315000,41,24,74822,54162,0.803851
13.2,930000,330000,42,24,75662,54580,0.815157
13.3,915000,330000,45,24,76526,54998,0.819144
13.4,945000,300000,43,25,77336,55373,0.788396
13.5,900000,345000,45,24,78154,55780,0.834221
13.6,915000,330000,47,22,78960,56150,0.819144
13.7,960000,300000,44,25,79740,56557,0.784698
13.8,930000,315000,46,26,80572,56956,0.803851
13.9,915000,330000,46,26,81325,57352,0.819144
14,915000,330000,47,26,82100,57748,0.819144
14.1,930000,330000,48,25,82875,58108,0.815157
14.2,930000,315000,48,26,83650,58497,0.803851
14.3,915000,330000,50,26,84403,58882,0.819144
14.4,915000,330000,49,26,85123,59267,0.819144
14.5,930000,315000,50,26,85867,59617,0.803851
14.6,930000,330000,48,26,86587,60000,0.815157
14.7,915000,330000,50,26,87331,60374,0.819144
14.8,945000,300000,49,28,88046,60748,0.788396
14.9,915000,330000,51,29,88759,61122,0.819144
15,915000,345000,52,30,89472,61530,0.830118
15.1,915000,330000,54,28,90185,61865,0.819144
15.2,915000,330000,53,28,90875,62228,0.819144
15.3,915000,330000,55,29,91570,62591,0.819144
15.4,900000,345000,57,28,92252,62954,0.834221
15.5,930000,330000,56,28,92912,63317,0.815157
15.6,915000,330000,57,28,93594,63676,0.819144
15.7,915000,330000,59,29,94276,64028,0.819144
15.8,900000,345000,59,28,94936,64380,0.834221
15.9,960000,300000,58,32,95604,64764,0.784698
16,885000,360000,59,30,96234,65116,0.849026
16.1,930000,315000,59,32,96885,65468,0.803851
16.2,885000,360000,61,30,97515,65811,0.849026
16.3,930000,315000,59,31,98145,66152,0.803851
16.4,915000,345000,59,30,98775,66493,0.830118
16.5,930000,315000,59,32,99426,66834,0.803851
16.6,885000,360000,63,30,100066,67175,0.849026
16.7,945000,300000,60,34,100666,67547,0.788396
16.8,900000,360000,60,32,101266,67880,0.844828
16.9,915000,330000,62,33,101886,68210,0.819144
17,900000,345000,60,32,102466,68540,0.834221
17.1,885000,360000,64,32,103086,68900,0.849026
17.2,915000,330000,63,32,103686,69230,0.819144
17.3,930000,330000,64,33,104306,69560,0.815157
17.4,915000,330000,63,35,104903,69920,0.819144
17.5,900000,345000,63,34,105473,70239,0.834221
17.6,915000,330000,65,34,106062,70558,0.819144
17.7,900000,360000,63,34,106613,70906,0.844828
17.8,900000,345000,64,34,107183,71225,0.834221
17.9,885000,360000,65,34,107753,71573,0.849026
18,915000,330000,66,34,108342,71892,0.819144
18.1,885000,360000,70,32,108931,72211,0.849026
18.2,930000,330000,66,35,109482,72551,0.815157
18.3,900000,345000,69,34,110071,72859,0.834221
18.4,915000,330000,68,36,110626,73195,0.819144
18.5,915000,330000,65,38,111148,73531,0.819144
18.6,900000,360000,68,36,111706,73839,0.844828
18.7,915000,330000,67,39,112246,74175,0.819144
18.8,870000,375000,67,36,112768,74483,0.8635
18.9,885000,360000,69,34,113308,74791,0.849026
19,900000,345000,71,35,113866,75119,0.834221
19.1,930000,330000,72,38,114424,75443,0.815157
19.2,900000,345000,70,37,114946,75740,0.834221
19.3,885000,360000,71,37,115486,76064,0.849026
19.4,930000,315000,70,40,116026,76388,0.803851
19.5,885000,375000,71,39,116562,76712,0.85923
19.6,900000,345000,71,39,117072,77009,0.834221
19.7,870000,375000,72,36,117565,77306,0.8635
19.8,915000,330000,71,38,118075,77630,0.819144
19.9,885000,360000,74,38,118602,77943,0.849026
20,900000,360000,73,39,119095,78255,0.844828
20.1,915000,330000,74,39,119622,78541,0.819144
