Time,Flow1_NewReno_Bps,Flow2_NewReno_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,631080,560,3,11,31856,14480,0.500887
0.5,750000,150520,31,14,66732,21720,0.692923
0.6,1.035e+06,210000,30,0,67782,21720,0.694876
0.7,1.245e+06,0,26,21,68952,31856,0.5
0.8,945000,315000,26,18,69882,40544,0.8
0.9,975000,270000,36,15,70956,47784,0.757199
1,1.02e+06,225000,28,41,71826,66670,0.710353
1.1,750000,495000,37,22,72655,66887,0.959738
1.2,900000,360000,37,34,73495,67445,0.844828
1.3,795000,450000,39,24,74251,67752,0.928687
1.4,915000,330000,36,29,75057,68142,0.819144
1.5,810000,435000,37,24,75786,68502,0.916822
1.6,915000,330000,36,28,76596,68892,0.819144
1.7,885000,375000,34,29,77352,69282,0.85923
1.8,870000,375000,36,33,78144,69702,0.8635
1.9,840000,405000,39,32,78898,70086,0.891203
2,855000,390000,43,32,79678,70463,0.87758
2.1,840000,420000,43,30,80406,70840,0.9
2.2,855000,390000,45,31,81141,71217,0.87758
2.3,840000,405000,45,30,81841,71594,0.891203
2.4,855000,390000,45,28,82541,71942,0.87758
2.5,870000,375000,43,29,83241,72319,0.8635
2.6,870000,390000,43,28,83963,72655,0.873267
2.7,855000,390000,43,28,84635,73019,0.87758
2.8,855000,390000,42,28,85307,73383,0.87758
2.9,885000,360000,42,30,86003,73747,0.849026
3,870000,390000,42,31,86699,74111,0.873267
3.1,840000,405000,43,30,87371,74475,0.891203
3.2,870000,375000,43,31,88038,74839,0.8635
3.3,870000,375000,44,32,88705,75192,0.8635
3.4,855000,390000,45,33,89372,75543,0.87758
3.5,855000,405000,45,30,90016,75867,0.886878
3.6,885000,360000,44,34,90683,76245,0.849026
3.7,825000,420000,46,32,91320,76596,0.904306
3.8,870000,375000,46,34,91958,76947,0.8635
3.9,840000,420000,46,32,92574,77298,0.9
4,855000,390000,48,34,93212,77676,0.87758
4.1,855000,390000,49,32,93850,77988,0.87758
4.2,855000,390000,49,33,94466,78326,0.87758
4.3,840000,405000,51,32,95104,78664,0.891203
4.4,870000,390000,50,32,95702,79002,0.873267
4.5,855000,390000,53,34,96332,79366,0.87758
4.6,855000,390000,52,35,96920,79704,0.87758
4.7,855000,390000,54,35,97529,80042,0.87758
4.8,855000,405000,53,34,98117,80380,0.886878
4.9,855000,390000,55,36,98726,80741,0.87758
5,855000,390000,54,36,99314,81066,0.87758
5.1,870000,375000,55,38,99920,81391,0.8635
5.2,855000,390000,54,38,100480,81716,0.87758
5.3,870000,390000,54,38,101060,82041,0.873267
5.4,840000,405000,53,37,101600,82366,0.891203
5.5,855000,390000,54,40,102180,82716,0.87758
5.6,825000,420000,57,36,102760,83016,0.904306
5.7,870000,390000,56,36,103320,83341,0.873267
5.8,840000,405000,56,37,103880,83691,0.891203
5.9,870000,375000,57,39,104460,84011,0.8635
6,825000,420000,58,37,105011,84323,0.904306
6.1,870000,375000,58,40,105562,84659,0.8635
6.2,840000,420000,59,38,106094,84971,0.9
6.3,855000,390000,60,38,106645,85283,0.87758
6.4,855000,390000,58,41,107158,85619,0.87758
6.5,840000,405000,60,40,107709,85931,0.891203
6.6,870000,390000,58,40,108241,86243,0.873267
6.7,840000,405000,61,39,108792,86555,0.891203
6.8,855000,390000,60,39,109324,86867,0.87758
6.9,840000,405000,62,39,109875,87179,0.891203
7,840000,405000,63,40,110405,87509,0.891203
