Time,NewReno_1_Bps,NewReno_2_Bps,NewReno_1_PktLoss,NewReno_2_PktLoss,NewReno_1_Cwnd,NewReno_2_Cwnd,JainsFairnessIndex
0.4,541080,451080,9,15,31856,31856,0.991839
0.5,630000,615000,33,28,63712,57920,0.999855
0.6,675000,570000,34,36,67259,67073,0.992937
0.7,615000,630000,33,38,67872,67752,0.999855
0.8,645000,600000,37,35,68562,68292,0.998695
0.9,555000,705000,40,32,69162,68952,0.986026
1,690000,555000,39,34,69822,69522,0.988379
1.1,615000,630000,34,40,70347,70231,0.999855
1.2,645000,600000,31,44,70927,70869,0.998695
1.3,525000,720000,45,33,71623,71391,0.976056
1.4,675000,585000,40,36,72203,72000,0.994924
1.5,675000,570000,34,43,72739,72627,0.992937
1.6,600000,645000,40,38,73383,73159,0.998695
1.7,630000,615000,45,35,74027,73691,0.999855
1.8,675000,585000,34,47,74503,74391,0.994924
1.9,540000,705000,40,40,75084,74949,0.982739
2,600000,645000,43,38,75651,75489,0.998695
2.1,675000,570000,38,44,76191,76083,0.992937
2.2,570000,675000,47,37,76812,76596,0.992937
2.3,705000,555000,42,43,77379,77163,0.986026
2.4,600000,645000,38,46,77858,77780,0.998695
2.5,570000,675000,45,40,78430,78274,0.992937
2.6,675000,570000,42,44,78976,78820,0.992937
2.7,630000,630000,48,38,79600,79288,1
2.8,720000,525000,35,54,80042,79938,0.976056
2.9,435000,810000,52,36,80640,80406,0.916822
3,735000,510000,40,48,81091,80991,0.968372
3.1,555000,690000,49,41,81666,81466,0.988379
3.2,735000,525000,40,50,82166,82016,0.972973
3.3,495000,750000,52,40,82716,82516,0.959738
3.4,735000,510000,41,51,83191,83066,0.968372
3.5,555000,690000,50,41,83766,83516,0.988379
3.6,750000,510000,37,56,84203,84107,0.964989
3.7,435000,810000,58,36,84803,84515,0.916822
3.8,750000,495000,42,53,85211,85115,0.959738
3.9,630000,615000,51,45,85811,85499,0.999855
4,570000,675000,45,52,86195,86123,0.992937
4.1,675000,585000,48,47,86771,86531,0.994924
4.2,540000,705000,55,43,87275,87035,0.982739
4.3,765000,480000,40,59,87693,87601,0.950207
4.4,480000,765000,56,42,88245,87992,0.950207
4.5,720000,540000,47,53,88682,88521,0.98
4.6,615000,630000,50,51,89188,88981,0.999855
4.7,480000,765000,60,40,89671,89441,0.950207
4.8,750000,495000,45,56,90062,89993,0.959738
4.9,645000,600000,54,48,90660,90361,0.998695
5,540000,720000,54,48,91074,90913,0.98
5.1,705000,540000,48,57,91518,91408,0.982739
5.2,630000,615000,56,48,92068,91760,0.999855
5.3,525000,720000,55,48,92442,92288,0.976056
5.4,720000,540000,48,57,92882,92772,0.98
5.5,645000,600000,57,49,93454,93124,0.998695
5.6,510000,735000,57,50,93828,93674,0.968372
5.7,705000,540000,49,59,94246,94158,0.982739
5.8,645000,600000,56,53,94796,94532,0.998695
5.9,480000,780000,64,43,95236,94994,0.946352
6,750000,495000,53,56,95639,95492,0.959738
