Time,Flow1_NewReno_Bps,Flow2_NewReno_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,496080,496080,12,12,31856,31856,1
0.5,645000,585000,29,33,60816,60816,0.997626
0.6,615000,630000,34,37,67166,67166,0.999855
0.7,690000,555000,30,40,67812,67782,0.988379
0.8,570000,690000,37,35,68472,68382,0.991011
0.9,630000,615000,37,34,69102,68982,0.999855
1,615000,630000,35,39,69672,69672,0.999855
1.1,660000,585000,37,38,70347,70231,0.996384
1.2,585000,660000,38,38,70927,70869,0.996384
1.3,630000,630000,37,39,71507,71478,1
1.4,630000,615000,39,36,72145,72029,0.999855
1.5,645000,600000,37,41,72711,72655,0.998695
1.6,570000,675000,43,36,73327,73215,0.992937
1.7,645000,615000,39,42,73859,73859,0.999433
1.8,615000,630000,42,38,74475,74391,0.999855
1.9,675000,570000,37,42,75030,74976,0.992937
2,615000,630000,43,39,75651,75489,0.999855
2.1,645000,600000,38,45,76164,76110,0.998695
2.2,585000,675000,46,38,76785,76623,0.994924
2.3,675000,570000,41,43,77325,77190,0.992937
2.4,615000,630000,40,43,77858,77754,0.999855
2.5,600000,645000,45,41,78430,78274,0.998695
2.6,645000,615000,38,48,78898,78898,0.999433
2.7,570000,675000,46,41,79496,79392,0.992937
2.8,630000,615000,45,43,80016,79938,0.999855
2.9,600000,645000,45,42,80536,80484,0.998695
3,675000,570000,42,46,81066,81016,0.992937
3.1,600000,660000,51,39,81666,81466,0.997738
3.2,660000,585000,47,44,82166,82016,0.996384
3.3,585000,660000,45,47,82616,82591,0.996384
3.4,675000,570000,42,51,83141,83116,0.992937
3.5,555000,705000,51,40,83716,83566,0.986026
3.6,645000,600000,49,45,84203,84107,0.998695
3.7,615000,630000,50,45,84707,84611,0.999855
3.8,690000,555000,42,52,85163,85139,0.988379
3.9,600000,645000,45,52,85667,85643,0.998695
4,645000,615000,46,49,86195,86099,0.999433
4.1,570000,675000,50,46,86699,86603,0.992937
4.2,630000,615000,53,44,87227,87059,0.999855
4.3,615000,630000,50,48,87670,87601,0.999855
4.4,660000,600000,50,48,88176,88061,0.997738
4.5,615000,630000,48,53,88613,88590,0.999855
4.6,660000,585000,48,52,89119,89027,0.996384
4.7,540000,705000,50,49,89556,89533,0.982739
4.8,720000,525000,47,55,90062,89993,0.976056
4.9,615000,645000,46,56,90522,90499,0.999433
5,585000,660000,51,52,91028,90959,0.996384
5.1,675000,570000,47,57,91474,91430,0.992937
5.2,615000,630000,46,57,91914,91892,0.999855
5.3,585000,675000,51,52,92398,92332,0.994924
5.4,675000,570000,47,59,92838,92816,0.992937
5.5,615000,630000,46,59,93278,93278,0.999855
5.6,570000,675000,52,54,93762,93718,0.992937
5.7,675000,570000,50,59,94224,94180,0.992937
5.8,660000,600000,48,61,94686,94642,0.997738
5.9,510000,735000,54,54,95126,95104,0.968372
6,645000,600000,54,54,95576,95534,0.998695
6.1,645000,600000,57,53,96059,95933,0.998695
6.2,645000,615000,56,54,96500,96374,0.999433
6.3,585000,660000,61,50,96962,96794,0.996384
6.4,615000,630000,55,57,97319,97298,0.999855
6.5,645000,600000,54,57,97760,97718,0.998695
6.6,660000,585000,54,58,98222,98138,0.996384
6.7,600000,660000,57,57,98663,98579,0.997738
6.8,645000,600000,52,61,99062,99041,0.998695
6.9,630000,615000,56,58,99545,99440,0.999855
7,585000,660000,62,54,100000,99860,0.996384
7.1,600000,660000,66,51,100440,100260,0.997738
7.2,690000,555000,54,62,100780,100740,0.988379
7.3,660000,585000,50,65,101180,101160,0.996384
7.4,630000,615000,51,67,101600,101580,0.999855
7.5,555000,690000,60,59,102060,101960,0.988379
7.6,600000,660000,64,55,102500,102360,0.997738
7.7,660000,585000,57,63,102860,102820,0.996384
7.8,690000,555000,51,70,103260,103260,0.988379
7.9,585000,660000,56,64,103700,103640,0.996384
8,570000,690000,64,56,104160,104020,0.991011
8.1,585000,660000,70,51,104600,104400,0.996384
8.2,690000,555000,62,60,104973,104859,0.988379
8.3,645000,600000,57,66,105334,105296,0.998695
8.4,555000,690000,67,58,105771,105657,0.988379
8.5,630000,630000,67,57,106170,106037,1
8.6,705000,540000,56,67,106512,106474,0.982739
8.7,570000,675000,60,64,106911,106873,0.992937
8.8,600000,645000,67,58,107348,107215,0.998695
8.9,705000,555000,58,67,107709,107652,0.986026
9,630000,615000,58,68,108108,108051,0.999855
9.1,525000,720000,69,58,108545,108412,0.976056
9.2,645000,600000,67,61,108925,108811,0.998695
9.3,735000,510000,54,75,109267,109267,0.968372
9.4,555000,705000,63,64,109704,109609,0.986026
9.5,555000,690000,73,56,110141,109970,0.988379
9.6,645000,600000,66,63,110477,110405,0.998695
9.7,600000,645000,68,64,110855,110801,0.998695
9.8,690000,570000,60,70,111197,111197,0.991011
9.9,675000,570000,60,73,111593,111557,0.992937
10,525000,720000,71,61,112007,111881,0.976056
10.1,675000,570000,64,67,112349,112277,0.992937
10.2,660000,585000,60,72,112709,112673,0.996384
10.3,540000,720000,73,61,113141,112997,0.98
10.4,690000,555000,65,68,113483,113393,0.988379
10.5,585000,660000,66,68,113843,113789,0.996384
10.6,570000,675000,78,57,114293,114095,0.992937
10.7,645000,615000,70,67,114599,114545,0.999433
10.8,645000,600000,71,65,114995,114887,0.998695
10.9,660000,585000,67,68,115355,115265,0.996384
11,555000,690000,68,68,115697,115679,0.988379
11.1,690000,555000,65,74,116075,116057,0.988379
11.2,645000,615000,66,71,116471,116399,0.999433
11.3,540000,705000,72,66,116829,116761,0.982739
11.4,765000,480000,59,80,117152,117152,0.950207
11.5,495000,750000,77,65,117577,117441,0.959738
11.6,735000,525000,64,76,117883,117832,0.972973
11.7,555000,690000,71,68,118257,118155,0.988379
11.8,645000,600000,70,70,118614,118512,0.998695
11.9,645000,600000,66,75,118937,118886,0.998695
12,555000,690000,77,65,119345,119192,0.988379
12.1,735000,525000,62,80,119634,119617,0.972973
12.2,480000,765000,82,61,120076,119889,0.950207
12.3,780000,465000,61,83,120331,120331,0.939836
12.4,465000,780000,82,63,120773,120603,0.939836
12.5,780000,480000,62,81,121045,121028,0.946352
12.6,480000,765000,80,64,121470,121317,0.950207
12.7,750000,495000,65,80,121759,121725,0.959738
12.8,510000,735000,79,67,122167,122031,0.968372
12.9,735000,510000,66,81,122473,122439,0.968372
13,525000,735000,79,68,122881,122745,0.972973
13.1,735000,510000,65,83,123170,123153,0.968372
13.2,495000,750000,82,67,123580,123436,0.959738
13.3,750000,495000,64,84,123836,123836,0.959738
13.4,480000,780000,84,64,124252,124092,0.946352
13.5,765000,480000,65,82,124508,124492,0.950207
13.6,495000,750000,85,65,124924,124748,0.959738
13.7,735000,510000,68,81,125180,125148,0.968372
13.8,540000,705000,82,70,125580,125436,0.982739
13.9,690000,570000,72,78,125868,125804,0.991011
14,600000,645000,77,76,126220,126124,0.998695
14.1,600000,645000,79,73,126556,126444,0.998695
14.2,705000,540000,70,83,126860,126812,0.982739
14.3,495000,765000,83,68,127228,127100,0.956098
14.4,765000,480000,67,87,127500,127500,0.950207
14.5,510000,735000,79,74,127868,127788,0.968372
14.6,675000,570000,74,80,128188,128140,0.992937
14.7,630000,615000,72,83,128508,128492,0.999855
14.8,555000,705000,77,78,128844,128828,0.986026
14.9,705000,540000,75,81,129196,129132,0.982739
15,585000,660000,80,77,129548,129452,0.996384
15.1,570000,675000,82,74,129868,129788,0.992937
15.2,630000,630000,88,68,130252,130076,1
15.3,660000,585000,75,82,130492,130492,0.996384
15.4,660000,585000,89,77,130908,130748,0.996384
15.5,600000,645000,98,91,131202,131112,0.998695
15.6,742080,514360,94,114,131517,131457,0.968196
15.7,487760,759280,117,97,131967,131757,0.954739
15.8,670320,580000,105,109,132327,132237,0.994809
15.9,698200,546320,96,119,132717,132672,0.985325
16,488800,752520,114,102,133182,133047,0.956814
16.1,664680,590240,107,110,133572,133497,0.996494
16.2,682840,563600,98,116,133962,133917,0.990931
16.3,547200,702600,110,107,134412,134322,0.984775
16.4,578600,671560,111,104,134802,134742,0.994501
16.5,656200,580000,120,96,135312,135072,0.996215
16.6,659920,595360,108,108,135657,135552,0.997362
16.7,714240,531840,98,118,136062,135987,0.979023
16.8,504160,739480,118,99,136542,136332,0.965434
16.9,660960,591640,106,110,136902,136812,0.996947
17,713200,536960,96,120,137292,137247,0.980514
17.1,488800,761000,112,103,137742,137622,0.954714
17.2,649680,596760,106,110,138132,138072,0.998201
17.3,686200,563600,99,116,138537,138492,0.990469
17.4,558840,687600,110,106,138987,138882,0.989441
17.5,563600,686560,110,104,139362,139317,0.990419
17.6,671200,568360,120,97,139880,139647,0.993164
17.7,638400,607000,110,106,140202,140090,0.999365
17.8,735760,520200,96,119,140566,140510,0.971386
17.9,504160,736120,116,100,141014,140832,0.966205
18,644560,606640,108,108,141364,141266,0.999082
18.1,729600,520560,94,122,141714,141686,0.972801
18.2,488800,762400,110,104,142134,142036,0.954365
18.3,628160,611760,106,110,142498,142456,0.999825
18.4,692720,563600,100,114,142890,142834,0.989547
18.5,573840,671200,110,106,143310,143198,0.993922
18.6,563600,686560,110,106,143660,143618,0.990419
18.7,671200,569760,118,98,144136,143926,0.993362
18.8,626760,622000,111,104,144472,144346,0.999985
18.9,747400,505200,96,120,144836,144780,0.96396
19,504160,739480,116,101,145284,145102,0.965434
19.1,632920,618280,109,106,145634,145522,0.999863
19.2,714600,520560,96,122,145984,145956,0.975915
19.3,515440,746000,110,106,146404,146306,0.967673
19.4,611760,628160,108,110,146768,146726,0.999825
19.5,692720,563600,102,114,147160,147104,0.989547
