Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,541080,556080,21,27,53576,53576,0.999813
0.5,615000,630000,53,36,94120,69504,0.999855
0.6,750000,495000,53,49,105704,72400,0.959738
0.7,675000,585000,68,40,114392,75296,0.994924
0.8,840000,405000,66,44,114392,76744,0.891203
0.9,705000,540000,61,50,114392,79640,0.982739
1,750000,495000,67,47,114392,82536,0.959738
1.1,780000,480000,53,54,116261,83984,0.946352
1.2,555000,690000,34,46,116261,86880,0.988379
1.3,525000,720000,37,47,85583,91224,0.976056
1.4,540000,705000,46,52,82687,94120,0.982739
1.5,585000,660000,48,56,82687,97016,0.996384
1.6,600000,660000,46,59,82687,101360,0.997738
1.7,540000,705000,47,60,82687,104256,0.982739
1.8,540000,705000,48,61,82687,107152,0.982739
1.9,585000,660000,47,65,82687,110048,0.996384
2,495000,765000,46,67,82687,114392,0.956098
2.1,510000,735000,48,68,82687,117288,0.968372
2.2,570000,675000,46,74,85583,121632,0.992937
2.3,450000,795000,45,73,78448,124528,0.928687
2.4,510000,735000,46,75,78448,128872,0.968372
2.5,465000,795000,45,83,78448,131768,0.935809
2.6,420000,825000,50,95,81344,133216,0.904306
2.7,540000,705760,44,107,78448,126833,0.982603
2.8,390000,857240,47,51,59552,92672,0.876932
2.9,825000,422280,15,78,43515,92672,0.905592
3,300000,945520,31,67,59552,94120,0.788266
3.1,465000,795000,34,71,59552,97016,0.935809
3.2,465000,780000,36,71,59552,99912,0.939836
3.3,495000,750000,32,77,59552,102808,0.959738
3.4,405000,840000,34,76,59552,104256,0.891203
3.5,435000,810000,38,76,62448,107152,0.916822
3.6,495000,765000,31,76,57887,108600,0.956098
3.7,390000,855000,32,81,57887,111496,0.87758
3.8,375000,870000,35,80,57887,112944,0.8635
3.9,435000,810000,34,80,57978,115840,0.916822
4,420000,840000,28,83,55082,117288,0.9
4.1,345000,900000,34,84,55082,118736,0.834221
4.2,420000,825000,34,84,55082,120184,0.904306
4.3,390000,855000,31,88,55082,121632,0.87758
4.4,360000,885000,32,88,55082,123080,0.849026
4.5,435000,825000,32,88,55082,124528,0.912571
4.6,345000,900000,28,90,51636,124528,0.834221
4.7,315000,930000,32,87,51636,125976,0.803851
4.8,435000,810000,31,92,54532,127424,0.916822
4.9,315000,945000,28,91,51636,127424,0.8
5,315000,930000,29,92,51636,128872,0.803851
5.1,405000,840000,30,91,51636,130320,0.891203
5.2,315000,930000,25,93,47408,130320,0.803851
5.3,270000,975000,28,100,47408,131768,0.757199
5.4,390000,861960,27,112,47408,131768,0.875571
5.5,300000,953640,26,120,47408,131768,0.786255
5.6,270000,981680,28,116,47408,131768,0.755696
5.7,390000,852560,25,118,47251,133216,0.878287
5.8,255000,988200,23,119,44355,133216,0.741935
5.9,255000,996680,30,112,44355,133216,0.740131
6,360000,895600,25,118,44355,133216,0.846052
6.1,270000,971800,24,119,44355,133216,0.757925
6.2,270000,981680,32,111,47251,133216,0.755696
6.3,390000,852560,18,119,40550,133216,0.878287
6.4,195000,1.04624e+06,24,117,40550,133216,0.680125
6.5,285000,965280,27,113,40550,133216,0.771577
6.6,315000,933520,23,117,40550,133216,0.80294
6.7,255000,991920,24,117,40550,133216,0.741141
6.8,300000,955040,24,113,40550,133216,0.785911
6.9,285000,965280,21,117,38500,133216,0.771577
7,240000,1.00832e+06,22,117,38500,133216,0.725258
7.1,285000,955040,25,113,41396,133216,0.774015
7.2,285000,965280,19,117,38500,133216,0.771577
7.3,225000,1.02472e+06,23,115,38500,133216,0.709473
7.4,300000,953640,22,114,38500,133216,0.786255
7.5,255000,993320,22,115,38500,133216,0.740843
7.6,255000,981680,22,115,38500,133216,0.74334
7.7,300000,953640,21,114,38500,133216,0.786255
7.8,255000,993320,21,117,38500,133216,0.740843
7.9,240000,1.0032e+06,21,115,34884,133216,0.726284
8,285000,970400,21,113,37780,133216,0.770372
8.1,240000,1.00832e+06,18,117,34884,133216,0.725258
8.2,225000,1.0196e+06,21,115,34884,133216,0.710428
8.3,270000,980280,21,114,34884,133216,0.75601
8.4,255000,993320,20,117,34884,133216,0.740843
8.5,225000,1.02472e+06,21,115,34884,133216,0.709473
8.6,285000,960160,19,113,34884,133216,0.772791
8.7,225000,1.02332e+06,20,116,34884,133216,0.709733
