Time,Flow1_NewReno_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,631080,560,3,11,31856,14480,0.500887
0.5,750000,150520,31,4,66732,27512,0.692923
0.6,1.125e+06,120000,30,10,67872,27512,0.605467
0.7,1.095e+06,150000,26,16,68892,47784,0.634463
0.8,990000,270000,31,27,69941,62264,0.753846
0.9,855000,390000,34,38,70811,85432,0.87758
1,765000,480000,36,59,71565,120184,0.950207
1.1,660000,585000,40,70,72261,169416,0.996384
1.2,570000,682920,37,79,72739,230232,0.991943
1.3,615000,638400,42,80,73383,256664,0.999652
1.4,600000,644040,41,80,73915,262808,0.998748
1.5,630000,623400,39,82,74475,262808,0.999972
1.6,600000,643520,41,80,75057,262808,0.998777
1.7,615000,628160,41,82,75597,262808,0.999888
1.8,615000,637000,42,82,76164,262808,0.999691
1.9,630000,613160,40,83,76704,262808,0.999817
2,600000,653400,43,80,77271,262808,0.998188
2.1,630000,613160,43,81,77832,262808,0.999817
2.2,615000,638400,43,80,78352,262808,0.999652
2.3,615000,631880,44,81,78898,262808,0.999817
2.4,630000,623400,44,80,79444,262808,0.999972
2.5,630000,616520,45,81,79990,262808,0.999883
2.6,645000,601880,44,84,80536,262808,0.998805
2.7,630000,622000,42,83,81041,262808,0.999959
2.8,615000,628160,44,82,81566,262808,0.999888
2.9,645000,605240,45,81,82116,262808,0.99899
3,615000,623400,47,82,82641,262808,0.999954
3.1,645000,611760,46,82,83166,262808,0.999301
3.2,660000,590240,44,83,83691,262808,0.996896
3.3,600000,638400,49,82,84227,262808,0.999039
3.4,660000,595000,47,82,84731,262808,0.997325
3.5,645000,607000,46,83,85235,262808,0.99908
3.6,630000,611760,49,82,85763,262808,0.999784
3.7,645000,605240,48,83,86267,262808,0.99899
3.8,645000,596760,49,82,86795,262808,0.998493
3.9,645000,606640,49,82,87299,262808,0.999062
4,660000,583720,49,85,87808,262808,0.996252
4.1,660000,591640,49,83,88314,262808,0.997026
4.2,630000,622000,50,82,88797,262808,0.999959
4.3,660000,590240,50,82,89303,262808,0.996896
4.4,660000,585120,51,82,89809,262808,0.996396
4.5,660000,588840,49,85,90292,262808,0.996764
4.6,660000,591640,49,83,90798,262808,0.997026
4.7,645000,595360,51,84,91298,262808,0.998401
4.8,675000,580000,52,83,91804,262808,0.994303
4.9,645000,595360,53,84,92288,262808,0.998401
5,645000,600480,55,84,92772,262808,0.998724
5.1,675000,580000,54,82,93256,262808,0.994303
5.2,690000,562200,52,85,93740,262808,0.989691
5.3,660000,585120,53,85,94224,262808,0.996396
5.4,660000,585480,53,86,94708,262808,0.996433
5.5,675000,580000,52,84,95192,262808,0.994303
5.6,660000,583720,55,85,95681,262808,0.996252
5.7,675000,573840,54,85,96143,262808,0.993481
5.8,660000,591640,54,82,96605,262808,0.997026
5.9,690000,547200,55,86,97088,262808,0.986853
6,660000,585120,55,85,97550,262808,0.996396
6.1,675000,573840,56,84,98033,262808,0.993481
6.2,675000,573840,56,85,98495,262808,0.993481
6.3,675000,580000,57,84,98978,262808,0.994303
6.4,675000,568720,58,85,99461,262808,0.992751
6.5,690000,563600,57,84,99920,262808,0.989936
6.6,675000,573840,58,84,100380,262808,0.993481
6.7,690000,562200,56,85,100820,262808,0.989691
6.8,690000,548600,56,86,101280,262808,0.987135
6.9,660000,590240,59,85,101740,262808,0.996896
7,705000,547200,58,86,102200,262808,0.984368
7.1,675000,563600,57,86,102640,262808,0.991976
7.2,690000,563600,58,84,103100,262808,0.989936
7.3,690000,562200,60,86,103580,262808,0.989691
7.4,690000,558840,58,88,104020,262808,0.98909
7.5,690000,558480,59,84,104480,262808,0.989024
7.6,690000,547200,59,88,104935,262808,0.986853
7.7,690000,563600,61,86,105391,262808,0.989936
7.8,705000,547200,59,88,105809,262808,0.984368
