Time,NewReno_1_Bps,Bbr_2_Bps,NewReno_1_PktLoss,Bbr_2_PktLoss,NewReno_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
0.4,556080,496080,8,21,31856,53576,0.996759
0.5,525000,720000,33,63,60816,111496,0.976056
0.6,405000,855000,36,79,66918,137560,0.886878
0.7,405000,840000,43,89,67445,137560,0.891203
0.8,465000,776920,40,100,67872,137560,0.940662
0.9,345000,897760,42,71,68232,123128,0.834841
1,540000,709280,35,8,61540,136776,0.98197
1.1,630000,620440,21,51,33587,95095,0.999942
1.2,330000,915000,21,89,34262,138535,0.819144
1.3,300000,956280,22,100,34864,147223,0.785607
1.4,315000,938640,7,120,35043,147223,0.801623
1.5,60000,1.17908e+06,25,99,35690,147223,0.550756
1.6,360000,895600,24,101,36325,147223,0.846052
1.7,315000,923640,25,98,36950,147223,0.805508
1.8,195000,1.05648e+06,16,110,37062,147223,0.678494
1.9,225000,1.02472e+06,26,98,37729,147223,0.709473
2,345000,900720,23,102,38277,147223,0.834023
2.1,330000,921880,13,117,38601,147223,0.817305
2.2,90000,1.1542e+06,28,98,39136,147223,0.577505
2.3,405000,840920,25,102,39769,147223,0.890936
2.4,300000,945160,27,100,40341,147223,0.788356
2.5,180000,1.078e+06,21,106,40494,147223,0.662447
2.6,300000,948520,26,101,41106,147223,0.78752
2.7,375000,874080,25,103,41707,147223,0.862332
2.8,315000,923640,10,124,41857,147223,0.805508
2.9,135000,1.11592e+06,30,98,42545,147223,0.619231
3,405000,847440,25,102,43078,147223,0.889051
3.1,360000,883960,15,117,43414,147223,0.84932
3.2,90000,1.1542e+06,30,98,43890,147223,0.577505
3.3,420000,825920,30,100,44548,147223,0.90404
3.4,375000,883960,24,107,44964,147223,0.859524
3.5,90000,1.1542e+06,32,98,45286,147223,0.577505
3.6,465000,787640,29,101,45923,147223,0.937786
3.7,360000,880600,32,100,46508,147223,0.850272
3.8,165000,1.078e+06,27,106,46642,147223,0.649557
3.9,390000,863840,31,100,47302,147223,0.875031
4,390000,852560,34,99,47912,147223,0.878287
4.1,225000,1.02984e+06,25,110,48041,147223,0.708527
4.2,360000,890480,31,100,48686,147223,0.847484
4.3,420000,825920,32,101,49276,147223,0.90404
4.4,210000,1.02984e+06,24,112,49402,147223,0.695775
4.5,345000,905480,33,101,50071,147223,0.832713
4.6,435000,810920,35,100,50686,147223,0.916561
4.7,225000,1.02984e+06,26,112,50809,147223,0.708527
4.8,375000,878840,33,100,51458,147223,0.860975
4.9,420000,825920,35,98,52058,147223,0.90404
5,195000,1.04148e+06,29,108,52178,147223,0.680892
5.1,420000,840920,35,101,52847,147223,0.899737
5.2,420000,827320,35,100,53393,147223,0.903637
5.3,165000,1.078e+06,35,102,53588,147223,0.649557
5.4,510000,734720,35,102,54239,147223,0.968435
5.5,420000,835800,29,104,54657,127064,0.901202
5.6,135000,1.10092e+06,36,7,54961,147968,0.620808
5.7,720000,450000,33,50,55781,86407,0.949438
5.8,510000,735000,35,86,56447,155911,0.968372
5.9,420000,825000,22,122,56705,181975,0.904306
6,255000,1.0062e+06,35,104,57245,181975,0.738134
6.1,450000,788000,33,75,57749,149080,0.93063
6.2,510000,748280,20,15,56472,65711,0.965381
6.3,510000,675000,13,71,27889,112047,0.980981
6.4,180000,1.065e+06,20,43,28626,183807,0.66432
6.5,330000,930000,17,52,29274,129774,0.815157
6.6,285000,960000,18,71,29978,129774,0.772829
6.7,255000,990000,22,82,30664,132670,0.74155
6.8,300000,949600,18,89,31203,129774,0.787253
6.9,210000,1.04436e+06,16,80,31601,128662,0.693266
7,180000,1.065e+06,19,78,32059,128662,0.66432
7.1,255000,990000,22,65,32703,112102,0.74155
7.2,300000,945000,23,63,33334,109206,0.788396
7.3,345000,900000,18,69,33891,109206,0.834221
7.4,270000,990000,18,68,34439,109206,0.753846
7.5,270000,975000,19,68,34979,112102,0.757199
7.6,255000,990000,22,57,35569,109206,0.74155
7.7,345000,900000,24,62,36264,104529,0.834221
7.8,330000,930000,22,63,36834,104529,0.815157
7.9,330000,915000,20,63,37394,107425,0.819144
8,300000,945000,23,57,38000,104529,0.788396
8.1,375000,870000,20,65,38597,104529,0.8635
8.2,315000,930000,24,64,39238,104529,0.803851
8.3,345000,915000,23,63,39817,104529,0.830118
8.4,345000,900000,20,57,40337,99056,0.834221
8.5,360000,885000,23,58,41000,99056,0.849026
8.6,360000,885000,23,61,41603,99056,0.849026
8.7,375000,885000,25,60,42247,99056,0.85923
8.8,375000,870000,24,57,42835,99056,0.8635
8.9,390000,855000,25,59,43459,99056,0.87758
9,375000,870000,24,61,44028,99056,0.8635
9.1,360000,885000,26,60,44639,99056,0.849026
9.2,390000,870000,27,56,45237,96687,0.873267
9.3,435000,810000,24,58,45830,96687,0.916822
