Time,Flow1_NewReno_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,526080,526080,10,21,31856,53576,1
0.5,510000,735000,30,66,57920,114392,0.968372
0.6,345000,900000,39,74,66856,128872,0.834221
0.7,465000,780000,44,70,67414,128872,0.939836
0.8,420000,825000,38,75,67752,128872,0.904306
0.9,420000,840000,41,73,68202,128872,0.9
1,540000,705000,37,56,68682,129705,0.982739
1.1,435000,810000,34,26,69072,91991,0.916822
1.2,675000,570000,38,46,69792,91991,0.992937
1.3,570000,690000,38,50,70347,91991,0.991011
1.4,525000,720000,39,49,70869,91991,0.976056
1.5,555000,690000,39,51,71391,91991,0.988379
1.6,555000,690000,40,50,71942,91991,0.988379
1.7,555000,690000,40,53,72459,94887,0.988379
1.8,525000,735000,39,50,72935,91991,0.972973
1.9,555000,690000,42,49,73495,91991,0.988379
2,570000,675000,43,45,74027,86378,0.992937
2.1,615000,630000,38,52,74531,89274,0.999855
2.2,480000,780000,44,40,75057,86378,0.946352
2.3,660000,585000,43,46,75624,86378,0.996384
2.4,600000,645000,43,40,76164,76720,0.998695
2.5,645000,600000,34,47,76623,79616,0.998695
2.6,525000,720000,44,33,77217,76720,0.976056
2.7,705000,555000,43,40,77832,76720,0.986026
2.8,645000,600000,43,40,78378,76720,0.998695
2.9,645000,600000,42,41,78924,76720,0.998695
3,630000,615000,40,41,79444,76720,0.999855
3.1,630000,630000,43,42,80016,76720,1
3.2,630000,615000,45,38,80588,73948,0.999855
3.3,675000,570000,45,39,81141,73948,0.992937
3.4,660000,585000,43,41,81666,73948,0.996384
3.5,645000,600000,42,38,82191,71362,0.998695
3.6,660000,600000,47,36,82791,71362,0.997738
3.7,705000,540000,46,37,83366,71362,0.982739
3.8,690000,555000,44,39,83915,69815,0.988379
3.9,660000,585000,43,32,84419,66919,0.996384
4,720000,540000,47,34,85043,66919,0.98
4.1,720000,525000,48,35,85619,66919,0.976056
4.2,720000,525000,46,38,86171,69815,0.976056
4.3,690000,555000,46,33,86723,66919,0.988379
4.4,720000,525000,49,36,87323,66919,0.976056
4.5,720000,540000,47,36,87854,66919,0.98
4.6,705000,540000,49,36,88406,69815,0.982739
4.7,720000,525000,49,34,88958,66919,0.976056
4.8,735000,510000,48,37,89510,66919,0.968372
4.9,705000,555000,48,36,90039,65041,0.986026
5,705000,540000,51,33,90614,65041,0.982739
5.1,765000,480000,50,32,91188,65041,0.950207
5.2,765000,480000,48,37,91716,65041,0.950207
5.3,705000,540000,51,32,92266,60837,0.982739
5.4,765000,495000,51,31,92816,60837,0.956098
5.5,780000,465000,53,33,93410,63733,0.939836
5.6,765000,480000,50,32,93938,60837,0.950207
5.7,765000,480000,52,33,94510,60837,0.950207
5.8,780000,480000,52,32,95082,60837,0.946352
5.9,765000,480000,52,35,95618,63733,0.950207
6,735000,510000,53,30,96143,60837,0.968372
6.1,795000,450000,54,32,96710,60837,0.928687
6.2,780000,465000,55,31,97256,59206,0.939836
6.3,795000,465000,52,32,97781,62102,0.935809
6.4,765000,480000,53,28,98327,59206,0.950207
6.5,825000,420000,53,32,98894,59206,0.904306
6.6,780000,465000,53,32,99440,56793,0.939836
6.7,795000,465000,55,30,100000,56793,0.935809
6.8,810000,435000,55,29,100540,56793,0.916822
6.9,825000,420000,52,32,101060,56793,0.904306
7,780000,465000,55,31,101600,56793,0.939836
7.1,810000,435000,57,28,102160,54103,0.916822
7.2,855000,405000,56,32,102720,56999,0.886878
7.3,795000,450000,56,26,103240,54103,0.928687
7.4,840000,405000,58,28,103820,54103,0.891203
7.5,840000,405000,57,29,104360,54103,0.891203
7.6,840000,420000,57,31,104916,55184,0.9
7.7,810000,435000,59,25,105448,52288,0.916822
7.8,870000,375000,60,27,105999,52288,0.8635
7.9,840000,405000,58,28,106512,52288,0.891203
8,825000,420000,59,29,107044,55184,0.904306
8.1,840000,420000,60,24,107576,52288,0.9
8.2,885000,360000,59,28,108127,50440,0.849026
8.3,840000,405000,58,28,108640,50440,0.891203
8.4,840000,405000,62,25,109210,50440,0.891203
8.5,900000,360000,60,25,109761,50440,0.844828
8.6,885000,360000,58,28,110293,50440,0.849026
8.7,840000,405000,62,26,110837,50440,0.891203
8.8,870000,375000,62,25,111359,50036,0.8635
8.9,900000,345000,61,29,111881,50036,0.834221
9,855000,405000,60,26,112385,50036,0.886878
9.1,870000,375000,62,26,112925,50036,0.8635
9.2,885000,360000,64,25,113465,46406,0.849026
9.3,900000,345000,62,28,113987,49302,0.834221
9.4,855000,405000,64,21,114509,46406,0.886878
9.5,945000,300000,63,25,115067,46406,0.788396
9.6,885000,360000,64,25,115607,46406,0.849026
9.7,885000,360000,64,25,116129,46406,0.849026
9.8,900000,345000,66,23,116676,46406,0.834221
9.9,930000,330000,64,26,117186,46406,0.815157
10,870000,375000,65,24,117679,46034,0.8635
10.1,915000,330000,66,24,118206,46034,0.819144
10.2,915000,330000,65,24,118716,46034,0.819144
10.3,915000,345000,63,11,119209,5792,0.830118
10.4,1.08e+06,165000,61,3,119804,5792,0.649293
10.5,1.2e+06,45000,62,4,120484,5792,0.537447
10.6,1.185e+06,60000,61,8,121147,51826,0.550503
10.7,1.065e+06,180000,69,27,121810,60514,0.66432
10.8,915000,345000,68,26,122320,83785,0.830118
10.9,885000,360000,67,31,122813,101653,0.849026
11,855000,390000,71,35,123323,101653,0.87758
11.1,855000,390000,70,39,123772,101653,0.87758
11.2,810000,450000,70,40,124204,101653,0.924528
11.3,795000,450000,72,40,124636,101653,0.928687
11.4,795000,450000,71,41,125052,101653,0.928687
11.5,795000,450000,72,43,125484,105513,0.928687
11.6,795000,450000,73,50,125916,102617,0.928687
11.7,735000,525000,75,38,126316,105871,0.972973
11.8,825000,420000,72,43,126732,111587,0.904306
11.9,780000,465000,74,46,127164,111587,0.939836
12,780000,465000,73,49,127564,111587,0.939836
12.1,750000,510000,75,48,127980,111587,0.964989
12.2,765000,480000,76,50,128396,111587,0.950207
12.3,750000,495000,74,50,128780,111587,0.959738
12.4,750000,495000,75,54,129180,115124,0.959738
12.5,735000,510000,78,58,129596,112228,0.968372
12.6,690000,570000,78,47,129964,115519,0.991011
12.7,780000,465000,75,52,130348,121145,0.939836
12.8,720000,525000,82,54,130764,121145,0.976056
12.9,750000,495000,91,58,131142,121145,0.959738
13,711400,540000,104,59,131532,121145,0.981586
13.1,728560,525000,106,60,131982,121145,0.974308
13.2,702600,540000,105,61,132447,121145,0.983165
13.3,714600,540000,106,68,132927,124041,0.981
13.4,687600,555000,108,67,133407,121778,0.988741
13.5,643520,600000,108,59,133827,126099,0.998777
13.6,745640,510000,105,64,134307,129282,0.96598
13.7,671560,570000,108,65,134772,129282,0.993353
13.8,714240,540000,106,68,135237,129282,0.981066
13.9,659920,585000,108,69,135687,129282,0.996391
14,687600,555000,106,71,136137,129282,0.988741
14.1,658520,600000,107,71,136572,129282,0.997843
14.2,672600,570000,106,81,137022,132178,0.993229
14.3,653400,600000,107,73,137457,129282,0.998188
14.4,596400,651560,107,66,137862,133789,0.99805
14.5,746360,496200,106,72,138342,135776,0.961047
14.6,639440,615000,108,72,138792,135776,0.999621
14.7,674920,570000,107,76,139227,135776,0.992947
14.8,629560,615000,108,76,139662,135776,0.999863
14.9,653400,600000,107,77,140062,135776,0.998188
15,629560,615000,108,79,140468,138672,0.999863
15.1,653400,600000,107,89,140860,135776,0.998188
15.2,613160,634760,108,76,141252,135776,0.9997
15.3,654800,590480,106,69,141644,135776,0.997339
15.4,692720,555000,108,73,142092,135776,0.987963
15.5,638400,600000,108,75,142484,135776,0.999039
15.6,669800,585000,107,77,142890,135776,0.995454
15.7,639800,615000,108,77,143296,135776,0.99961
15.8,638400,600000,108,78,143688,135776,0.999039
15.9,639440,615000,108,87,144094,138672,0.999621
16,631880,615000,109,87,144486,135776,0.999817
16.1,623040,627240,107,71,144864,136026,0.999989
16.2,687960,553520,106,73,145284,135826,0.988409
16.3,644560,600000,108,74,145704,135826,0.99872
16.4,665040,585000,106,76,146096,135826,0.995917
16.5,644560,600000,108,78,146516,135826,0.99872
16.6,638400,615000,108,78,146908,135826,0.999652
16.7,632920,615000,109,79,147314,135826,0.999794
16.8,638400,615000,107,89,147692,138722,0.999652
16.9,628160,619120,107,81,148084,135826,0.999947
17,623400,619880,108,69,148476,135826,0.999992
17.1,724120,525680,105,74,148910,135826,0.97541
17.2,623400,630000,108,73,149316,135826,0.999972
17.3,669800,570000,107,77,149722,135826,0.993562
17.4,639800,615000,108,77,150103,135826,0.99961
17.5,638400,600000,108,79,150467,135826,0.999039
17.6,639440,615000,108,82,150844,138722,0.999621
17.7,631880,615000,109,92,151208,135826,0.999817
17.8,629560,622040,108,78,151572,135826,0.999964
17.9,638400,604400,106,69,151923,135826,0.999252
18,714240,540000,108,75,152352,135826,0.981066
18.1,611760,630000,108,74,152703,135826,0.999784
18.2,687600,570000,106,77,153093,135826,0.991331
18.3,610360,630000,109,77,153457,135826,0.999749
18.4,656200,585000,108,79,153834,135826,0.99672
18.5,633280,630000,108,88,154198,138722,0.999993
18.6,633280,600000,108,91,154562,135576,0.999272
18.7,628160,625480,108,75,154926,135576,0.999995
18.8,676320,573600,106,72,155303,135576,0.993292
18.9,654800,585000,108,74,155693,135576,0.99684
19,654800,600000,108,75,156070,135576,0.998096
19.1,654800,600000,108,77,156447,135576,0.998096
19.2,638400,600000,108,78,156811,135576,0.999039
19.3,639440,615000,108,79,157188,135576,0.999621
19.4,631880,615000,109,90,157552,138120,0.999817
19.5,629560,618240,108,82,157916,135224,0.999918
19.6,631880,621480,109,69,158280,135872,0.999931
19.7,694120,540680,106,73,158670,135872,0.984794
19.8,638400,615000,108,74,159047,135872,0.999652
19.9,671200,570000,108,77,159437,135872,0.993396
