Time,NewReno_1_Bps,Cubic_2_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
0.4,631080,560,3,11,31856,14480,0.500887
0.5,765000,150520,30,18,66732,27512,0.689425
0.6,975000,270000,33,0,67782,27512,0.757199
0.7,1.245e+06,0,27,36,68922,53576,0.5
0.8,720000,540000,26,24,69612,68056,0.98
0.9,915000,330000,37,25,70666,69504,0.819144
1,870000,375000,28,33,71362,70952,0.8635
1.1,810000,435000,34,30,72232,73848,0.916822
1.2,855000,405000,34,36,73019,75296,0.886878
1.3,780000,465000,38,35,73803,78192,0.939836
1.4,825000,420000,40,40,74587,79640,0.904306
1.5,750000,495000,43,35,75300,82536,0.959738
1.6,795000,450000,44,36,76029,83984,0.928687
1.7,780000,480000,44,33,76731,85432,0.946352
1.8,795000,450000,42,35,77406,88328,0.928687
1.9,750000,495000,44,36,78092,91224,0.959738
2,795000,450000,42,37,78742,92672,0.928687
2.1,735000,525000,45,38,79418,95568,0.972973
2.2,780000,465000,44,40,80068,97016,0.939836
2.3,720000,525000,46,41,80716,99912,0.976056
2.4,750000,495000,47,42,81341,102808,0.959738
2.5,750000,495000,47,46,81966,104256,0.959738
2.6,735000,525000,47,47,82566,107152,0.972973
2.7,735000,510000,46,53,83166,110048,0.968372
2.8,705000,540000,47,55,83766,112944,0.982739
2.9,735000,510000,45,59,84323,115840,0.968372
3,675000,585000,46,57,84875,117288,0.994924
3.1,690000,555000,46,56,85427,120184,0.988379
3.2,690000,555000,43,59,85931,123080,0.988379
3.3,645000,600000,46,59,86483,125976,0.998695
3.4,645000,600000,50,59,87035,128872,0.998695
3.5,690000,570000,50,65,87578,131768,0.991011
3.6,645000,600000,49,78,88061,133216,0.998695
3.7,675000,576280,49,89,88567,133216,0.993814
3.8,645000,596760,48,84,89050,133216,0.998493
3.9,630000,622880,50,82,89556,133216,0.999968
4,630000,611760,53,80,90062,133216,0.999784
4.1,675000,573840,52,82,90568,133216,0.993481
4.2,675000,568720,51,84,91074,133216,0.992751
4.3,660000,595360,50,84,91540,133216,0.997356
4.4,645000,595360,51,86,92024,133216,0.998401
4.5,660000,595360,51,84,92508,133216,0.997356
4.6,645000,595360,53,84,92992,133216,0.998401
4.7,675000,573840,54,84,93498,133216,0.993481
4.8,660000,595360,52,84,93960,133216,0.997356
4.9,675000,568720,52,84,94444,133216,0.992751
5,660000,595360,54,84,94950,133216,0.997356
5.1,660000,578960,54,84,95429,133216,0.99574
5.2,660000,590240,55,82,95891,133216,0.996896
5.3,675000,573840,56,84,96374,133216,0.993481
5.4,675000,573840,55,84,96836,133216,0.993481
5.5,660000,590240,56,82,97298,133216,0.996896
5.6,675000,573840,55,82,97760,133216,0.993481
5.7,675000,573840,56,86,98243,133216,0.993481
5.8,675000,568720,56,84,98705,133216,0.992751
5.9,690000,562200,56,87,99188,133216,0.989691
6,660000,585480,58,86,99671,133216,0.996433
6.1,690000,562200,57,85,100120,133216,0.989691
6.2,690000,558840,57,86,100580,133216,0.98909
6.3,675000,568720,56,86,101020,133216,0.992751
6.4,660000,595360,57,84,101460,133216,0.997356
6.5,705000,540680,56,87,101920,133216,0.982897
6.6,660000,585480,58,84,102380,133216,0.996433
6.7,705000,547200,58,86,102840,133216,0.984368
6.8,675000,568720,59,86,103300,133216,0.992751
6.9,705000,547200,56,86,103740,133216,0.984368
7,660000,578960,58,86,104200,133216,0.99574
7.1,690000,568720,61,86,104680,133216,0.990802
7.2,690000,547200,61,86,105125,133216,0.986853
7.3,705000,552320,58,86,105543,133216,0.985468
7.4,675000,573840,60,86,105980,133216,0.993481
7.5,720000,525680,60,88,106436,133216,0.976244
7.6,675000,573840,61,86,106873,133216,0.993481
7.7,690000,547200,62,86,107310,133216,0.986853
7.8,705000,552320,61,86,107747,133216,0.985468
7.9,705000,547200,60,88,108184,133216,0.984368
8,675000,568720,64,86,108640,133216,0.992751
8.1,705000,547200,63,86,109077,133216,0.984368
8.2,705000,530800,62,86,109514,133216,0.980517
8.3,690000,568720,62,84,109951,133216,0.990802
8.4,705000,530800,64,88,110405,133216,0.980517
8.5,690000,568720,66,84,110837,133216,0.990802
8.6,720000,530800,64,88,111251,133216,0.977631
8.7,720000,520560,63,88,111665,133216,0.974805
8.8,705000,552320,64,88,112097,133216,0.985468
8.9,690000,547200,64,88,112511,133216,0.986853
9,705000,552320,65,88,112943,133216,0.985468
9.1,705000,540680,65,87,113357,133216,0.982897
9.2,690000,553720,67,86,113789,133216,0.988136
9.3,735000,519160,64,87,114203,133216,0.971234
9.4,690000,558840,69,86,114653,133216,0.98909
9.5,735000,502760,66,89,115067,133216,0.965992
9.6,690000,563600,68,66,115499,140619,0.989936
9.7,720000,529400,67,22,115913,92672,0.977257
9.8,1.035e+06,210440,58,3,116453,92672,0.695252
9.9,1.245e+06,1400,59,67,117169,92672,0.501124
10,540000,717560,72,18,117577,92672,0.980454
10.1,1.005e+06,240000,65,52,118087,95568,0.725922
10.2,855000,390000,68,43,118597,97016,0.87758
10.3,885000,360000,60,63,119022,99912,0.849026
10.4,750000,495000,68,56,119515,102808,0.959738
10.5,705000,555000,71,44,119940,104256,0.986026
10.6,930000,315000,66,55,120416,107152,0.803851
10.7,810000,435000,66,61,120875,108600,0.916822
10.8,765000,480000,69,61,121334,111496,0.950207
10.9,750000,510000,70,54,121759,112944,0.964989
11,750000,495000,72,54,122201,114392,0.959738
11.1,870000,375000,68,62,122660,115840,0.8635
