Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,496080,556080,12,27,31856,53576,0.996759
0.5,450000,795000,36,29,57920,69504,0.928687
0.6,585000,660000,39,36,67011,73848,0.996384
0.7,645000,600000,34,44,67600,76744,0.998695
0.8,525000,720000,36,46,68142,79640,0.976056
0.9,570000,690000,38,44,68742,82536,0.991011
1,570000,675000,34,50,69252,86880,0.992937
1.1,510000,735000,41,47,69852,89776,0.968372
1.2,615000,630000,36,55,70376,92672,0.999855
1.3,540000,720000,38,56,70927,97016,0.98
1.4,465000,780000,40,56,71391,99912,0.939836
1.5,540000,705000,42,55,71942,102808,0.982739
1.6,540000,705000,41,61,72431,107152,0.982739
1.7,480000,765000,41,65,72879,111496,0.950207
1.8,435000,825000,44,64,73327,114392,0.912571
1.9,570000,675000,40,70,73803,118736,0.992937
2,450000,795000,45,69,74279,121632,0.928687
2.1,465000,780000,46,70,74727,125976,0.939836
2.2,495000,765000,39,79,75084,128872,0.956098
2.3,435000,810000,41,89,75489,133216,0.916822
2.4,525000,726040,38,109,75921,133216,0.974826
2.5,390000,847440,44,103,76353,133216,0.879776
2.6,390000,858200,53,92,76812,133216,0.876655
2.7,405000,847440,52,94,77163,133216,0.889051
2.8,480000,766120,48,99,77541,133216,0.94992
2.9,480000,762760,42,106,77884,133216,0.95078
3,480000,777760,41,108,78274,133216,0.946929
3.1,525000,718320,40,112,78716,133216,0.976395
3.2,390000,863840,46,102,79132,133216,0.875031
3.3,480000,756240,50,98,79600,133216,0.952444
3.4,405000,847440,50,100,79938,133216,0.889051
3.5,450000,799280,52,96,80354,133216,0.927499
3.6,495000,756240,45,104,80691,133216,0.95823
3.7,495000,751120,42,108,81066,133216,0.959468
3.8,540000,706680,41,113,81491,133216,0.982438
3.9,405000,848840,48,102,81916,133216,0.888648
4,465000,782880,53,96,82366,133216,0.939064
4.1,390000,847440,56,94,82716,133216,0.879776
4.2,495000,766120,51,99,83066,133216,0.955824
4.3,525000,713200,44,109,83416,133216,0.977419
4.4,525000,719720,43,110,83841,133216,0.976112
4.5,525000,729600,43,110,84251,133216,0.974094
4.6,405000,842320,50,102,84659,133216,0.890531
4.7,480000,761360,52,100,85067,133216,0.951138
4.8,450000,809160,50,103,85403,133216,0.924761
4.9,510000,734720,53,99,85835,133216,0.968435
5,465000,789400,52,100,86195,133216,0.937313
5.1,420000,825920,58,94,86603,133216,0.90404
5.2,540000,702960,49,106,86915,133216,0.983102
5.3,570000,686560,43,112,87299,133216,0.991469
5.4,525000,713200,46,110,87739,133216,0.977419
5.5,405000,842320,53,102,88130,133216,0.890531
5.6,525000,718320,53,104,88521,133216,0.976395
5.7,480000,772640,51,106,88866,133216,0.948247
5.8,495000,756240,56,98,89303,133216,0.95823
5.9,420000,820800,60,92,89671,133216,0.905518
6,510000,749720,55,99,89993,133216,0.965053
6.1,585000,665040,48,109,90361,133216,0.995917
6.2,435000,810920,55,102,90775,133216,0.916561
6.3,510000,729600,53,104,91143,133216,0.969571
6.4,555000,701560,47,113,91474,133216,0.986579
6.5,570000,671560,49,110,91914,133216,0.993353
6.6,405000,842320,56,102,92288,133216,0.890531
6.7,570000,680040,52,107,92662,133216,0.99231
6.8,480000,767880,53,106,93014,133216,0.949469
6.9,465000,777760,64,94,93476,133216,0.940437
7,480000,777760,60,98,93784,133216,0.946929
7.1,570000,674920,59,99,94180,133216,0.992947
7.2,450000,789400,61,98,94532,133216,0.930242
7.3,525000,734720,58,100,94884,133216,0.973031
7.4,600000,638400,50,112,95236,133216,0.999039
7.5,420000,825920,61,98,95639,133216,0.90404
7.6,540000,717960,55,105,95954,133216,0.98038
7.7,585000,655160,52,112,96332,133216,0.99681
7.8,525000,729600,57,104,96752,133216,0.974094
7.9,495000,751120,53,110,97046,133216,0.959468
8,630000,622000,49,116,97445,133216,0.999959
8.1,405000,842320,58,102,97823,133216,0.890531
8.2,630000,615480,52,113,98201,133216,0.999864
8.3,480000,772640,57,105,98579,133216,0.948247
8.4,510000,734720,61,101,98978,133216,0.968435
8.5,495000,756240,58,105,99293,133216,0.95823
8.6,510000,741240,68,92,99755,133216,0.966974
8.7,510000,729600,63,100,100040,133216,0.969571
8.8,600000,643520,63,100,100440,133216,0.998777
8.9,435000,820800,68,92,100780,133216,0.913759
9,600000,643520,62,100,101120,133216,0.998777
9.1,495000,756240,64,98,101460,133216,0.95823
9.2,525000,723080,63,101,101800,133216,0.975431
9.3,600000,650040,59,106,102160,133216,0.9984
9.4,435000,814280,68,95,102540,133216,0.915606
9.5,660000,585480,57,112,102860,133216,0.996433
9.6,450000,799280,67,98,103260,133216,0.927499
9.7,615000,626760,56,111,103560,133216,0.99991
9.8,510000,746360,62,102,103960,133216,0.965817
9.9,540000,702960,61,106,104300,133216,0.983102
