Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,601080,560,21,11,53576,14480,0.500932
0.5,1.08e+06,150520,71,4,137560,27512,0.636715
0.6,1.25076e+06,0,92,18,189688,27512,0.5
0.7,1.0182e+06,225000,99,8,189688,33304,0.71069
0.8,1.20288e+06,45000,94,26,189688,47784,0.537358
0.9,1.036e+06,225000,98,22,189688,53576,0.707399
1,991560,255000,95,32,189688,65160,0.741217
1.1,988200,255000,101,31,189688,70952,0.741935
1.2,928400,315000,98,56,189688,108600,0.804266
1.3,901760,345000,104,65,189688,117288,0.833736
1.4,691680,555000,107,68,189688,146248,0.988123
1.5,825560,435000,102,87,189688,175208,0.912413
1.6,714600,532640,104,80,189688,189688,0.97916
1.7,746000,499920,103,89,189688,204168,0.962455
1.8,804040,438720,102,93,189688,204168,0.920461
1.9,713200,543480,101,88,189688,205792,0.982087
2,762400,482640,102,91,189688,205792,0.951937
2.1,714600,525680,106,89,189688,205792,0.977325
2.2,761000,493920,105,91,189688,205792,0.956668
2.3,736120,514040,106,89,189688,205792,0.969409
2.4,746000,493920,104,87,189688,205792,0.960308
2.5,756240,494280,104,90,189688,205792,0.957962
2.6,746000,499040,104,88,189688,205792,0.962145
2.7,756240,493920,102,88,189688,205792,0.957828
2.8,746000,499040,102,88,189688,205792,0.962145
2.9,746000,504160,104,89,189688,205792,0.963928
3,746000,499040,104,89,189688,205792,0.962145
3.1,746000,499040,104,90,189688,205792,0.962145
3.2,751120,504160,104,90,189688,205792,0.962737
3.3,739480,510320,105,89,189688,205792,0.967474
3.4,736120,509280,106,88,189688,205792,0.967889
3.5,761000,488800,103,88,189688,205792,0.954714
3.6,767880,477520,102,90,189688,205792,0.948445
3.7,734360,509280,103,90,189688,205792,0.968283
3.8,757640,488800,102,89,189688,205792,0.955547
3.9,746000,504160,104,90,189688,205792,0.963928
4,756240,499040,102,90,189688,205792,0.95971
4.1,740880,493920,104,91,189688,205792,0.961538
4.2,734720,525680,104,90,189688,205792,0.973229
4.3,740880,504160,104,90,189688,205792,0.965112
4.4,746000,499040,104,88,189688,205792,0.962145
4.5,756240,499040,104,88,189688,205792,0.95971
4.6,761000,477520,103,90,189688,205792,0.950219
4.7,741240,515440,102,88,189688,205792,0.968725
4.8,762400,482640,101,90,189688,205792,0.951937
4.9,729600,508920,104,89,189688,205792,0.969229
5,761000,499040,103,90,189688,205792,0.958569
5.1,741240,504160,104,89,189688,205792,0.965029
5.2,740880,500440,104,89,189688,205792,0.963838
5.3,749720,504160,105,90,189688,205792,0.963063
5.4,752520,499040,104,88,189688,205792,0.960597
5.5,744600,493920,103,88,189688,205792,0.960645
5.6,757640,497640,104,89,189688,205792,0.958864
5.7,735760,510680,102,88,189688,205792,0.968421
5.8,756240,493920,102,88,189688,205792,0.957828
5.9,746000,499040,104,90,189688,205792,0.962145
6,751120,493920,104,90,189688,205792,0.959071
6.1,746000,497640,104,90,189688,205792,0.961648
6.2,744600,510680,105,90,189688,205792,0.96644
6.3,746000,493920,105,90,189688,205792,0.960308
6.4,741240,514040,104,87,189688,205792,0.96828
6.5,746000,504160,104,87,189688,205792,0.963928
6.6,756240,484040,104,88,189688,205792,0.954048
6.7,746000,499040,104,88,189688,205792,0.962145
6.8,762400,492520,100,89,189688,205792,0.955795
6.9,751120,500440,104,90,189688,205792,0.96143
7,739480,504160,104,90,189688,205792,0.965434
7.1,751120,499040,105,90,189688,205792,0.960931
7.2,746000,493920,105,90,189688,205792,0.960308
7.3,741240,509280,105,90,189688,205792,0.966738
7.4,746000,503800,104,87,189688,205792,0.963804
7.5,744600,504160,105,87,189688,205792,0.964252
7.6,757640,484040,104,88,189688,205792,0.953696
7.7,761000,493920,102,88,189688,205792,0.956668
7.8,731000,509280,102,88,189688,205792,0.969032
7.9,756240,499040,104,90,189688,205792,0.95971
8,755880,493920,105,90,189688,205792,0.957916
8.1,746000,499040,103,90,189688,205792,0.962145
8.2,741240,504160,105,90,189688,205792,0.965029
8.3,746000,499040,104,90,189688,205792,0.962145
8.4,729600,520560,105,88,189688,205792,0.972801
8.5,746000,499040,104,86,189688,205792,0.962145
8.6,772640,472400,102,88,189688,205792,0.945043
8.7,746000,504160,102,88,189688,205792,0.963928
8.8,756240,499040,103,88,189688,205792,0.95971
8.9,740880,499040,104,90,189688,205792,0.963352
9,749720,504160,105,91,189688,205792,0.963063
9.1,752520,488800,104,90,189688,205792,0.956814
9.2,729600,519160,106,90,189688,205792,0.972386
9.3,746000,499040,106,89,189688,205792,0.962145
9.4,746000,505560,104,87,189688,205792,0.964407
9.5,756240,499040,104,87,189688,205792,0.95971
9.6,762400,472400,102,88,189688,205792,0.947726
9.7,751120,504160,102,89,189688,205792,0.962737
9.8,746000,499040,102,88,189688,205792,0.962145
9.9,756240,493920,103,90,189688,205792,0.957828
10,746000,509280,104,92,189688,205792,0.965659
10.1,744600,499040,105,91,189688,205792,0.962475
10.2,731000,520560,106,88,189688,205792,0.972506
10.3,756240,487400,70,90,5792,205792,0.955356
10.4,734360,515800,5,62,5792,5792,0.970342
10.5,94560,692720,4,0,5792,5792,0.634008
10.6,120000,15000,4,2,5792,5792,0.623077
10.7,105000,30000,3,4,22255,5792,0.764151
10.8,150000,60000,4,0,25651,5792,0.844828
10.9,180000,180000,5,75,30153,208688,1
11,180000,1.08e+06,9,50,31855,208688,0.662162
11.1,285000,855840,5,56,32019,272920,0.799764
11.2,255000,917640,5,66,32094,371224,0.757966
11.3,240000,1.0182e+06,5,57,32094,383088,0.723304
11.4,255000,928400,5,59,34990,383088,0.755398
11.5,300000,913400,6,65,39662,383088,0.796462
11.6,330000,912000,11,64,45723,383088,0.819951
11.7,420000,837200,15,68,49696,383088,0.900801
