Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,556080,556080,21,20,53576,53576,1
0.5,630000,615000,62,61,105704,105704,0.999855
0.6,630000,615000,63,61,105704,105704,0.999855
0.7,615000,630000,62,61,105704,105704,0.999855
0.8,630000,615000,62,62,105704,105704,0.999855
0.9,630000,630000,61,62,105704,105704,1
1,615000,630000,59,59,107711,106154,0.999855
1.1,645000,600000,33,35,107711,106154,0.998695
1.2,600000,645000,22,19,79666,78588,0.998695
1.3,645000,615000,23,22,76770,75692,0.999433
1.4,630000,615000,28,28,76770,75692,0.999855
1.5,630000,615000,34,33,76770,75692,0.999855
1.6,630000,615000,41,40,79666,78588,0.999855
1.7,630000,615000,39,38,76770,75692,0.999855
1.8,630000,630000,37,37,71736,70664,1
1.9,630000,615000,37,36,71736,70664,0.999855
2,630000,615000,37,36,71736,70664,0.999855
2.1,630000,615000,34,35,71736,70664,0.999855
2.2,630000,630000,35,33,71736,70664,1
2.3,645000,600000,36,36,71736,70664,0.998695
2.4,615000,630000,38,36,71736,70664,0.999855
2.5,630000,615000,36,37,71736,70664,0.999855
2.6,615000,630000,36,32,71736,70664,0.999855
2.7,660000,600000,36,35,70803,69436,0.997738
2.8,630000,615000,36,36,70803,69436,0.999855
2.9,630000,615000,36,38,70803,72332,0.999855
3,600000,645000,35,30,70803,69436,0.998695
3.1,675000,585000,33,33,70803,69436,0.994924
3.2,630000,615000,34,35,70955,69436,0.999855
3.3,615000,630000,40,36,73851,72419,0.999855
3.4,645000,600000,33,33,71338,69523,0.998695
3.5,630000,615000,35,35,71338,70003,0.999855
3.6,630000,630000,36,36,71338,70003,1
3.7,630000,615000,39,37,74234,70003,0.999855
3.8,645000,600000,32,36,71338,70003,0.998695
3.9,615000,630000,35,34,71338,70003,0.999855
4,645000,615000,36,36,71338,70003,0.999433
4.1,630000,615000,37,37,74234,70003,0.999855
4.2,630000,615000,33,39,71338,72899,0.999855
4.3,600000,645000,36,32,71338,70003,0.998695
4.4,660000,585000,36,36,71338,70003,0.996384
4.5,630000,630000,37,37,71338,70003,1
4.6,630000,615000,34,39,70803,72899,0.999855
