Time,Flow1_Dctcp_Bps,Flow2_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,601080,511080,24,30,53576,53576,0.993494
0.5,660000,585000,32,35,65535,65535,0.996384
0.6,600000,645000,33,37,66983,66983,0.998695
0.7,570000,675000,38,35,68431,68431,0.992937
0.8,660000,585000,35,39,69879,69879,0.996384
0.9,615000,645000,39,37,71327,71327,0.999433
1,615000,630000,41,35,72775,71327,0.999855
1.1,615000,630000,40,38,72775,72775,0.999855
1.2,615000,630000,46,35,74223,74223,0.999855
1.3,735000,525000,36,45,75671,75671,0.972973
1.4,540000,705000,43,41,77119,77119,0.982739
1.5,630000,615000,40,45,78567,78567,0.999855
1.6,600000,645000,44,42,78567,78567,0.998695
1.7,615000,630000,50,39,80015,80015,0.999855
1.8,675000,585000,42,47,81463,81463,0.994924
1.9,600000,645000,47,45,82911,82911,0.998695
2,615000,630000,50,43,82911,82911,0.999855
2.1,600000,645000,53,41,84359,84359,0.998695
2.2,645000,615000,49,47,85807,85807,0.999433
2.3,615000,630000,51,45,87255,85807,0.999855
2.4,750000,495000,41,57,87255,87255,0.959738
2.5,600000,645000,46,55,88703,88703,0.998695
2.6,570000,675000,49,53,90151,90151,0.992937
2.7,675000,585000,48,54,90151,90151,0.994924
2.8,600000,645000,47,58,91599,91599,0.998695
2.9,585000,660000,53,53,93047,93047,0.996384
3,705000,540000,48,57,93047,93047,0.982739
3.1,600000,660000,49,60,94495,94495,0.997738
3.2,555000,690000,52,56,94495,94495,0.988379
3.3,765000,480000,44,65,95943,95943,0.950207
3.4,510000,735000,53,59,97391,97391,0.968372
3.5,645000,600000,56,57,97391,97391,0.998695
3.6,615000,645000,58,55,98839,98839,0.999433
3.7,600000,645000,55,61,100287,100287,0.998695
3.8,630000,615000,65,52,100287,100287,0.999855
3.9,675000,570000,53,65,101735,101735,0.992937
4,555000,705000,58,60,101735,101735,0.986026
4.1,705000,540000,56,65,103183,103183,0.982739
4.2,540000,705000,59,63,104631,104631,0.982739
4.3,660000,585000,65,56,104631,104631,0.996384
4.4,645000,600000,61,65,106079,106079,0.998695
4.5,660000,600000,57,67,106079,106079,0.997738
4.6,510000,735000,68,57,107527,107527,0.968372
4.7,630000,615000,71,56,108975,107527,0.999855
4.8,765000,480000,54,75,108975,108975,0.950207
4.9,495000,765000,64,65,110423,110423,0.956098
5,675000,570000,69,61,110423,110423,0.992937
5.1,570000,675000,66,67,111871,111871,0.992937
5.2,645000,600000,71,61,111871,111871,0.998695
5.3,690000,555000,62,73,113319,113319,0.988379
5.4,660000,600000,58,75,113319,113319,0.997738
5.5,510000,735000,69,67,114767,114767,0.968372
5.6,705000,540000,66,71,114767,114767,0.982739
5.7,540000,705000,75,63,116215,116215,0.982739
5.8,645000,615000,76,61,116215,114392,0.999433
5.9,675000,570000,68,68,117663,111213,0.992937
6,585000,660000,74,58,113211,111213,0.996384
6.1,765000,480000,57,77,113211,112661,0.950207
6.2,465000,780000,68,65,113211,112661,0.939836
6.3,750000,510000,66,69,114659,114109,0.964989
6.4,540000,705000,71,64,116107,110277,0.982739
6.5,630000,615000,77,57,116107,110277,0.999855
6.6,660000,585000,68,68,117555,111725,0.996384
6.7,675000,585000,71,62,117555,108163,0.994924
6.8,675000,570000,65,68,119003,108163,0.992937
6.9,660000,585000,63,70,119003,108163,0.996384
7,555000,690000,73,63,120451,109611,0.988379
7.1,660000,585000,78,60,120451,109611,0.996384
7.2,630000,630000,79,56,121899,106650,1
7.3,705000,540000,76,59,121899,106650,0.982739
7.4,690000,555000,71,67,123347,108098,0.988379
7.5,705000,540000,68,67,123347,105443,0.982739
7.6,705000,555000,64,71,124795,105443,0.986026
7.7,600000,645000,74,63,124795,105443,0.998695
7.8,720000,525000,71,65,123684,106891,0.976056
7.9,660000,585000,75,62,123684,106891,0.996384
8,615000,630000,80,57,123684,108339,0.999855
8.1,690000,570000,77,60,125132,106107,0.991011
8.2,735000,510000,74,62,125132,106107,0.968372
8.3,645000,600000,71,65,122819,107555,0.998695
8.4,735000,510000,65,71,122819,107555,0.968372
8.5,600000,660000,72,63,124267,105524,0.997738
8.6,645000,600000,76,59,122206,105524,0.998695
8.7,615000,630000,77,56,122206,106972,0.999855
8.8,720000,525000,79,56,122206,106972,0.976056
8.9,645000,600000,77,59,123654,105154,0.998695
9,795000,465000,67,68,123654,105154,0.935809
9.1,645000,600000,66,71,125102,106602,0.998695
9.2,705000,540000,69,67,125102,106602,0.982739
9.3,675000,570000,66,70,124890,104967,0.992937
9.4,615000,645000,79,57,124890,104967,0.999433
9.5,675000,570000,76,60,124890,103413,0.992937
9.6,705000,540000,78,56,123309,103413,0.982739
9.7,675000,570000,77,56,123309,103359,0.992937
9.8,660000,585000,75,61,124757,103359,0.996384
9.9,765000,495000,70,64,124757,103359,0.956098
10,660000,585000,73,63,126205,102014,0.996384
10.1,630000,615000,76,58,126205,102014,0.999855
10.2,675000,570000,77,61,127653,103462,0.992937
10.3,720000,540000,81,55,127653,103462,0.98
10.4,630000,615000,84,56,129101,104910,0.999855
10.5,810000,435000,73,65,129101,104910,0.916822
10.6,600000,645000,82,60,130549,106358,0.998695
10.7,825000,420000,69,71,130549,105251,0.904306
10.8,600000,660000,85,63,131997,105251,0.997738
10.9,765000,480000,96,67,131997,105251,0.950207
11,656880,585000,97,69,132406,106699,0.996661
11.1,714080,540000,102,63,132406,105636,0.981096
11.2,687080,555000,95,69,131127,105636,0.988819
11.3,665040,585000,106,57,127176,104367,0.995917
11.4,744520,510000,69,69,125720,104367,0.966233
11.5,585000,660000,73,59,118504,104367,0.996384
11.6,605800,645000,32,71,118504,104367,0.999019
11.7,183280,1.05428e+06,105,61,128666,105815,0.668744
11.8,1.23e+06,15000,87,80,128666,105815,0.512193
11.9,165000,1.08e+06,101,68,130114,107263,0.649293
12,1.215e+06,30000,88,80,130114,107263,0.524676
12.1,165000,1.08e+06,100,71,128810,106393,0.649293
12.2,1.16236e+06,90000,93,75,128810,106393,0.576967
12.3,240000,1.005e+06,90,73,127512,104221,0.725922
12.4,1.065e+06,195000,98,65,126240,104221,0.677159
12.5,390000,855000,84,78,126240,102064,0.87758
12.6,900000,345000,104,57,123672,102064,0.834221
12.7,540000,705000,82,77,123672,102064,0.982739
12.8,735000,510000,101,58,121271,102064,0.968372
12.9,735000,525000,80,79,121271,103512,0.972973
13,495000,750000,103,57,122719,103512,0.959738
13.1,930000,315000,80,79,120462,104960,0.803851
13.2,330000,915000,102,60,120462,106408,0.819144
13.3,1.11e+06,150000,81,80,120462,106408,0.632712
13.4,165000,1.08e+06,101,62,121910,107856,0.649293
13.5,1.23e+06,15000,83,81,121910,107856,0.512193
13.6,150000,1.095e+06,92,71,121448,109304,0.634463
13.7,1.095e+06,150000,91,73,121448,109304,0.634463
13.8,285000,975000,82,79,121448,107619,0.769298
13.9,945000,300000,100,61,119594,107619,0.788396
14,450000,795000,80,83,119594,109067,0.928687
14.1,765000,480000,102,63,121042,109067,0.950207
14.2,615000,645000,81,82,121042,108927,0.999433
14.3,630000,615000,100,61,119436,108927,0.999855
14.4,750000,495000,80,81,119436,107414,0.959738
14.5,465000,780000,101,61,120884,107414,0.939836
14.6,930000,315000,82,82,120884,107414,0.803851
14.7,300000,960000,103,61,122332,108862,0.784698
14.8,1.095e+06,150000,82,82,122332,108862,0.634463
14.9,165000,1.08e+06,104,61,123780,107576,0.649293
15,1.215e+06,30000,82,81,122386,107576,0.524676
15.1,165000,1.095e+06,96,69,122386,109024,0.647339
15.2,1.155e+06,90000,88,77,122386,109024,0.577452
15.3,210000,1.035e+06,89,75,123834,107849,0.694876
15.4,1.05e+06,195000,94,68,122564,107849,0.679523
15.5,345000,900000,83,81,122564,106715,0.834221
15.6,900000,360000,103,59,124012,106715,0.844828
15.7,510000,735000,83,79,124012,105617,0.968372
15.8,750000,495000,102,58,122850,105617,0.959738
15.9,675000,570000,83,80,122850,107065,0.992937
16,570000,690000,103,60,124298,107065,0.991011
16.1,855000,390000,82,82,124298,108513,0.87758
16.2,405000,840000,104,61,125746,108513,0.891203
16.3,975000,270000,83,82,124734,109961,0.757199
16.4,300000,945000,105,64,124734,111409,0.788396
16.5,1.095e+06,165000,84,84,124734,111409,0.647339
16.6,195000,1.05e+06,104,63,123809,112857,0.679523
16.7,1.155e+06,90000,82,84,123809,112857,0.577452
16.8,120000,1.125e+06,103,65,122903,113471,0.605467
16.9,1.245e+06,15000,82,85,122903,113471,0.512046
17,90000,1.155e+06,97,68,124351,112650,0.577452
17.1,1.17e+06,75000,87,79,123322,112650,0.56384
17.2,180000,1.065e+06,91,75,123322,112650,0.66432
17.3,1.08e+06,165000,93,74,122277,111681,0.649293
17.4,270000,990000,85,81,122277,111681,0.753846
17.5,990000,255000,98,68,121096,111681,0.74155
17.6,345000,900000,81,82,121096,110606,0.834221
17.7,900000,345000,100,62,119831,110606,0.834221
17.8,495000,765000,79,83,119831,109441,0.956098
17.9,720000,525000,101,61,119831,109441,0.976056
18,645000,600000,80,81,121279,108152,0.998695
18.1,585000,660000,100,60,119880,108152,0.996384
18.2,810000,435000,80,82,119880,109600,0.916822
18.3,405000,855000,101,61,119880,109600,0.886878
18.4,990000,255000,81,81,121328,108383,0.74155
18.5,240000,1.005e+06,101,61,121328,109831,0.725922
18.6,1.155e+06,90000,83,83,122776,108669,0.577452
18.7,135000,1.125e+06,98,66,122776,108669,0.618297
18.8,1.185e+06,60000,85,78,123036,108669,0.550503
18.9,195000,1.05e+06,90,76,123036,110117,0.679523
19,1.065e+06,180000,94,72,123036,110117,0.66432
19.1,285000,960000,83,83,123036,111565,0.772829
19.2,960000,300000,102,65,121958,111565,0.784698
19.3,390000,855000,83,86,123406,113013,0.87758
19.4,855000,390000,103,64,123406,113013,0.87758
19.5,465000,780000,83,87,122414,114461,0.939836
19.6,795000,465000,101,66,122414,114461,0.935809
19.7,525000,720000,82,85,122884,113511,0.976056
19.8,705000,540000,102,63,122884,113511,0.982739
19.9,630000,615000,82,85,122884,114959,0.999855
