Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
0.4,421080,361080,361080,361080,20,24,24,24,41992,41992,41992,41992,0.99525
0.5,300000,360000,360000,240000,40,36,36,44,65535,65535,65535,65535,0.975664
0.6,360000,285000,240000,360000,36,41,42,36,65535,65535,65535,65535,0.973573
0.7,300000,345000,300000,300000,37,39,45,38,66983,66983,66983,65535,0.996096
0.8,255000,270000,360000,360000,44,41,37,37,66983,66983,66983,66983,0.975779
0.9,300000,315000,315000,315000,47,47,38,32,68431,68431,66983,66983,0.999565
1,360000,360000,300000,240000,39,39,43,45,68431,68431,68431,68431,0.975664
1.1,345000,345000,315000,240000,39,29,35,45,59474,60788,65603,65962,0.981339
1.2,240000,240000,330000,435000,33,27,27,30,51490,49554,53299,54983,0.937534
1.3,345000,300000,330000,270000,25,17,18,28,39468,40951,42548,47520,0.991508
1.4,315000,255000,270000,420000,15,15,17,17,31684,28210,30845,36459,0.959739
1.5,360000,300000,285000,300000,11,14,17,15,31609,29658,30333,31523,0.991508
1.6,315000,330000,285000,315000,13,13,19,19,33057,31106,31781,32971,0.99725
1.7,315000,300000,315000,315000,12,14,19,21,33057,32554,33229,34419,0.999565
1.8,315000,270000,315000,345000,12,19,21,21,34505,34002,34677,35867,0.992651
1.9,285000,345000,315000,315000,16,18,20,16,35953,34002,34677,35867,0.995485
2,270000,270000,330000,375000,23,19,17,16,37401,35450,36125,37315,0.980222
2.1,345000,345000,315000,240000,21,19,17,21,38849,36898,37573,38763,0.981339
2.2,315000,285000,315000,330000,23,23,17,22,40297,38346,39021,40211,0.99725
2.3,345000,330000,255000,330000,25,20,21,21,41745,39794,40469,41659,0.987682
2.4,345000,270000,315000,315000,25,18,20,27,43193,39794,40469,43107,0.992651
2.5,270000,270000,300000,405000,23,27,25,16,43193,41242,41917,43107,0.96919
2.6,345000,345000,315000,240000,21,25,25,25,44641,42690,43365,44555,0.981339
2.7,300000,315000,315000,315000,30,25,20,25,46089,44138,43365,46003,0.999565
2.8,315000,345000,300000,300000,27,18,23,31,46089,44138,44813,46003,0.99661
2.9,285000,270000,345000,345000,27,25,25,27,47537,45586,46261,47451,0.988095
3,345000,345000,270000,285000,31,27,21,27,48985,47034,46261,48899,0.988095
3.1,300000,300000,285000,360000,33,21,25,29,48985,47034,47709,48899,0.991508
3.2,315000,285000,375000,285000,29,27,27,29,50433,48482,49157,50347,0.986577
3.3,345000,315000,285000,300000,35,29,20,29,51881,49930,49157,50347,0.994945
3.4,330000,360000,210000,345000,25,21,33,35,51881,49930,50605,51795,0.964846
3.5,285000,225000,405000,330000,31,33,27,28,53329,51378,52053,53243,0.957337
3.6,435000,345000,180000,285000,22,30,35,33,53329,51378,52053,53243,0.918533
3.7,150000,270000,435000,405000,37,31,29,27,54777,52826,53501,54691,0.884654
3.8,405000,345000,315000,180000,37,35,20,33,56225,54274,53501,54691,0.934482
3.9,330000,300000,210000,405000,25,29,37,37,56225,54274,54949,56139,0.952045
4,255000,315000,405000,270000,37,33,33,27,57673,55722,56397,56139,0.965928
4.1,345000,300000,240000,375000,36,31,31,33,57673,55722,56397,57587,0.974586
4.2,300000,285000,375000,285000,35,35,31,33,59121,57170,57845,59035,0.985833
4.3,495000,270000,180000,300000,22,39,39,35,59121,57170,57845,59035,0.880046
4.4,150000,375000,405000,315000,33,33,35,37,60569,58618,59293,60483,0.908839
4.5,465000,330000,180000,270000,28,31,39,41,60569,58618,59293,60483,0.900288
4.6,150000,285000,480000,345000,37,35,34,37,62017,60066,60741,61931,0.875869
4.7,450000,420000,105000,270000,36,25,41,41,62017,60066,60741,61931,0.837263
4.8,165000,195000,525000,360000,38,35,35,38,63465,61514,62189,63379,0.823649
4.9,465000,435000,90000,255000,39,24,41,44,63465,61514,62189,64264,0.809709
5,165000,180000,525000,390000,39,37,37,34,64913,62962,63637,58934,0.814404
5.1,480000,405000,90000,270000,38,28,43,41,64913,62962,63637,60218,0.815073
5.2,165000,240000,540000,300000,41,38,33,37,66361,64410,59678,59620,0.830801
5.3,495000,330000,105000,315000,34,35,41,34,67283,65847,59678,51505,0.834828
5.4,180000,345000,420000,300000,42,33,36,29,66610,60446,61813,51505,0.927437
5.5,480000,375000,195000,210000,30,25,42,33,58559,57017,60957,48395,0.875869
5.6,150000,225000,525000,345000,40,30,31,25,58559,57017,54143,48395,0.828403
5.7,420000,405000,225000,195000,38,29,28,29,55131,57017,54143,48395,0.90312
5.8,270000,270000,315000,390000,32,28,37,25,55131,53833,54143,46816,0.975779
5.9,330000,300000,360000,270000,35,37,27,21,55131,55281,54143,46816,0.988789
6,405000,300000,285000,255000,27,37,33,28,56579,55281,55591,46816,0.9681
6.1,315000,285000,375000,270000,28,37,35,29,56579,56729,57039,48264,0.983581
6.2,390000,465000,180000,210000,31,26,39,33,58027,56729,57039,48264,0.871143
6.3,195000,210000,495000,345000,41,33,33,25,59475,58177,58487,49712,0.868507
6.4,390000,465000,210000,195000,41,30,31,30,59475,58177,58487,49712,0.881119
6.5,315000,165000,375000,390000,35,38,37,25,60923,59625,57158,51160,0.92445
6.6,300000,450000,210000,285000,41,41,33,20,60923,61073,57158,51160,0.927437
6.7,315000,300000,390000,240000,37,29,37,35,62371,61073,57158,52608,0.971376
6.8,330000,315000,300000,315000,41,40,31,24,62371,58655,57158,52608,0.998867
6.9,360000,270000,345000,270000,40,32,33,32,63819,58655,58606,54056,0.982459
7,285000,330000,345000,285000,41,41,24,33,63819,60103,58606,54056,0.992651
7.1,480000,270000,240000,255000,34,41,34,33,65267,60103,60054,55504,0.909799
7.2,210000,345000,375000,315000,42,40,23,36,65267,60103,60054,53460,0.961614
7.3,525000,270000,225000,240000,30,41,39,32,66715,61551,61502,53460,0.868966
7.4,210000,330000,405000,300000,38,41,28,36,66715,61551,61502,54908,0.952045
7.5,540000,285000,210000,210000,24,43,42,36,64447,62999,62950,54908,0.840532
7.6,150000,330000,435000,330000,36,43,30,37,64447,62999,60933,56356,0.902174
7.7,510000,345000,195000,210000,24,40,40,36,63883,62561,60933,54604,0.860488
7.8,165000,300000,435000,345000,34,41,28,36,63883,62561,59016,54604,0.910762
7.9,480000,405000,165000,195000,28,35,38,37,61968,62561,59016,54604,0.843
8,255000,210000,435000,345000,27,41,32,35,61968,60867,57192,52927,0.928437
8.1,360000,540000,135000,210000,35,27,37,36,60149,60867,57192,52927,0.801419
8.2,240000,180000,465000,375000,31,34,36,33,60149,60867,55379,54375,0.888218
8.3,360000,510000,210000,165000,41,27,29,37,60149,60571,55379,54375,0.840532
8.4,240000,180000,435000,390000,39,30,31,32,60149,60571,56827,52841,0.898409
8.5,375000,420000,165000,285000,42,40,27,27,61597,60571,55114,52841,0.910762
8.6,300000,180000,405000,375000,36,39,33,29,61597,62019,55114,54289,0.929399
8.7,330000,420000,165000,330000,43,41,37,17,63045,62019,55114,54289,0.919514
8.8,345000,285000,390000,225000,34,37,38,31,63045,63467,56562,55737,0.961614
8.9,360000,330000,180000,375000,39,43,38,21,64493,63467,56562,54311,0.941635
9,285000,375000,390000,195000,36,33,36,35,64493,64915,54976,54311,0.940606
9.1,360000,270000,270000,360000,41,43,30,25,65941,64915,54976,54311,0.98
9.2,405000,375000,270000,195000,37,35,37,35,67389,66363,56424,55759,0.932458
9.3,270000,270000,330000,375000,42,43,27,30,67389,66363,56424,55759,0.980222
9.4,435000,405000,225000,180000,36,33,38,36,65966,65037,57872,57207,0.888216
9.5,255000,240000,375000,390000,39,43,25,33,65966,65037,56492,55958,0.95558
