Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,511080,601080,23,24,53576,53576,0.993494
0.5,600000,645000,50,36,88328,69504,0.998695
0.6,750000,495000,54,45,102808,72400,0.959738
0.7,705000,540000,61,43,108600,75296,0.982739
0.8,735000,510000,66,42,111496,76744,0.968372
0.9,780000,480000,59,50,111496,79640,0.946352
1,645000,600000,66,46,111496,82536,0.998695
1.1,750000,495000,61,45,112001,85432,0.959738
1.2,735000,510000,29,55,112001,88328,0.968372
1.3,435000,825000,46,48,79739,91224,0.912571
1.4,615000,630000,44,54,79739,94120,0.999855
1.5,555000,690000,43,57,79739,98464,0.988379
1.6,525000,720000,46,57,79739,101360,0.976056
1.7,600000,645000,47,60,82635,104256,0.998695
1.8,525000,735000,43,64,79739,108600,0.972973
1.9,480000,765000,47,63,79739,111496,0.950207
2,585000,660000,46,65,79739,114392,0.996384
2.1,480000,765000,44,71,79739,118736,0.950207
2.2,480000,780000,48,69,79739,121632,0.946352
2.3,540000,705000,45,73,79739,125976,0.982739
2.4,405000,840000,47,75,79739,128872,0.891203
2.5,555000,690000,43,85,75586,133216,0.988379
2.6,405000,844960,41,104,75586,133216,0.889767
2.7,480000,761880,44,103,75586,133216,0.951005
2.8,465000,793640,40,106,75586,133216,0.936174
2.9,390000,847440,47,98,75586,133216,0.879776
3,495000,766120,33,101,59810,133216,0.955824
3.1,390000,853960,31,100,56914,133216,0.877881
3.2,360000,883960,31,103,56914,133216,0.84932
3.3,360000,885720,29,106,56914,133216,0.848823
3.4,360000,885360,33,100,56914,133216,0.848925
3.5,375000,883960,31,101,56914,133216,0.859524
3.6,345000,902120,35,96,56914,133216,0.833637
3.7,390000,847440,32,102,56914,133216,0.879776
3.8,360000,890480,31,102,56914,133216,0.847484
3.9,345000,900720,34,96,56914,133216,0.834023
4,420000,837200,29,100,53720,133216,0.900801
4.1,300000,943760,30,100,53720,133216,0.788705
4.2,390000,862440,30,101,53720,133216,0.875433
4.3,360000,890480,29,101,53779,133216,0.847484
4.4,300000,950280,27,102,50883,133216,0.787084
4.5,375000,863840,29,98,50883,133216,0.865273
4.6,345000,905480,27,101,50883,133216,0.832713
4.7,300000,950280,26,102,50883,133216,0.787084
4.8,375000,868960,22,100,44439,133216,0.863798
4.9,285000,960160,22,100,44439,133216,0.772791
5,270000,986800,23,102,44439,133216,0.754555
5.1,330000,912000,23,100,44439,133216,0.819951
5.2,300000,953640,25,99,47335,133216,0.786255
5.3,270000,971800,23,102,44439,133216,0.757925
5.4,315000,938640,25,98,44439,133216,0.801623
5.5,330000,912000,23,100,44439,133216,0.819951
5.6,270000,986800,22,102,44439,133216,0.754555
5.7,300000,938640,25,98,44140,133216,0.789989
5.8,315000,938640,19,102,41244,133216,0.801623
5.9,240000,1.00832e+06,21,100,41244,133216,0.725258
6,300000,948520,24,95,41244,133216,0.78752
6.1,300000,950280,20,100,39866,133216,0.787084
6.2,240000,1.0032e+06,20,100,39866,133216,0.726284
6.3,300000,943760,22,96,39866,133216,0.788705
6.4,285000,960160,17,100,36546,133216,0.772791
