Time,Flow1_NewReno_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,526080,526080,10,21,31856,53576,1
0.5,510000,735000,30,66,57920,114392,0.968372
0.6,345000,900000,39,74,66856,128872,0.834221
0.7,465000,780000,44,70,67414,128872,0.939836
0.8,420000,825000,38,75,67752,128872,0.904306
0.9,420000,840000,41,73,68202,128872,0.9
1,540000,705000,37,56,68682,129705,0.982739
1.1,435000,810000,34,27,69072,94887,0.916822
1.2,645000,600000,38,43,69762,91991,0.998695
1.3,600000,660000,38,51,70347,91991,0.997738
1.4,525000,720000,37,51,70840,91991,0.976056
1.5,525000,720000,39,51,71362,94887,0.976056
1.6,555000,690000,40,46,71913,91991,0.988379
1.7,585000,660000,40,52,72459,91991,0.996384
1.8,540000,720000,36,53,72907,91991,0.98
1.9,495000,750000,43,48,73467,91991,0.959738
2,600000,645000,44,44,74027,86378,0.998695
2.1,630000,615000,36,52,74503,86378,0.999855
2.2,510000,750000,40,47,75030,86378,0.964989
2.3,570000,675000,43,44,75570,86378,0.992937
2.4,630000,615000,43,38,76137,76100,0.999855
2.5,660000,585000,35,43,76623,76100,0.996384
2.6,570000,675000,42,40,77217,76100,0.992937
2.7,630000,630000,44,37,77806,76100,1
2.8,660000,585000,45,38,78378,76100,0.996384
2.9,675000,570000,42,42,78924,76100,0.992937
3,630000,615000,42,42,79470,76100,0.999855
3.1,630000,630000,45,40,80042,76100,1
3.2,660000,585000,43,43,80588,78996,0.996384
3.3,630000,615000,44,40,81116,76100,0.999855
3.4,660000,585000,44,41,81666,76100,0.996384
3.5,645000,600000,45,39,82216,73573,0.998695
3.6,675000,585000,45,42,82766,76469,0.994924
3.7,645000,600000,46,37,83316,73573,0.998695
3.8,690000,555000,46,38,83891,73573,0.988379
3.9,675000,570000,46,36,84419,67918,0.992937
4,705000,555000,45,36,84971,70814,0.986026
4.1,690000,555000,48,31,85547,67918,0.988379
4.2,750000,495000,46,37,86123,67918,0.959738
4.3,690000,555000,44,38,86651,67918,0.988379
4.4,675000,570000,48,36,87227,67918,0.992937
4.5,720000,540000,48,32,87785,67918,0.98
4.6,750000,495000,49,37,88360,67918,0.959738
4.7,690000,555000,49,36,88889,67918,0.988379
4.8,705000,540000,50,34,89441,65803,0.982739
4.9,750000,510000,51,34,90016,65803,0.964989
5,735000,510000,48,36,90545,65803,0.968372
5.1,720000,525000,50,34,91120,63798,0.976056
5.2,735000,510000,50,34,91650,63798,0.968372
5.3,750000,495000,50,34,92200,62929,0.959738
5.4,750000,510000,51,29,92750,60033,0.964989
5.5,795000,450000,50,32,93322,60033,0.928687
5.6,765000,480000,51,32,93894,60033,0.950207
5.7,765000,480000,51,35,94444,62929,0.950207
5.8,750000,510000,53,28,95016,60033,0.964989
5.9,810000,435000,52,32,95576,60033,0.916822
6,780000,465000,52,33,96122,60033,0.939836
6.1,750000,495000,52,33,96647,62929,0.959738
6.2,780000,465000,55,29,97214,60033,0.939836
6.3,825000,435000,52,33,97760,60033,0.912571
6.4,765000,480000,51,32,98285,57261,0.950207
6.5,765000,480000,55,30,98852,57261,0.950207
6.6,810000,435000,55,29,99419,57261,0.916822
6.7,825000,435000,53,30,99960,54987,0.912571
6.8,795000,450000,56,28,100520,54987,0.928687
6.9,825000,420000,55,28,101060,54987,0.904306
7,825000,420000,57,28,101620,54987,0.904306
7.1,825000,420000,56,29,102160,54987,0.904306
7.2,825000,435000,55,28,102700,54987,0.912571
7.3,825000,420000,57,28,103260,54987,0.904306
7.4,840000,405000,57,31,103820,57883,0.891203
7.5,795000,450000,57,27,104340,54987,0.928687
7.6,855000,405000,58,28,104916,54987,0.886878
7.7,840000,405000,58,28,105448,53147,0.891203
7.8,840000,405000,57,31,105961,56043,0.891203
7.9,810000,435000,59,24,106493,53147,0.916822
8,885000,360000,58,29,107044,53147,0.849026
8.1,840000,420000,57,27,107557,50036,0.9
8.2,840000,405000,61,25,108127,50036,0.891203
8.3,885000,360000,59,26,108659,50036,0.849026
8.4,870000,375000,57,28,109191,50036,0.8635
8.5,855000,405000,60,26,109761,50036,0.886878
8.6,870000,375000,61,26,110312,50036,0.8635
8.7,885000,360000,60,30,110837,52932,0.849026
8.8,840000,405000,60,25,111341,50036,0.891203
8.9,885000,360000,64,25,111899,49134,0.849026
9,900000,360000,62,25,112421,49134,0.844828
9.1,885000,360000,59,30,112925,52030,0.849026
9.2,825000,420000,65,21,113465,49134,0.904306
9.3,945000,300000,62,27,114005,49134,0.788396
9.4,885000,375000,62,27,114527,46678,0.85923
9.5,870000,375000,62,25,115049,46678,0.8635
9.6,900000,345000,64,24,115607,46678,0.834221
9.7,900000,345000,63,25,116129,46678,0.834221
9.8,885000,360000,66,23,116676,44829,0.849026
9.9,930000,330000,64,24,117186,44829,0.815157
10,915000,330000,66,26,117713,47725,0.819144
10.1,900000,345000,66,22,118223,44829,0.834221
10.2,930000,315000,67,23,118750,44829,0.803851
10.3,930000,330000,65,14,119260,5792,0.815157
10.4,1.035e+06,210000,60,4,119804,5792,0.694876
10.5,1.185e+06,60000,62,4,120484,5792,0.550503
10.6,1.185e+06,60000,61,3,121147,50621,0.550503
10.7,1.14e+06,105000,68,21,121844,53517,0.59133
10.8,960000,300000,68,26,122388,82477,0.784698
10.9,900000,345000,68,33,122898,87003,0.834221
11,840000,405000,71,27,123388,84107,0.891203
11.1,900000,345000,69,29,123852,93771,0.834221
11.2,885000,375000,70,32,124332,93771,0.85923
11.3,870000,375000,71,35,124796,93771,0.8635
11.4,840000,405000,71,35,125244,93771,0.891203
11.5,825000,420000,72,35,125692,93771,0.904306
11.6,840000,405000,73,36,126140,95058,0.891203
11.7,840000,420000,73,37,126588,95058,0.9
11.8,825000,420000,72,44,127020,97954,0.904306
11.9,780000,465000,75,36,127452,99626,0.939836
12,825000,420000,72,37,127868,104920,0.904306
12.1,840000,420000,74,40,128332,104920,0.9
12.2,810000,435000,74,43,128764,104920,0.916822
12.3,780000,465000,75,43,129180,104920,0.939836
12.4,795000,450000,76,45,129612,104920,0.928687
12.5,780000,465000,76,45,130028,104920,0.939836
12.6,780000,480000,77,46,130444,107976,0.946352
12.7,780000,465000,82,53,130860,105080,0.939836
12.8,735000,510000,97,43,131247,109429,0.968372
12.9,788960,465000,102,46,131667,113792,0.937432
13,794680,450000,103,50,132192,113792,0.928776
13.1,761880,480000,106,53,132717,113792,0.951005
13.2,735760,510000,106,53,133212,113792,0.968203
13.3,756240,495000,106,54,133707,113792,0.95823
13.4,745640,510000,107,55,134217,113792,0.96598
13.5,736120,510000,106,59,134697,116688,0.968122
13.6,735760,510000,106,62,135192,113792,0.968203
13.7,686560,555000,106,53,135642,117433,0.988896
13.8,757280,495000,104,57,136137,122759,0.957977
13.9,723080,525000,107,59,136632,122759,0.975431
14,720760,525000,106,61,137112,122759,0.975902
14.1,708080,540000,106,62,137577,122759,0.982187
14.2,709120,540000,106,64,138057,122759,0.981999
14.3,702960,555000,104,64,138507,122759,0.986355
14.4,692720,555000,106,71,138987,125655,0.987963
14.5,681440,555000,106,68,139437,122759,0.989651
14.6,628160,630000,108,59,139866,127709,0.999998
14.7,746000,495000,104,66,140300,130819,0.9607
14.8,671200,585000,106,67,140734,130819,0.995313
14.9,702960,540000,106,71,141168,130819,0.983102
15,654800,600000,108,71,141588,130819,0.998096
15.1,654800,585000,108,71,141994,130819,0.99684
15.2,671200,585000,108,73,142414,133715,0.995313
15.3,659920,585000,106,85,142806,130819,0.996391
15.4,623040,615000,110,74,143226,130819,0.999958
15.5,638400,621200,106,67,143590,135224,0.999814
15.6,709120,540000,108,73,144052,135224,0.981999
15.7,638400,600000,108,74,144444,135224,0.999039
15.8,671200,585000,108,76,144864,135224,0.995313
15.9,626760,615000,109,76,145256,135224,0.99991
16,656200,600000,106,78,145648,135224,0.998003
16.1,626760,615000,109,84,146054,138120,0.99991
16.2,644560,600000,107,90,146446,135224,0.99872
16.3,623400,624640,108,76,146838,135576,0.999999
16.4,671200,585920,104,71,147230,135576,0.995419
16.5,659920,585000,108,73,147664,135576,0.996391
16.6,644560,600000,106,75,148056,135576,0.99872
16.7,665040,585000,108,77,148476,135576,0.995917
16.8,628160,615000,108,77,148868,135576,0.999888
16.9,654800,600000,108,78,149274,135576,0.998096
17,626760,615000,109,85,149666,138472,0.99991
17.1,639440,618240,107,81,150038,135576,0.999716
17.2,622000,622600,109,71,150402,135576,1
17.3,694120,551400,106,73,150792,135576,0.98704
17.4,638400,615000,108,73,151169,135576,0.999652
17.5,659560,585000,107,76,151546,135576,0.996424
17.6,650040,600000,108,77,151923,135576,0.9984
17.7,644560,600000,106,78,152287,135576,0.99872
17.8,638400,615000,108,80,152664,138472,0.999652
17.9,617920,630000,108,85,153028,135224,0.999906
18,638400,604800,108,75,153392,135224,0.99927
18.1,628160,617480,106,68,153743,135224,0.999926
18.2,702960,540000,108,74,154159,135224,0.983102
18.3,644560,615000,106,74,154523,135224,0.99945
18.4,665040,570000,108,77,154913,135224,0.994113
18.5,628160,630000,108,76,155277,135224,0.999998
18.6,654800,585000,108,79,155654,135224,0.99684
18.7,626760,630000,109,86,156018,138120,0.999993
18.8,639440,600000,107,90,156382,135224,0.998988
18.9,628520,626560,108,74,156746,135688,0.999998
19,671200,570240,106,72,157123,135688,0.99343
19.1,669800,585000,109,74,157526,135688,0.995454
19.2,644560,600000,107,75,157890,135688,0.99872
19.3,650040,600000,108,77,158267,135688,0.9984
19.4,644560,600000,106,78,158631,135688,0.99872
19.5,638400,615000,108,78,159008,135688,0.999652
19.6,632920,615000,107,88,159372,138584,0.999794
19.7,623400,615000,108,82,159736,135688,0.999954
19.8,628160,623320,106,69,160087,135688,0.999985
19.9,717960,540680,105,73,160490,135688,0.980547
