Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,616080.0,560.0,21.0,11.0,53576.0,14480.0,0.500909
0.5,1080000.0,150520.0,70.0,4.0,137560.0,27512.0,0.636715
0.6,1250760.0,0.0,92.0,18.0,189688.0,27512.0,0.5
0.7,1020480.0,225000.0,98.0,8.0,189688.0,33304.0,0.710263
0.8,1202000.0,45000.0,92.0,27.0,189688.0,47784.0,0.537385
0.9,1019600.0,225000.0,98.0,22.0,189688.0,53576.0,0.710428
1.0,991560.0,255000.0,95.0,30.0,189688.0,62264.0,0.741217
1.1,988200.0,270000.0,102.0,28.0,189688.0,68056.0,0.754244
1.2,943400.0,300000.0,101.0,55.0,189688.0,105704.0,0.788795
1.3,913400.0,330000.0,104.0,64.0,189688.0,114392.0,0.819574
1.4,690480.0,555000.0,101.0,66.0,126552.0,140456.0,0.988306
1.5,956160.0,300000.0,33.0,62.0,127968.0,117632.0,0.785636
1.6,521680.0,726560.0,52.0,8.0,76048.0,148040.0,0.973766
1.7,1248600.0,0.0,50.0,54.0,135040.0,66983.0,0.5
1.8,690000.0,555000.0,94.0,27.0,137936.0,75671.0,0.988379
1.9,1110000.0,135000.0,75.0,99.0,127937.0,133591.0,0.619849
2.0,635240.0,615000.0,94.0,65.0,127937.0,142279.0,0.999738
2.1,600000.0,645000.0,92.0,86.0,127937.0,208887.0,0.998695
2.2,885000.0,374160.0,48.0,87.0,129385.0,123640.0,0.85867
2.3,398720.0,844440.0,52.0,15.0,69216.0,174824.0,0.886093
2.4,1244800.0,0.0,50.0,61.0,128057.0,66239.0,0.5
2.5,765000.0,481400.0,82.0,28.0,128057.0,66239.0,0.950776
2.6,1050000.0,195000.0,96.0,105.0,130953.0,131487.0,0.679523
2.7,795000.0,465000.0,110.0,75.0,128057.0,131487.0,0.935809
2.8,560880.0,690000.0,107.0,86.0,128201.0,195199.0,0.989457
2.9,930000.0,305880.0,65.0,91.0,128201.0,114904.0,0.796797
3.0,494240.0,753840.0,76.0,31.0,70856.0,127440.0,0.95853
3.1,1228400.0,20800.0,73.0,76.0,129152.0,66063.0,0.516928
3.2,765000.0,483760.0,103.0,46.0,129152.0,68959.0,0.951727
3.3,1050000.0,195000.0,111.0,120.0,129152.0,130967.0,0.679523
3.4,720000.0,540000.0,122.0,84.0,129152.0,130967.0,0.98
3.5,525000.0,720000.0,134.0,102.0,128712.0,203367.0,0.976056
3.6,848840.0,394800.0,97.0,97.0,117800.0,122344.0,0.882386
3.7,526520.0,730680.0,90.0,35.0,69216.0,121984.0,0.974306
3.8,1244200.0,4120.0,86.0,78.0,129808.0,65895.0,0.503311
3.9,750000.0,495000.0,128.0,46.0,129808.0,65895.0,0.959738
4.0,1065000.0,180000.0,132.0,122.0,129808.0,129607.0,0.66432
4.1,780000.0,465000.0,143.0,91.0,129808.0,129607.0,0.939836
4.2,495000.0,750000.0,150.0,55.0,129808.0,193319.0,0.959738
