Time,Cubic_1_Bps,Cubic_2_Bps,Cubic_1_PktLoss,Cubic_2_PktLoss,Cubic_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
0.4,631080.0,481080.0,22.0,32.0,53576.0,53576.0,0.982134
0.5,660000.0,585000.0,33.0,40.0,69504.0,69504.0,0.996384
0.6,660000.0,600000.0,31.0,48.0,72400.0,72400.0,0.997738
0.7,495000.0,750000.0,51.0,32.0,76744.0,75296.0,0.9597380000000001
0.8,765000.0,480000.0,42.0,44.0,79640.0,78192.0,0.9502070000000001
0.9,585000.0,660000.0,51.0,40.0,82536.0,81088.0,0.996384
1.0,645000.0,600000.0,48.0,48.0,85432.0,83984.0,0.998695
1.1,540000.0,720000.0,54.0,46.0,88328.0,86880.0,0.98
1.2,675000.0,570000.0,53.0,50.0,91224.0,89776.0,0.992937
1.3,735000.0,510000.0,52.0,56.0,94120.0,92672.0,0.968372
1.4,465000.0,780000.0,59.0,52.0,97016.0,95568.0,0.939836
1.5,705000.0,555000.0,56.0,60.0,99912.0,99912.0,0.986026
1.6,630000.0,615000.0,60.0,58.0,102808.0,101360.0,0.999855
1.7,585000.0,660000.0,63.0,61.0,105704.0,105704.0,0.996384
1.8,705000.0,540000.0,63.0,65.0,110048.0,108600.0,0.982739
1.9,465000.0,780000.0,74.0,61.0,112944.0,111496.0,0.939836
2.0,750000.0,510000.0,74.0,63.0,115840.0,114392.0,0.964989
2.1,630000.0,615000.0,50.0,67.0,97536.0,96160.0,0.999855
2.2,660000.0,585000.0,7.0,31.0,81088.0,81088.0,0.996384
2.3,691640.0,500720.0,50.0,53.0,78936.0,81088.0,0.975003
2.4,545720.0,691640.0,24.0,63.0,57920.0,83984.0,0.986284
2.5,401680.0,855000.0,32.0,58.0,59368.0,86880.0,0.884858
2.6,405000.0,840000.0,45.0,45.0,59368.0,88328.0,0.891203
2.7,600000.0,645000.0,40.0,54.0,60816.0,91224.0,0.998695
2.8,525000.0,720000.0,48.0,49.0,62264.0,92672.0,0.9760560000000001
2.9,645000.0,615000.0,29.0,67.0,62264.0,94120.0,0.9994330000000001
