Time,Dctcp_1_Bps,Dctcp_2_Bps,Dctcp_1_PktLoss,Dctcp_2_PktLoss,Dctcp_1_Cwnd,Dctcp_2_Cwnd,JainsFairnessIndex
0.4,691080.0,560.0,18.0,11.0,53576.0,14480.0,0.50081
0.5,1095000.0,150520.0,24.0,14.0,66983.0,24616.0,0.634912
0.6,975000.0,270000.0,41.0,0.0,69879.0,27512.0,0.757199
0.7,1260000.0,0.0,28.0,36.0,71327.0,53576.0,0.5
0.8,705000.0,540000.0,36.0,16.0,72775.0,65160.0,0.982739
0.9,1005000.0,240000.0,43.0,28.0,75671.0,65535.0,0.7259220000000001
1.0,825000.0,420000.0,36.0,25.0,75671.0,66983.0,0.904306
1.1,915000.0,345000.0,39.0,22.0,78567.0,66983.0,0.830118
1.2,915000.0,330000.0,33.0,31.0,80015.0,68431.0,0.819144
1.3,840000.0,405000.0,38.0,28.0,81463.0,68431.0,0.891203
1.4,885000.0,360000.0,40.0,31.0,82911.0,69879.0,0.849026
1.5,870000.0,375000.0,41.0,32.0,84359.0,69879.0,0.8635
1.6,870000.0,390000.0,46.0,33.0,85807.0,71327.0,0.8732669999999999
1.7,870000.0,375000.0,43.0,34.0,87255.0,71327.0,0.8635
1.8,855000.0,390000.0,47.0,35.0,88703.0,72775.0,0.87758
1.9,870000.0,375000.0,48.0,36.0,90151.0,72775.0,0.8635
2.0,870000.0,390000.0,49.0,35.0,91599.0,74223.0,0.8732669999999999
2.1,870000.0,375000.0,48.0,36.0,93047.0,74223.0,0.8635
2.2,855000.0,390000.0,49.0,35.0,93047.0,75671.0,0.87758
2.3,870000.0,375000.0,50.0,36.0,94495.0,75671.0,0.8635
2.4,855000.0,390000.0,52.0,37.0,95943.0,77119.0,0.87758
2.5,870000.0,390000.0,51.0,35.0,97391.0,77119.0,0.8732669999999999
2.6,870000.0,375000.0,50.0,37.0,98839.0,78567.0,0.8635
2.7,840000.0,405000.0,55.0,34.0,100287.0,78567.0,0.891203
2.8,885000.0,360000.0,53.0,37.0,101735.0,80015.0,0.849026
2.9,825000.0,435000.0,56.0,34.0,101735.0,80015.0,0.9125710000000001
3.0,885000.0,360000.0,56.0,37.0,103183.0,81463.0,0.849026
3.1,855000.0,390000.0,56.0,37.0,104631.0,81463.0,0.87758
3.2,840000.0,405000.0,59.0,37.0,106079.0,82911.0,0.891203
3.3,885000.0,360000.0,59.0,39.0,107527.0,82911.0,0.849026
3.4,855000.0,405000.0,58.0,41.0,107527.0,84359.0,0.8868779999999999
3.5,870000.0,375000.0,59.0,40.0,108975.0,84359.0,0.8635
3.6,855000.0,390000.0,61.0,40.0,110423.0,84359.0,0.87758
3.7,855000.0,390000.0,63.0,41.0,111871.0,85807.0,0.87758
3.8,855000.0,405000.0,60.0,40.0,111871.0,85807.0,0.8868779999999999
3.9,855000.0,390000.0,62.0,41.0,113319.0,87255.0,0.87758
4.0,840000.0,405000.0,65.0,40.0,114767.0,87255.0,0.891203
4.1,855000.0,390000.0,65.0,43.0,116215.0,88703.0,0.87758
4.2,870000.0,375000.0,67.0,42.0,116215.0,88703.0,0.8635
4.3,840000.0,420000.0,66.0,40.0,117663.0,88703.0,0.9
4.4,870000.0,375000.0,65.0,44.0,119111.0,90151.0,0.8635
4.5,825000.0,420000.0,66.0,40.0,119111.0,90151.0,0.904306
4.6,870000.0,375000.0,69.0,44.0,120559.0,91599.0,0.8635
4.7,855000.0,405000.0,71.0,43.0,122007.0,91599.0,0.8868779999999999
4.8,840000.0,405000.0,69.0,45.0,122007.0,93047.0,0.891203
4.9,855000.0,390000.0,69.0,43.0,123455.0,93047.0,0.87758
5.0,855000.0,390000.0,71.0,45.0,124903.0,93047.0,0.87758
5.1,840000.0,405000.0,73.0,45.0,124903.0,94495.0,0.891203
5.2,855000.0,405000.0,75.0,46.0,126351.0,94495.0,0.8868779999999999
5.3,855000.0,390000.0,73.0,47.0,127799.0,95943.0,0.87758
5.4,855000.0,390000.0,72.0,47.0,127799.0,95943.0,0.87758
5.5,840000.0,405000.0,75.0,48.0,129247.0,95943.0,0.891203
5.6,855000.0,405000.0,77.0,48.0,130695.0,97391.0,0.8868779999999999
5.7,825000.0,420000.0,83.0,48.0,130695.0,97391.0,0.904306
5.8,861720.0,390000.0,93.0,49.0,132143.0,98839.0,0.8756400000000001
5.9,849240.0,390000.0,106.0,47.0,132143.0,98839.0,0.879252
6.0,828240.0,420000.0,94.0,47.0,131106.0,98839.0,0.903372
6.1,825360.0,420000.0,25.0,47.0,131106.0,94736.0,0.9042020000000001
6.2,566520.0,681680.0,82.0,1.0,131106.0,90186.0,0.9915600000000001
6.3,918800.0,330000.0,110.0,42.0,132554.0,93082.0,0.818126
6.4,645000.0,615000.0,96.0,50.0,132554.0,94530.0,0.9994330000000001
6.5,1037120.0,210000.0,91.0,52.0,132076.0,94530.0,0.694509
6.6,633840.0,615000.0,37.0,37.0,132076.0,94530.0,0.999772
6.7,204120.0,615000.0,115.0,49.0,132076.0,104122.0,0.798968
6.8,1125000.0,75000.0,119.0,48.0,132076.0,89055.0,0.566372
6.9,659560.0,590080.0,123.0,16.0,133524.0,89055.0,0.996918
7.0,1248120.0,0.0,95.0,74.0,131943.0,90503.0,0.5
7.1,563600.0,677400.0,45.0,28.0,131943.0,90503.0,0.991661
7.2,640200.0,195000.0,94.0,83.0,131943.0,103928.0,0.7787320000000001
7.3,798840.0,450000.0,39.0,53.0,131943.0,103928.0,0.9276209999999999
7.4,630000.0,615000.0,114.0,58.0,134839.0,87569.0,0.999855
7.5,1178400.0,64600.0,130.0,69.0,134839.0,87569.0,0.554656
7.6,474360.0,782080.0,155.0,25.0,136287.0,87569.0,0.9434109999999999
7.7,1139760.0,105000.0,71.0,81.0,135040.0,106500.0,0.591349
7.8,226840.0,1020000.0,157.0,15.0,136488.0,84057.0,0.7119110000000001
7.9,1229920.0,19600.0,145.0,70.0,136488.0,85505.0,0.515932
8.0,664680.0,585000.0,116.0,33.0,135390.0,85505.0,0.9959510000000001
8.1,590840.0,420000.0,177.0,56.0,136838.0,86953.0,0.97223
8.2,964920.0,285000.0,170.0,68.0,138286.0,88401.0,0.771662
8.3,779200.0,465000.0,180.0,45.0,138286.0,88401.0,0.940051
8.4,865000.0,390000.0,180.0,53.0,138808.0,88401.0,0.874698
8.5,817480.0,435000.0,111.0,46.0,138808.0,84596.0,0.914699
8.6,804080.0,435000.0,181.0,73.0,140256.0,86044.0,0.9185060000000002
8.7,1035040.0,215400.0,200.0,64.0,140256.0,86044.0,0.699469
8.8,887320.0,360480.0,195.0,53.0,141704.0,87492.0,0.8487050000000002
8.9,1051160.0,195000.0,109.0,65.0,140930.0,87492.0,0.679338
9.0,582720.0,420000.0,174.0,86.0,142378.0,84182.0,0.974341
9.1,1103880.0,150000.0,205.0,76.0,143826.0,84182.0,0.633421
9.2,689600.0,555000.0,199.0,91.0,143826.0,85630.0,0.988439
9.3,1132040.0,124160.0,116.0,98.0,143179.0,85630.0,0.608374
9.4,492960.0,740520.0,186.0,70.0,144627.0,82593.0,0.9612789999999999
9.5,1169840.0,78240.0,207.0,66.0,144627.0,82593.0,0.566583
