Time,Dctcp_1_Bps,Dctcp_2_Bps,Dctcp_1_PktLoss,Dctcp_2_PktLoss,Dctcp_1_Cwnd,Dctcp_2_Cwnd,JainsFairnessIndex
0.4,631080.0,481080.0,22.0,32.0,53576.0,53576.0,0.982134
0.5,645000.0,600000.0,31.0,36.0,65535.0,65535.0,0.998695
0.6,660000.0,600000.0,28.0,41.0,66983.0,66983.0,0.997738
0.7,630000.0,615000.0,29.0,43.0,68431.0,68431.0,0.999855
0.8,540000.0,705000.0,40.0,33.0,69879.0,69879.0,0.982739
0.9,600000.0,645000.0,41.0,35.0,71327.0,71327.0,0.998695
1.0,690000.0,555000.0,38.0,40.0,72775.0,71327.0,0.988379
1.1,660000.0,600000.0,43.0,37.0,74223.0,72775.0,0.997738
1.2,645000.0,600000.0,40.0,40.0,74223.0,74223.0,0.998695
1.3,600000.0,645000.0,37.0,44.0,75671.0,75671.0,0.998695
1.4,585000.0,660000.0,41.0,43.0,77119.0,77119.0,0.996384
1.5,615000.0,645000.0,45.0,40.0,78567.0,77119.0,0.9994330000000001
1.6,675000.0,570000.0,47.0,41.0,80015.0,78567.0,0.992937
1.7,705000.0,540000.0,40.0,48.0,80015.0,80015.0,0.982739
1.8,585000.0,660000.0,34.0,55.0,81463.0,81463.0,0.996384
1.9,480000.0,765000.0,49.0,45.0,82911.0,82911.0,0.9502070000000001
2.0,735000.0,525000.0,49.0,44.0,84359.0,82911.0,0.972973
2.1,735000.0,510000.0,40.0,53.0,84359.0,84359.0,0.968372
2.2,510000.0,735000.0,41.0,55.0,85807.0,85807.0,0.968372
2.3,600000.0,645000.0,52.0,44.0,87255.0,85807.0,0.998695
2.4,660000.0,600000.0,54.0,43.0,87255.0,87255.0,0.997738
2.5,600000.0,645000.0,47.0,53.0,88703.0,88703.0,0.998695
2.6,555000.0,690000.0,53.0,47.0,90151.0,88703.0,0.988379
2.7,780000.0,465000.0,56.0,47.0,91599.0,90151.0,0.939836
2.8,570000.0,675000.0,50.0,55.0,91599.0,91599.0,0.992937
2.9,510000.0,750000.0,55.0,49.0,93047.0,91599.0,0.964989
3.0,810000.0,435000.0,58.0,49.0,94495.0,93047.0,0.9168220000000001
3.1,540000.0,705000.0,52.0,57.0,94495.0,94495.0,0.982739
