Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
0.4,616080.0,151080.0,151080.0,560.0,23.0,18.0,0.0,11.0,53576.0,27512.0,14480.0,14480.0,0.496345
0.5,825000.0,270000.0,0.0,150520.0,24.0,36.0,18.0,0.0,65535.0,53576.0,27512.0,14480.0,0.49966399999999994
0.6,525000.0,465000.0,270000.0,0.0,32.0,29.0,36.0,18.0,66983.0,65535.0,53576.0,27512.0,0.702789
0.7,480000.0,345000.0,150000.0,270000.0,45.0,26.0,26.0,0.0,68431.0,65535.0,53576.0,27512.0,0.871143
0.8,525000.0,330000.0,390000.0,0.0,31.0,33.0,40.0,36.0,69879.0,66983.0,65535.0,53576.0,0.722117
0.9,300000.0,375000.0,90000.0,480000.0,45.0,42.0,38.0,4.0,69879.0,66983.0,65535.0,53576.0,0.826019
1.0,525000.0,135000.0,540000.0,60000.0,35.0,44.0,29.0,44.0,71327.0,68431.0,66983.0,65535.0,0.673797
1.1,345000.0,495000.0,60000.0,345000.0,52.0,52.0,43.0,21.0,75850.0,68698.0,65424.0,65535.0,0.7962320000000002
1.2,450000.0,60000.0,420000.0,315000.0,27.0,52.0,33.0,35.0,49232.0,66471.0,70558.0,66983.0,0.804414
1.3,180000.0,495000.0,285000.0,285000.0,46.0,44.0,33.0,26.0,45329.0,42000.0,55420.0,66983.0,0.8809460000000001
1.4,390000.0,165000.0,330000.0,360000.0,35.0,37.0,20.0,31.0,38365.0,42000.0,39386.0,68431.0,0.927437
1.5,360000.0,315000.0,210000.0,375000.0,35.0,40.0,27.0,24.0,35541.0,35454.0,43181.0,68431.0,0.959739
1.6,315000.0,330000.0,270000.0,330000.0,33.0,28.0,20.0,31.0,36989.0,28239.0,35793.0,69879.0,0.9937970000000002
