Time,NewReno_1_Bps,Cubic_2_Bps,Bbr_3_Bps,Dctcp_4_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,Bbr_3_PktLoss,Dctcp_4_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,Bbr_3_Cwnd,Dctcp_4_Cwnd,JainsFairnessIndex
0.4,421080.0,421080.0,376080.0,301080.0,36.0,28.0,15.0,12.0,53576.0,47784.0,36200.0,30408.0,0.983605
0.5,540000.0,360000.0,225000.0,120000.0,36.0,40.0,32.0,36.0,65535.0,65535.0,59368.0,53576.0,0.7969690000000001
0.6,165000.0,180000.0,360000.0,540000.0,33.0,44.0,44.0,34.0,65535.0,65535.0,65535.0,65535.0,0.80592
0.7,480000.0,420000.0,285000.0,60000.0,48.0,41.0,38.0,40.0,69080.0,59768.0,56285.0,65535.0,0.788215
0.8,345000.0,180000.0,255000.0,480000.0,29.0,42.0,46.0,46.0,65769.0,55868.0,55868.0,55868.0,0.8882179999999998
0.9,285000.0,420000.0,330000.0,210000.0,35.0,35.0,34.0,35.0,44445.0,38535.0,46462.0,53215.0,0.943699
1.0,435000.0,180000.0,285000.0,345000.0,16.0,38.0,31.0,40.0,31698.0,39847.0,38535.0,45192.0,0.918533
1.1,120000.0,360000.0,300000.0,465000.0,15.0,29.0,37.0,26.0,25428.0,36939.0,36435.0,29772.0,0.8606950000000001
1.2,315000.0,270000.0,390000.0,285000.0,14.0,28.0,27.0,24.0,29772.0,25988.0,25988.0,31220.0,0.9789119999999999
1.3,375000.0,270000.0,285000.0,315000.0,12.0,27.0,25.0,30.0,31220.0,27436.0,27436.0,32668.0,0.983581
1.4,375000.0,270000.0,285000.0,315000.0,14.0,30.0,25.0,32.0,32668.0,28884.0,28884.0,34116.0,0.983581
1.5,345000.0,270000.0,285000.0,345000.0,14.0,31.0,25.0,32.0,34116.0,30332.0,30332.0,35564.0,0.988095
1.6,300000.0,285000.0,315000.0,345000.0,19.0,33.0,25.0,34.0,35564.0,31780.0,31780.0,37012.0,0.994945
1.7,360000.0,285000.0,240000.0,375000.0,14.0,33.0,30.0,34.0,37012.0,33228.0,33228.0,38460.0,0.970297
1.8,270000.0,315000.0,285000.0,375000.0,17.0,35.0,34.0,29.0,38460.0,34676.0,34676.0,38460.0,0.983581
1.9,180000.0,315000.0,345000.0,405000.0,32.0,37.0,32.0,19.0,39908.0,36124.0,36124.0,39908.0,0.934482
2.0,390000.0,345000.0,345000.0,165000.0,33.0,35.0,28.0,27.0,41356.0,37572.0,37572.0,41356.0,0.9284370000000001
2.1,405000.0,330000.0,255000.0,270000.0,35.0,31.0,25.0,36.0,42804.0,37572.0,37572.0,42804.0,0.966046
2.2,435000.0,195000.0,210000.0,405000.0,28.0,31.0,30.0,38.0,42804.0,39020.0,39020.0,44252.0,0.890052
2.3,270000.0,255000.0,285000.0,435000.0,17.0,39.0,38.0,38.0,44252.0,40468.0,40468.0,45700.0,0.9488980000000001
2.4,165000.0,375000.0,405000.0,300000.0,37.0,41.0,32.0,26.0,45700.0,41916.0,41916.0,45700.0,0.918533
2.5,465000.0,330000.0,255000.0,195000.0,37.0,35.0,27.0,38.0,47148.0,41916.0,41916.0,47148.0,0.905018
2.6,450000.0,135000.0,240000.0,435000.0,25.0,41.0,34.0,42.0,47148.0,43364.0,43364.0,48596.0,0.848893
2.7,30000.0,375000.0,345000.0,495000.0,38.0,43.0,40.0,21.0,48596.0,44812.0,44812.0,48596.0,0.766466
2.8,480000.0,420000.0,315000.0,30000.0,39.0,37.0,25.0,42.0,50044.0,44812.0,44812.0,50044.0,0.764425
2.9,495000.0,75000.0,210000.0,465000.0,26.0,43.0,36.0,44.0,50044.0,46260.0,46260.0,51492.0,0.758366
3.0,0.0,405000.0,375000.0,480000.0,41.0,45.0,42.0,22.0,51492.0,47708.0,47708.0,51492.0,0.7418
3.1,525000.0,330000.0,315000.0,75000.0,41.0,41.0,27.0,42.0,52940.0,47708.0,47708.0,52940.0,0.791839
3.2,360000.0,165000.0,225000.0,495000.0,25.0,47.0,39.0,46.0,52940.0,49156.0,49156.0,54388.0,0.856415
3.3,165000.0,465000.0,420000.0,195000.0,43.0,44.0,35.0,35.0,54388.0,49156.0,49156.0,54388.0,0.846314
3.4,555000.0,240000.0,90000.0,360000.0,34.0,35.0,44.0,45.0,54388.0,50604.0,50604.0,54388.0,0.769893
3.5,60000.0,255000.0,405000.0,540000.0,38.0,49.0,46.0,30.0,54388.0,52052.0,52052.0,55836.0,0.757082
3.6,480000.0,360000.0,360000.0,45000.0,43.0,47.0,28.0,45.0,55836.0,52052.0,52052.0,55836.0,0.788215
3.7,375000.0,195000.0,165000.0,510000.0,25.0,46.0,46.0,48.0,57284.0,52052.0,53500.0,57284.0,0.831603
