Time,NewReno_1_Bps,NewReno_2_Bps,NewReno_1_PktLoss,NewReno_2_PktLoss,NewReno_1_Cwnd,NewReno_2_Cwnd,JainsFairnessIndex
0.4,631080.0,560.0,3.0,11.0,31856.0,14480.0,0.500887
0.5,765000.0,150520.0,30.0,14.0,66732.0,21720.0,0.689425
0.6,1035000.0,210000.0,29.0,0.0,67782.0,21720.0,0.6948760000000002
0.7,1245000.0,0.0,27.0,21.0,68982.0,31856.0,0.5
0.8,945000.0,315000.0,27.0,18.0,69912.0,40544.0,0.8000000000000002
0.9,975000.0,270000.0,35.0,15.0,70956.0,47784.0,0.757199
1.0,975000.0,270000.0,30.0,40.0,71826.0,66701.0,0.757199
1.1,750000.0,495000.0,37.0,21.0,72627.0,66918.0,0.9597380000000001
1.2,915000.0,345000.0,36.0,32.0,73467.0,67445.0,0.830118
1.3,795000.0,450000.0,38.0,24.0,74223.0,67782.0,0.928687
1.4,915000.0,330000.0,35.0,27.0,75030.0,68142.0,0.819144
1.5,840000.0,405000.0,36.0,26.0,75786.0,68532.0,0.891203
1.6,900000.0,345000.0,34.0,29.0,76569.0,68922.0,0.834221
1.7,885000.0,375000.0,34.0,30.0,77352.0,69312.0,0.85923
1.8,840000.0,405000.0,38.0,32.0,78144.0,69732.0,0.891203
1.9,855000.0,390000.0,40.0,32.0,78898.0,70115.0,0.87758
2.0,840000.0,405000.0,43.0,31.0,79652.0,70492.0,0.891203
2.1,855000.0,405000.0,44.0,30.0,80406.0,70869.0,0.8868779999999999
2.2,855000.0,390000.0,42.0,31.0,81091.0,71246.0,0.87758
2.3,840000.0,405000.0,44.0,30.0,81816.0,71623.0,0.891203
2.4,870000.0,375000.0,42.0,29.0,82516.0,71971.0,0.8635
2.5,870000.0,375000.0,43.0,28.0,83241.0,72319.0,0.8635
2.6,855000.0,405000.0,42.0,26.0,83939.0,72655.0,0.8868779999999999
2.7,855000.0,390000.0,42.0,26.0,84611.0,73019.0,0.87758
2.8,885000.0,360000.0,41.0,30.0,85307.0,73411.0,0.849026
2.9,855000.0,390000.0,43.0,30.0,86003.0,73775.0,0.87758
3.0,900000.0,360000.0,41.0,33.0,86699.0,74139.0,0.844828
3.1,840000.0,405000.0,42.0,32.0,87371.0,74503.0,0.891203
3.2,855000.0,390000.0,43.0,32.0,88038.0,74867.0,0.87758
3.3,855000.0,390000.0,43.0,32.0,88682.0,75219.0,0.87758
3.4,885000.0,360000.0,42.0,35.0,89349.0,75570.0,0.849026
3.5,855000.0,405000.0,42.0,34.0,89993.0,75921.0,0.8868779999999999
3.6,855000.0,390000.0,45.0,36.0,90683.0,76299.0,0.87758
3.7,855000.0,390000.0,43.0,34.0,91298.0,76623.0,0.87758
3.8,855000.0,390000.0,46.0,37.0,91958.0,77001.0,0.87758
3.9,855000.0,405000.0,43.0,34.0,92552.0,77325.0,0.8868779999999999
4.0,840000.0,405000.0,46.0,35.0,93190.0,77702.0,0.891203
4.1,870000.0,375000.0,46.0,34.0,93828.0,78014.0,0.8635
4.2,825000.0,420000.0,50.0,33.0,94466.0,78352.0,0.904306
4.3,870000.0,375000.0,48.0,34.0,95082.0,78690.0,0.8635
4.4,840000.0,420000.0,51.0,34.0,95702.0,79054.0,0.9
4.5,855000.0,390000.0,50.0,34.0,96290.0,79392.0,0.87758
4.6,840000.0,405000.0,52.0,34.0,96899.0,79730.0,0.891203
4.7,840000.0,405000.0,55.0,33.0,97508.0,80068.0,0.891203
4.8,855000.0,405000.0,54.0,32.0,98096.0,80406.0,0.8868779999999999
4.9,855000.0,390000.0,54.0,34.0,98684.0,80766.0,0.87758
5.0,885000.0,360000.0,55.0,37.0,99314.0,81091.0,0.849026
5.1,855000.0,390000.0,54.0,37.0,99900.0,81416.0,0.87758
5.2,840000.0,405000.0,57.0,36.0,100480.0,81741.0,0.891203
5.3,870000.0,390000.0,55.0,38.0,101040.0,82091.0,0.8732669999999999
5.4,855000.0,390000.0,55.0,38.0,101600.0,82416.0,0.87758
5.5,855000.0,390000.0,56.0,39.0,102180.0,82741.0,0.87758
5.6,840000.0,405000.0,56.0,38.0,102740.0,83066.0,0.891203
5.7,840000.0,420000.0,57.0,36.0,103300.0,83391.0,0.9
5.8,855000.0,390000.0,56.0,36.0,103860.0,83716.0,0.87758
5.9,855000.0,390000.0,56.0,39.0,104420.0,84059.0,0.87758
6.0,855000.0,390000.0,57.0,37.0,104992.0,84347.0,0.87758
6.1,840000.0,405000.0,57.0,38.0,105524.0,84683.0,0.891203
6.2,855000.0,405000.0,59.0,39.0,106075.0,85019.0,0.8868779999999999
6.3,840000.0,405000.0,59.0,38.0,106607.0,85331.0,0.891203
6.4,885000.0,360000.0,59.0,43.0,107158.0,85667.0,0.849026
6.5,810000.0,435000.0,61.0,38.0,107690.0,85955.0,0.9168220000000001
6.6,870000.0,390000.0,59.0,38.0,108222.0,86267.0,0.8732669999999999
6.7,855000.0,390000.0,59.0,40.0,108754.0,86603.0,0.87758
6.8,855000.0,390000.0,60.0,41.0,109305.0,86915.0,0.87758
6.9,840000.0,405000.0,60.0,40.0,109837.0,87227.0,0.891203
7.0,840000.0,405000.0,63.0,39.0,110387.0,87532.0,0.891203
7.1,855000.0,405000.0,62.0,40.0,110891.0,87854.0,0.8868779999999999
7.2,855000.0,390000.0,61.0,40.0,111395.0,88153.0,0.87758
7.3,825000.0,420000.0,63.0,41.0,111899.0,88475.0,0.904306
7.4,855000.0,390000.0,64.0,41.0,112421.0,88774.0,0.87758
7.5,855000.0,405000.0,61.0,40.0,112907.0,89073.0,0.8868779999999999
7.6,855000.0,390000.0,63.0,42.0,113429.0,89395.0,0.87758
7.7,855000.0,390000.0,62.0,42.0,113933.0,89694.0,0.87758
7.8,825000.0,420000.0,66.0,43.0,114455.0,90016.0,0.904306
7.9,840000.0,405000.0,66.0,42.0,114959.0,90315.0,0.891203
8.0,870000.0,390000.0,64.0,42.0,115463.0,90614.0,0.8732669999999999
8.1,855000.0,390000.0,64.0,44.0,115967.0,90936.0,0.87758
8.2,825000.0,420000.0,65.0,45.0,116471.0,91254.0,0.904306
8.3,855000.0,390000.0,64.0,45.0,116948.0,91540.0,0.87758
8.4,825000.0,435000.0,68.0,42.0,117441.0,91826.0,0.9125710000000001
8.5,855000.0,390000.0,67.0,44.0,117917.0,92134.0,0.87758
8.6,855000.0,390000.0,66.0,44.0,118393.0,92420.0,0.87758
8.7,840000.0,405000.0,67.0,46.0,118869.0,92728.0,0.891203
8.8,840000.0,405000.0,67.0,45.0,119345.0,93014.0,0.891203
8.9,855000.0,405000.0,66.0,44.0,119821.0,93300.0,0.8868779999999999
9.0,840000.0,405000.0,69.0,45.0,120314.0,93608.0,0.891203
