Time,NewReno_1_Bps,NewReno_2_Bps,NewReno_1_PktLoss,NewReno_2_PktLoss,NewReno_1_Cwnd,NewReno_2_Cwnd,JainsFairnessIndex
0.4,541080.0,451080.0,9.0,15.0,31856.0,31856.0,0.991839
0.5,630000.0,615000.0,33.0,28.0,63712.0,57920.0,0.999855
0.6,675000.0,570000.0,34.0,36.0,67259.0,67073.0,0.992937
0.7,615000.0,630000.0,33.0,38.0,67872.0,67752.0,0.999855
0.8,645000.0,600000.0,37.0,35.0,68562.0,68292.0,0.998695
0.9,555000.0,705000.0,40.0,32.0,69162.0,68952.0,0.986026
1.0,690000.0,555000.0,39.0,34.0,69822.0,69522.0,0.988379
1.1,615000.0,630000.0,34.0,40.0,70347.0,70231.0,0.999855
1.2,645000.0,600000.0,31.0,44.0,70927.0,70869.0,0.998695
1.3,525000.0,720000.0,45.0,33.0,71623.0,71391.0,0.9760560000000001
1.4,675000.0,585000.0,40.0,36.0,72203.0,72000.0,0.994924
1.5,675000.0,570000.0,34.0,43.0,72739.0,72627.0,0.992937
1.6,600000.0,645000.0,40.0,38.0,73383.0,73159.0,0.998695
1.7,630000.0,615000.0,45.0,35.0,74027.0,73691.0,0.999855
1.8,675000.0,585000.0,34.0,47.0,74503.0,74391.0,0.994924
1.9,540000.0,705000.0,40.0,40.0,75084.0,74949.0,0.982739
2.0,600000.0,645000.0,43.0,38.0,75651.0,75489.0,0.998695
2.1,675000.0,570000.0,38.0,44.0,76191.0,76083.0,0.992937
2.2,570000.0,675000.0,47.0,37.0,76812.0,76596.0,0.992937
2.3,705000.0,555000.0,42.0,43.0,77379.0,77163.0,0.986026
2.4,600000.0,645000.0,38.0,46.0,77858.0,77780.0,0.998695
2.5,570000.0,675000.0,45.0,40.0,78430.0,78274.0,0.992937
2.6,675000.0,570000.0,42.0,44.0,78976.0,78820.0,0.992937
2.7,630000.0,630000.0,48.0,38.0,79600.0,79288.0,1.0
2.8,720000.0,525000.0,35.0,54.0,80042.0,79938.0,0.9760560000000001
2.9,435000.0,810000.0,52.0,36.0,80640.0,80406.0,0.9168220000000001
3.0,735000.0,510000.0,40.0,48.0,81091.0,80991.0,0.968372
3.1,555000.0,690000.0,49.0,41.0,81666.0,81466.0,0.988379
3.2,735000.0,525000.0,40.0,50.0,82166.0,82016.0,0.972973
3.3,495000.0,750000.0,52.0,40.0,82716.0,82516.0,0.9597380000000001
3.4,735000.0,510000.0,41.0,51.0,83191.0,83066.0,0.968372
3.5,555000.0,690000.0,50.0,41.0,83766.0,83516.0,0.988379
3.6,750000.0,510000.0,37.0,56.0,84203.0,84107.0,0.964989
3.7,435000.0,810000.0,58.0,36.0,84803.0,84515.0,0.9168220000000001
3.8,750000.0,495000.0,42.0,53.0,85211.0,85115.0,0.9597380000000001
3.9,630000.0,615000.0,51.0,45.0,85811.0,85499.0,0.999855
4.0,570000.0,675000.0,45.0,52.0,86195.0,86123.0,0.992937
4.1,675000.0,585000.0,48.0,47.0,86771.0,86531.0,0.994924
4.2,540000.0,705000.0,55.0,43.0,87275.0,87035.0,0.982739
4.3,765000.0,480000.0,40.0,59.0,87693.0,87601.0,0.9502070000000001
4.4,480000.0,765000.0,56.0,42.0,88245.0,87992.0,0.9502070000000001
4.5,720000.0,540000.0,47.0,53.0,88682.0,88521.0,0.98
4.6,615000.0,630000.0,50.0,51.0,89188.0,88981.0,0.999855
