Time,Flow1_NewReno_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,631080.0,560.0,3.0,11.0,31856.0,14480.0,0.500887
0.5,765000.0,150520.0,30.0,4.0,66732.0,27512.0,0.689425
0.6,1125000.0,120000.0,29.0,10.0,67872.0,27512.0,0.605467
0.7,1095000.0,150000.0,27.0,16.0,68922.0,47784.0,0.634463
0.8,990000.0,270000.0,32.0,27.0,69970.0,62264.0,0.7538459999999999
0.9,855000.0,390000.0,33.0,38.0,70811.0,85432.0,0.87758
1.0,765000.0,480000.0,35.0,57.0,71565.0,117288.0,0.9502070000000001
1.1,660000.0,585000.0,39.0,70.0,72261.0,166520.0,0.996384
1.2,555000.0,694040.0,39.0,76.0,72767.0,227336.0,0.9877600000000001
1.3,645000.0,611760.0,40.0,79.0,73383.0,255376.0,0.999301
1.4,585000.0,654280.0,42.0,78.0,73943.0,264416.0,0.9968850000000001
1.5,630000.0,622000.0,40.0,81.0,74503.0,264416.0,0.999959
1.6,615000.0,638400.0,39.0,81.0,75057.0,264416.0,0.9996519999999999
1.7,615000.0,631880.0,41.0,82.0,75624.0,264416.0,0.9998169999999998
1.8,600000.0,638400.0,41.0,80.0,76164.0,264416.0,0.9990390000000001
1.9,615000.0,643520.0,42.0,79.0,76731.0,264416.0,0.9994869999999999
2.0,615000.0,623400.0,42.0,80.0,77271.0,264416.0,0.9999540000000001
2.1,630000.0,622000.0,42.0,82.0,77832.0,264416.0,0.999959
2.2,630000.0,611760.0,41.0,82.0,78352.0,264416.0,0.999784
2.3,615000.0,643520.0,44.0,82.0,78924.0,264416.0,0.9994869999999999
2.4,630000.0,622000.0,42.0,82.0,79444.0,264416.0,0.999959
2.5,600000.0,643520.0,45.0,82.0,79990.0,264416.0,0.998777
2.6,645000.0,605240.0,44.0,81.0,80536.0,264416.0,0.99899
2.7,630000.0,607000.0,44.0,83.0,81066.0,264416.0,0.999654
2.8,615000.0,633280.0,46.0,81.0,81591.0,264416.0,0.999786
2.9,630000.0,622000.0,46.0,80.0,82116.0,264416.0,0.999959
3.0,645000.0,610360.0,46.0,83.0,82641.0,264416.0,0.9992389999999999
3.1,630000.0,611760.0,46.0,81.0,83166.0,264416.0,0.999784
3.2,660000.0,585480.0,46.0,84.0,83716.0,264416.0,0.996433
3.3,615000.0,631880.0,46.0,83.0,84203.0,264416.0,0.9998169999999998
3.4,645000.0,601880.0,47.0,83.0,84731.0,264416.0,0.998805
3.5,645000.0,610360.0,46.0,83.0,85235.0,264416.0,0.9992389999999999
3.6,630000.0,623400.0,49.0,81.0,85763.0,264416.0,0.999972
3.7,645000.0,593960.0,48.0,83.0,86267.0,264416.0,0.998306
3.8,660000.0,596760.0,46.0,82.0,86771.0,264416.0,0.997474
3.9,630000.0,610360.0,49.0,83.0,87299.0,264416.0,0.999749
4.0,645000.0,607000.0,50.0,82.0,87808.0,264416.0,0.9990799999999999
4.1,645000.0,595360.0,49.0,82.0,88291.0,264416.0,0.998401
4.2,660000.0,595360.0,50.0,82.0,88797.0,264416.0,0.997356
4.3,660000.0,590240.0,50.0,82.0,89303.0,264416.0,0.996896
4.4,645000.0,600480.0,50.0,83.0,89786.0,264416.0,0.9987239999999998
4.5,660000.0,590240.0,50.0,83.0,90292.0,264416.0,0.996896
4.6,645000.0,600480.0,51.0,82.0,90798.0,264416.0,0.9987239999999998
4.7,660000.0,590240.0,52.0,83.0,91298.0,264416.0,0.996896
4.8,675000.0,573840.0,51.0,85.0,91782.0,264416.0,0.993481
4.9,660000.0,590240.0,51.0,83.0,92266.0,264416.0,0.996896
5.0,645000.0,600480.0,51.0,84.0,92728.0,264416.0,0.9987239999999998
5.1,660000.0,590240.0,53.0,84.0,93234.0,264416.0,0.996896
5.2,675000.0,573840.0,52.0,84.0,93718.0,264416.0,0.993481
5.3,660000.0,588840.0,53.0,85.0,94202.0,264416.0,0.9967640000000001
5.4,660000.0,575240.0,53.0,84.0,94686.0,264416.0,0.995314
5.5,675000.0,578960.0,52.0,84.0,95170.0,264416.0,0.994168
5.6,660000.0,595360.0,55.0,84.0,95660.0,264416.0,0.997356
5.7,660000.0,583720.0,55.0,83.0,96122.0,264416.0,0.996252
5.8,675000.0,573840.0,54.0,85.0,96584.0,264416.0,0.993481
5.9,690000.0,553720.0,55.0,86.0,97067.0,264416.0,0.988136
6.0,660000.0,595360.0,55.0,84.0,97529.0,264416.0,0.997356
6.1,675000.0,573840.0,54.0,84.0,97991.0,264416.0,0.993481
6.2,660000.0,573840.0,57.0,84.0,98474.0,264416.0,0.9951469999999999
6.3,675000.0,573840.0,56.0,84.0,98936.0,264416.0,0.993481
6.4,675000.0,573840.0,57.0,84.0,99419.0,264416.0,0.993481
6.5,690000.0,568720.0,55.0,84.0,99880.0,264416.0,0.990802
6.6,675000.0,568720.0,57.0,84.0,100340.0,264416.0,0.992751
6.7,675000.0,578960.0,58.0,84.0,100800.0,264416.0,0.994168
6.8,690000.0,547200.0,58.0,85.0,101260.0,264416.0,0.986853
6.9,675000.0,583720.0,58.0,85.0,101700.0,264416.0,0.9947690000000001
7.0,690000.0,558840.0,58.0,86.0,102160.0,264416.0,0.98909
7.1,675000.0,568720.0,57.0,84.0,102600.0,264416.0,0.992751
7.2,675000.0,567320.0,61.0,83.0,103080.0,264416.0,0.992543
7.3,705000.0,547200.0,58.0,85.0,103520.0,264416.0,0.984368
7.4,690000.0,563960.0,58.0,86.0,103980.0,264416.0,0.989998
7.5,675000.0,563600.0,60.0,84.0,104440.0,264416.0,0.9919759999999999
7.6,690000.0,557440.0,60.0,86.0,104897.0,264416.0,0.9888340000000001
7.7,705000.0,542080.0,59.0,86.0,105334.0,264416.0,0.983219
7.8,675000.0,573840.0,61.0,86.0,105771.0,264416.0,0.993481
7.9,690000.0,567320.0,61.0,84.0,106208.0,264416.0,0.9905690000000001
8.0,705000.0,532200.0,60.0,86.0,106645.0,264416.0,0.9808660000000001
8.1,690000.0,568720.0,62.0,84.0,107101.0,264416.0,0.990802
8.2,705000.0,530800.0,62.0,87.0,107538.0,264416.0,0.980517
8.3,690000.0,568720.0,62.0,86.0,107975.0,264416.0,0.990802
8.4,690000.0,552320.0,62.0,85.0,108412.0,264416.0,0.987867
8.5,720000.0,525680.0,61.0,86.0,108849.0,264416.0,0.976244
8.6,690000.0,568720.0,63.0,86.0,109305.0,264416.0,0.990802
8.7,705000.0,530800.0,64.0,88.0,109761.0,264416.0,0.980517
8.8,690000.0,568720.0,63.0,84.0,110179.0,264416.0,0.990802
8.9,705000.0,545800.0,64.0,85.0,110621.0,264416.0,0.984058
9.0,720000.0,520560.0,62.0,87.0,111035.0,264416.0,0.974805
9.1,690000.0,558840.0,64.0,86.0,111467.0,264416.0,0.98909
9.2,690000.0,552320.0,67.0,86.0,111899.0,264416.0,0.987867
9.3,735000.0,520560.0,64.0,88.0,112313.0,264416.0,0.971657
9.4,690000.0,552320.0,66.0,86.0,112745.0,264416.0,0.987867
9.5,720000.0,530800.0,65.0,87.0,113159.0,264416.0,0.977631
9.6,705000.0,547200.0,66.0,86.0,113591.0,264416.0,0.984368
9.7,720000.0,525680.0,64.0,88.0,114005.0,264416.0,0.976244
9.8,705000.0,547200.0,66.0,88.0,114437.0,264416.0,0.984368
9.9,705000.0,540680.0,65.0,87.0,114851.0,264416.0,0.982897
10.0,705000.0,535920.0,66.0,86.0,115283.0,264416.0,0.981773
10.1,720000.0,530800.0,66.0,56.0,115715.0,148568.0,0.977631
10.2,705000.0,540680.0,68.0,9.0,116147.0,200704.0,0.982897
10.3,1170000.0,77600.0,60.0,16.0,116761.0,65623.0,0.566034
10.4,1260000.0,0.0,59.0,46.0,117458.0,65623.0,0.5
10.5,570000.0,675000.0,69.0,1.0,117866.0,5792.0,0.992937
10.6,1245000.0,0.0,60.0,4.0,118495.0,5792.0,0.5
10.7,1200000.0,45000.0,63.0,1.0,119192.0,5792.0,0.537447
10.8,1245000.0,0.0,62.0,5.0,119889.0,5792.0,0.5
10.9,1200000.0,60000.0,63.0,1.0,120569.0,5792.0,0.549875
11.0,1245000.0,0.0,62.0,85.0,121266.0,270208.0,0.5
11.1,900000.0,345000.0,75.0,69.0,121878.0,270208.0,0.834221
11.2,450000.0,795000.0,77.0,66.0,122150.0,325232.0,0.928687
11.3,915000.0,336760.0,46.0,89.0,54184.0,120920.0,0.824137
11.4,441600.0,805800.0,62.0,18.0,50079.0,165552.0,0.9214509999999999
11.5,979960.0,137280.0,29.0,42.0,51225.0,66983.0,0.637391
11.6,615000.0,495000.0,47.0,21.0,52385.0,66983.0,0.988448
11.7,870000.0,270000.0,37.0,94.0,53322.0,133591.0,0.78308
11.8,465000.0,780000.0,43.0,48.0,54018.0,159655.0,0.939836
11.9,645000.0,607560.0,38.0,41.0,54740.0,191991.0,0.999107
12.0,735000.0,510000.0,42.0,52.0,55714.0,209360.0,0.968372
12.1,645000.0,600000.0,44.0,60.0,56528.0,209360.0,0.998695
12.2,600000.0,645000.0,44.0,70.33333333333333,57252.0,211290.66666666666,0.998695
12.3,550000.0,705786.6666666666,44.333333333333336,75.66666666666667,57912.0,211290.66666666666,0.9844496666666666
12.4,555000.0,690573.3333333334,46.0,77.0,58586.666666666664,211290.66666666666,0.988268
12.5,555000.0,686440.0,47.0,79.66666666666667,59251.666666666664,212256.0,0.9889060000000001
12.6,560000.0,695360.0,46.666666666666664,77.66666666666667,59881.666666666664,212256.0,0.9883886666666667
12.7,580000.0,672773.3333333334,46.0,76.66666666666667,60529.333333333336,212256.0,0.9944463333333333
12.8,540000.0,697320.0,49.0,78.66666666666667,61175.333333333336,211861.33333333334,0.984085
12.9,585000.0,670946.6666666666,48.0,79.0,61817.0,211890.66666666666,0.9953289999999999
13.0,570000.0,669840.0,49.0,81.33333333333333,62444.0,211949.33333333334,0.9935510000000001
13.1,580000.0,672946.6666666666,48.333333333333336,80.33333333333333,63071.0,211949.33333333334,0.9944433333333333
13.2,570000.0,681066.6666666666,48.666666666666664,80.33333333333333,63693.666666666664,211949.33333333334,0.9921706666666666
13.3,580000.0,669080.0,48.666666666666664,79.0,64301.666666666664,212008.0,0.9947699999999999
13.4,575000.0,671786.6666666666,50.333333333333336,79.33333333333333,64941.666666666664,212008.0,0.9938383333333333
13.5,585000.0,665613.3333333334,50.333333333333336,79.0,65549.33333333333,212008.0,0.9958503333333333
13.6,580000.0,663200.0,51.666666666666664,79.66666666666667,66169.33333333333,212037.33333333334,0.9952246666666666
13.7,595000.0,659373.3333333334,51.0,78.66666666666667,66758.33333333333,212037.33333333334,0.9973136666666668
13.8,585000.0,660733.3333333334,52.0,78.66666666666667,67378.33333333333,212037.33333333334,0.9963150000000001
13.9,600000.0,643386.6666666666,52.0,79.66666666666667,67987.0,212037.33333333334,0.9987826666666667
14.0,595000.0,659680.0,52.0,81.0,68567.0,212037.33333333334,0.9972503333333332
14.1,590000.0,660080.0,52.0,79.33333333333333,69157.0,212037.33333333334,0.9967673333333332
14.2,585000.0,653266.6666666666,53.333333333333336,80.0,69747.0,212037.33333333334,0.996967
14.3,605000.0,646613.3333333334,53.666666666666664,80.0,70341.66666666667,212037.33333333334,0.998776
14.4,595000.0,660093.3333333334,54.0,79.66666666666667,70921.66666666667,212037.33333333334,0.9972280000000001
14.5,605000.0,636906.6666666666,54.666666666666664,79.0,71501.66666666667,212037.33333333334,0.9992006666666667
14.6,610000.0,639693.3333333334,54.0,79.33333333333333,72081.66666666667,212037.33333333334,0.999386
14.7,605000.0,644320.0,54.666666666666664,80.33333333333333,72649.33333333333,212037.33333333334,0.9989876666666667
14.8,610000.0,638573.3333333334,56.0,81.33333333333333,73237.33333333333,211778.66666666666,0.9993866666666666
14.9,605000.0,635080.0,55.666666666666664,80.33333333333333,73797.33333333333,211778.66666666666,0.9993506666666666
15.0,625000.0,629226.6666666666,57.0,82.0,74385.33333333333,211778.66666666666,0.99995
15.1,615000.0,631266.6666666666,56.0,80.33333333333333,74944.0,211778.66666666666,0.9998013333333334
15.2,600000.0,642800.0,57.0,80.66666666666667,75484.0,211778.66666666666,0.9987996666666668
15.3,615000.0,639213.3333333334,58.0,79.33333333333333,76051.0,211778.66666666666,0.999624
15.4,630000.0,618520.0,56.666666666666664,81.0,76600.0,211920.0,0.999915
15.5,620000.0,632626.6666666666,58.333333333333336,79.66666666666667,77167.0,211920.0,0.9997936666666667
15.6,630000.0,613640.0,57.666666666666664,81.0,77722.66666666667,211920.0,0.9998269999999999
15.7,615000.0,632520.0,58.333333333333336,81.0,78251.33333333333,211920.0,0.9997963333333333
15.8,625000.0,622506.6666666666,58.0,80.33333333333333,78788.66666666667,211920.0,0.9999220000000001
15.9,630000.0,614693.3333333334,60.0,80.66666666666667,79360.66666666667,211920.0,0.9998486666666667
16.0,630000.0,622866.6666666666,59.666666666666664,79.66666666666667,79889.33333333333,211920.0,0.9999563333333333
16.1,635000.0,610346.6666666666,60.666666666666664,81.33333333333333,80452.66666666667,211920.0,0.9995189999999999
16.2,630000.0,620933.3333333334,59.333333333333336,80.66666666666667,80968.66666666667,211920.0,0.9999306666666667
16.3,630000.0,615693.3333333334,60.333333333333336,81.0,81493.66666666667,211920.0,0.9998613333333334
16.4,635000.0,615346.6666666666,61.333333333333336,80.66666666666667,82035.33333333333,211920.0,0.9996493333333333
16.5,640000.0,603520.0,61.666666666666664,82.0,82560.33333333333,211920.0,0.9990079999999999
16.6,645000.0,607640.0,61.333333333333336,82.66666666666667,83093.66666666667,211920.0,0.9991063333333333
16.7,630000.0,619453.3333333334,61.333333333333336,80.66666666666667,83618.66666666667,211920.0,0.9999283333333334
16.8,645000.0,598173.3333333334,63.333333333333336,82.33333333333333,84157.0,211920.0,0.9985833333333334
16.9,645000.0,606226.6666666666,62.333333333333336,81.66666666666667,84661.0,211920.0,0.9990343333333334
17.0,635000.0,610346.6666666666,63.333333333333336,82.33333333333333,85181.0,211032.0,0.9995189999999999
17.1,645000.0,606280.0,64.0,81.66666666666667,85693.0,211032.0,0.9990233333333333
17.2,660000.0,591880.0,64.0,83.0,86221.0,211032.0,0.9970076666666667
17.3,630000.0,614693.3333333334,64.0,80.66666666666667,86725.0,211032.0,0.9998486666666667
17.4,660000.0,586880.0,65.0,83.0,87253.0,211032.0,0.996573
17.5,650000.0,599760.0,65.66666666666667,81.66666666666667,87764.33333333333,211032.0,0.9982916666666667
17.6,655000.0,586813.3333333334,64.0,81.66666666666667,88247.33333333333,211032.0,0.9969073333333333
17.7,655000.0,604293.3333333334,65.33333333333333,81.66666666666667,88753.33333333333,211032.0,0.9983206666666667
17.8,650000.0,595400.0,66.0,82.66666666666667,89259.33333333333,211032.0,0.9979703333333333
17.9,660000.0,582346.6666666666,66.33333333333333,82.66666666666667,89765.33333333333,211061.33333333334,0.9961083333333334
18.0,660000.0,593413.3333333334,67.0,84.0,90271.33333333333,211578.66666666666,0.9971823333333334
18.1,660000.0,584466.6666666666,67.0,83.33333333333333,90777.33333333333,211661.33333333334,0.9963276666666667
18.2,650000.0,602933.3333333334,68.66666666666667,83.0,91278.66666666667,211661.33333333334,0.998455
18.3,660000.0,589813.3333333334,68.66666666666667,82.66666666666667,91762.66666666667,211661.33333333334,0.9968376666666666
18.4,680000.0,565173.3333333334,67.33333333333333,83.33333333333333,92246.66666666667,211661.33333333334,0.9911623333333334
18.5,655000.0,594640.0,68.66666666666667,83.33333333333333,92730.66666666667,211661.33333333334,0.9974563333333334
18.6,660000.0,589520.0,68.66666666666667,82.66666666666667,93214.66666666667,211661.33333333334,0.9968063333333333
18.7,670000.0,577653.3333333334,68.66666666666667,82.66666666666667,93706.0,211661.33333333334,0.9943529999999999
18.8,665000.0,580586.6666666666,70.66666666666667,83.66666666666667,94204.66666666667,211661.33333333334,0.9953576666666667
18.9,660000.0,587933.3333333334,70.66666666666667,83.0,94688.66666666667,211661.33333333334,0.9966313333333333
19.0,680000.0,569413.3333333334,70.0,83.66666666666667,95180.0,211661.33333333334,0.9921696666666667
19.1,670000.0,580760.0,69.66666666666667,83.33333333333333,95641.0,211661.33333333334,0.9948403333333333
19.2,675000.0,573000.0,69.33333333333333,84.66666666666667,96110.0,211661.33333333334,0.993362
19.3,675000.0,571880.0,70.33333333333333,84.0,96593.0,210920.0,0.993207
19.4,665000.0,578173.3333333334,71.0,84.0,97055.0,210920.0,0.9950606666666667
19.5,680000.0,573880.0,71.66666666666667,83.0,97538.0,211008.0,0.9926023333333333
19.6,685000.0,555240.0,70.0,84.33333333333333,98000.0,211008.0,0.9888533333333335
19.7,670000.0,583466.6666666666,71.66666666666667,83.0,98483.0,211008.0,0.9952063333333333
19.8,680000.0,569706.6666666666,71.66666666666667,83.33333333333333,98952.0,211037.33333333334,0.9920783333333333
19.9,675000.0,566653.3333333334,72.0,83.33333333333333,99428.0,211261.33333333334,0.9923953333333334
20.0,690000.0,563653.3333333334,72.33333333333333,84.66666666666667,99908.0,211261.33333333334,0.9899406666666667
20.1,680000.0,569240.0,73.66666666666667,85.0,100368.0,211261.33333333334,0.99199
20.2,685000.0,562053.3333333334,72.0,84.0,100808.0,211261.33333333334,0.9902433333333334
20.3,690000.0,555240.0,72.0,85.0,101268.0,211261.33333333334,0.9883799999999999
20.4,680000.0,567066.6666666666,73.66666666666667,84.33333333333333,101728.0,211261.33333333334,0.991788
20.5,685000.0,561413.3333333334,74.0,85.33333333333333,102188.0,211261.33333333334,0.9902503333333333
20.6,695000.0,560360.0,73.66666666666667,85.0,102648.0,211261.33333333334,0.9885133333333332
20.7,700000.0,549946.6666666666,74.0,84.0,103108.0,211402.66666666666,0.9856806666666666
20.8,690000.0,555360.0,74.0,84.66666666666667,103568.0,211402.66666666666,0.988447
20.9,680000.0,563240.0,74.66666666666667,85.33333333333333,104028.0,211402.66666666666,0.991168
21.0,700000.0,548533.3333333334,75.0,84.66666666666667,104488.0,211402.66666666666,0.9854203333333333
21.1,695000.0,551600.0,75.33333333333333,85.33333333333333,104949.33333333333,211402.66666666666,0.986856
21.2,675000.0,574826.6666666666,77.66666666666667,83.33333333333333,105399.0,211402.66666666666,0.9936016666666667
21.3,705000.0,543720.0,77.66666666666667,84.33333333333333,105836.0,211402.66666666666,0.9835920000000001
21.4,705000.0,551720.0,76.66666666666667,84.33333333333333,106273.0,211402.66666666666,0.9853183333333333
21.5,700000.0,538066.6666666666,76.0,84.33333333333333,106710.0,211402.66666666666,0.982958
21.6,690000.0,565480.0,77.0,84.0,107153.33333333333,211402.66666666666,0.990218
21.7,695000.0,552066.6666666666,78.66666666666667,48.333333333333336,107603.0,5792.0,0.986924
21.8,735000.0,505960.0,75.66666666666667,8.0,108040.0,5792.0,0.9670273333333332
21.9,1255000.0,0.0,69.0,11.0,108762.0,5792.0,0.5
22.0,1205000.0,45000.0,69.33333333333333,8.0,109528.33333333333,5792.0,0.5372933333333333
22.1,1245000.0,0.0,70.66666666666667,12.0,110320.0,5792.0,0.5
22.2,1185000.0,60000.0,71.66666666666667,8.0,111042.0,5792.0,0.550503
22.3,1255000.0,0.0,71.0,10.0,111780.0,18854.666666666668,0.5
22.4,1215000.0,30000.0,72.66666666666667,10.0,112524.0,18854.666666666668,0.524676
22.5,1220000.0,30000.0,72.33333333333333,10.666666666666666,113244.0,18854.666666666668,0.524576
22.6,1215000.0,30000.0,72.66666666666667,11.0,113976.0,18854.666666666668,0.524676
22.7,1215000.0,30000.0,74.66666666666667,11.0,114714.0,20785.333333333332,0.524676
22.8,1225000.0,30000.0,73.0,11.666666666666666,115434.0,20785.333333333332,0.5244759999999999
22.9,1205000.0,45000.0,75.66666666666667,10.666666666666666,116172.0,20785.333333333332,0.5372933333333333
23.0,1205000.0,40000.0,76.0,10.666666666666666,116875.66666666667,21454.666666666668,0.5331899999999999
23.1,1205000.0,40000.0,76.66666666666667,11.0,117555.66666666667,22420.0,0.5331899999999999
23.2,1225000.0,30000.0,75.66666666666667,11.666666666666666,118241.33333333333,22420.0,0.5244759999999999
23.3,1200000.0,45000.0,76.66666666666667,11.666666666666666,118921.33333333333,22420.0,0.537447
23.4,1210000.0,40000.0,77.33333333333333,12.0,119612.66666666667,24398.0,0.53309
23.5,1200000.0,45000.0,79.0,12.666666666666666,120298.33333333333,24843.0,0.537447
23.6,1190000.0,55000.0,79.66666666666667,12.0,120978.33333333333,24843.0,0.5461509999999999
23.7,1210000.0,45000.0,78.0,12.666666666666666,121647.0,27414.333333333332,0.5371396666666667
23.8,1195000.0,55000.0,79.0,13.333333333333334,122327.0,29965.333333333332,0.5459973333333333
23.9,1180000.0,65000.0,79.0,14.333333333333334,122995.66666666667,30092.0,0.5550423333333333
24.0,1175000.0,70000.0,81.66666666666667,14.333333333333334,123656.33333333333,32013.0,0.5593943333333333
24.1,1185000.0,70000.0,80.66666666666667,14.666666666666666,124280.33333333333,34782.0,0.5588603333333333
24.2,1165000.0,80000.0,82.66666666666667,16.333333333333332,124909.66666666667,38735.333333333336,0.568469
24.3,1165000.0,85000.0,81.66666666666667,17.0,125523.0,39297.666666666664,0.5726476666666667
24.4,1150000.0,95000.0,82.66666666666667,17.333333333333332,126136.33333333333,41250.666666666664,0.5821666666666667
24.5,1135000.0,110000.0,83.66666666666667,18.0,126749.66666666667,43965.333333333336,0.5961286666666666
24.6,1145000.0,110000.0,84.33333333333333,18.0,127363.0,45364.666666666664,0.595224
24.7,1140000.0,110000.0,84.33333333333333,19.666666666666668,127965.66666666667,46796.333333333336,0.5958016666666667
24.8,1125000.0,120000.0,84.0,20.666666666666668,128563.0,49692.333333333336,0.6057166666666666
24.9,1120000.0,125000.0,86.33333333333333,21.666666666666668,129171.0,54864.666666666664,0.6103426666666666
25.0,1105000.0,150000.0,86.0,22.333333333333332,129757.66666666667,55367.666666666664,0.6333816666666666
25.1,1100000.0,145000.0,86.33333333333333,23.333333333333332,130344.33333333333,60138.333333333336,0.629972
25.2,1085000.0,165000.0,95.33333333333333,24.666666666666668,130924.0,62571.666666666664,0.6489790000000001
25.3,1073133.3333333333,175000.0,111.33333333333333,26.0,131504.0,67795.33333333333,0.6590416666666666
25.4,1078840.0,165000.0,115.0,28.666666666666668,132179.0,71092.66666666667,0.6497713333333334
25.5,1040573.3333333334,205000.0,115.33333333333333,27.333333333333332,132884.0,73378.33333333333,0.6899003333333334
25.6,1043520.0,205000.0,115.33333333333333,25.333333333333332,133584.0,76362.33333333333,0.6893266666666666
