Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,631080.0,560.0,3.0,11.0,31856.0,14480.0,0.500887
0.5,765000.0,150520.0,30.0,18.0,66732.0,27512.0,0.689425
0.6,975000.0,270000.0,33.0,0.0,67782.0,27512.0,0.757199
0.7,1245000.0,0.0,27.0,36.0,68922.0,53576.0,0.5
0.8,720000.0,540000.0,26.0,24.0,69612.0,68056.0,0.98
0.9,915000.0,330000.0,37.0,25.0,70666.0,69504.0,0.819144
1.0,870000.0,375000.0,28.0,33.0,71362.0,70952.0,0.8635
1.1,810000.0,435000.0,34.0,30.0,72232.0,73848.0,0.9168220000000001
1.2,855000.0,405000.0,34.0,36.0,73019.0,75296.0,0.8868779999999999
1.3,780000.0,465000.0,38.0,35.0,73803.0,78192.0,0.939836
1.4,825000.0,420000.0,40.0,40.0,74587.0,79640.0,0.904306
1.5,750000.0,495000.0,43.0,35.0,75300.0,82536.0,0.9597380000000001
1.6,795000.0,450000.0,44.0,36.0,76029.0,83984.0,0.928687
1.7,780000.0,480000.0,44.0,33.0,76731.0,85432.0,0.946352
1.8,795000.0,450000.0,42.0,35.0,77406.0,88328.0,0.928687
1.9,750000.0,495000.0,44.0,36.0,78092.0,91224.0,0.9597380000000001
2.0,795000.0,450000.0,42.0,37.0,78742.0,92672.0,0.928687
2.1,735000.0,525000.0,45.0,38.0,79418.0,95568.0,0.972973
2.2,780000.0,465000.0,44.0,40.0,80068.0,97016.0,0.939836
2.3,720000.0,525000.0,46.0,41.0,80716.0,99912.0,0.9760560000000001
2.4,750000.0,495000.0,47.0,42.0,81341.0,102808.0,0.9597380000000001
2.5,750000.0,495000.0,47.0,46.0,81966.0,104256.0,0.9597380000000001
2.6,735000.0,525000.0,47.0,47.0,82566.0,107152.0,0.972973
2.7,735000.0,510000.0,46.0,53.0,83166.0,110048.0,0.968372
2.8,705000.0,540000.0,47.0,55.0,83766.0,112944.0,0.982739
2.9,735000.0,510000.0,45.0,59.0,84323.0,115840.0,0.968372
3.0,675000.0,585000.0,46.0,57.0,84875.0,117288.0,0.994924
3.1,690000.0,555000.0,46.0,56.0,85427.0,120184.0,0.988379
3.2,690000.0,555000.0,43.0,59.0,85931.0,123080.0,0.988379
3.3,645000.0,600000.0,46.0,59.0,86483.0,125976.0,0.998695
3.4,645000.0,600000.0,50.0,59.0,87035.0,128872.0,0.998695
3.5,690000.0,570000.0,50.0,65.0,87578.0,131768.0,0.991011
3.6,645000.0,600000.0,49.0,78.0,88061.0,133216.0,0.998695
3.7,675000.0,576280.0,49.0,89.0,88567.0,133216.0,0.993814
3.8,645000.0,596760.0,48.0,84.0,89050.0,133216.0,0.998493
3.9,630000.0,622880.0,50.0,82.0,89556.0,133216.0,0.999968
4.0,630000.0,611760.0,53.0,80.0,90062.0,133216.0,0.999784
4.1,675000.0,573840.0,52.0,82.0,90568.0,133216.0,0.993481
4.2,675000.0,568720.0,51.0,84.0,91074.0,133216.0,0.992751
4.3,660000.0,595360.0,50.0,84.0,91540.0,133216.0,0.997356
4.4,645000.0,595360.0,51.0,86.0,92024.0,133216.0,0.998401
4.5,660000.0,595360.0,51.0,84.0,92508.0,133216.0,0.997356
4.6,645000.0,595360.0,53.0,84.0,92992.0,133216.0,0.998401
4.7,675000.0,573840.0,54.0,84.0,93498.0,133216.0,0.993481
4.8,660000.0,595360.0,52.0,84.0,93960.0,133216.0,0.997356
4.9,675000.0,568720.0,52.0,84.0,94444.0,133216.0,0.992751
5.0,660000.0,595360.0,54.0,84.0,94950.0,133216.0,0.997356
5.1,660000.0,578960.0,54.0,84.0,95429.0,133216.0,0.99574
5.2,660000.0,590240.0,55.0,82.0,95891.0,133216.0,0.996896
5.3,675000.0,573840.0,56.0,84.0,96374.0,133216.0,0.993481
5.4,675000.0,573840.0,55.0,84.0,96836.0,133216.0,0.993481
5.5,660000.0,590240.0,56.0,82.0,97298.0,133216.0,0.996896
5.6,675000.0,573840.0,55.0,82.0,97760.0,133216.0,0.993481
5.7,675000.0,573840.0,56.0,86.0,98243.0,133216.0,0.993481
5.8,675000.0,568720.0,56.0,84.0,98705.0,133216.0,0.992751
