Time,NewReno_1_Bps,Cubic_2_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
0.4,541080.0,511080.0,9.0,30.0,31856.0,53576.0,0.9991879999999999
0.5,465000.0,780000.0,32.0,33.0,57920.0,69504.0,0.939836
0.6,570000.0,690000.0,40.0,36.0,67073.0,73848.0,0.991011
0.7,675000.0,570000.0,33.0,44.0,67662.0,76744.0,0.992937
0.8,585000.0,660000.0,27.0,54.0,68142.0,79640.0,0.996384
0.9,435000.0,810000.0,44.0,38.0,68832.0,82536.0,0.9168220000000001
1.0,660000.0,585000.0,40.0,45.0,69432.0,85432.0,0.996384
1.1,585000.0,675000.0,36.0,51.0,69941.0,89776.0,0.994924
1.2,540000.0,705000.0,40.0,50.0,70521.0,92672.0,0.982739
1.3,495000.0,750000.0,35.0,59.0,70927.0,97016.0,0.9597380000000001
1.4,525000.0,720000.0,41.0,55.0,71507.0,99912.0,0.9760560000000001
1.5,525000.0,735000.0,42.0,56.0,72029.0,102808.0,0.972973
1.6,540000.0,705000.0,37.0,66.0,72459.0,107152.0,0.982739
1.7,390000.0,855000.0,47.0,57.0,72963.0,110048.0,0.87758
1.8,600000.0,645000.0,39.0,69.0,73411.0,114392.0,0.998695
1.9,495000.0,750000.0,36.0,76.0,73831.0,118736.0,0.9597380000000001
2.0,390000.0,870000.0,43.0,70.0,74279.0,121632.0,0.8732669999999999
2.1,465000.0,780000.0,50.0,64.0,74811.0,124528.0,0.939836
2.2,465000.0,780000.0,39.0,79.0,75084.0,128872.0,0.939836
2.3,465000.0,780000.0,47.0,80.0,75597.0,133216.0,0.939836
2.4,495000.0,756040.0,44.0,103.0,76002.0,133216.0,0.958278
2.5,375000.0,876480.0,48.0,96.0,76353.0,130266.0,0.861647
2.6,465000.0,776600.0,47.0,43.0,65160.0,92672.0,0.940748
2.7,817760.0,436920.0,20.0,80.0,36939.0,92672.0,0.915639
2.8,360000.0,893040.0,15.0,73.0,37498.0,95568.0,0.8467670000000002
2.9,360000.0,885000.0,8.0,82.0,37938.0,98464.0,0.849026
3.0,255000.0,990000.0,13.0,79.0,38536.0,99912.0,0.74155
3.1,195000.0,1050000.0,27.0,67.0,39231.0,102808.0,0.679523
3.2,375000.0,870000.0,28.0,69.0,39914.0,105704.0,0.8635
3.3,390000.0,870000.0,29.0,68.0,40585.0,107152.0,0.8732669999999999
3.4,405000.0,840000.0,26.0,74.0,41196.0,110048.0,0.891203
3.5,375000.0,870000.0,17.0,85.0,41596.0,111496.0,0.8635
3.6,210000.0,1035000.0,20.0,84.0,41995.0,114392.0,0.6948760000000002
3.7,270000.0,990000.0,30.0,75.0,42681.0,115840.0,0.7538459999999999
3.8,420000.0,825000.0,30.0,75.0,43356.0,117288.0,0.904306
3.9,420000.0,825000.0,27.0,81.0,43927.0,118736.0,0.904306
4.0,300000.0,945000.0,11.0,97.0,44021.0,120184.0,0.788396
4.1,135000.0,1110000.0,32.0,80.0,44724.0,121632.0,0.619849
4.2,450000.0,810000.0,33.0,79.0,45414.0,123080.0,0.924528
4.3,465000.0,780000.0,26.0,87.0,45958.0,123080.0,0.939836
4.4,180000.0,1065000.0,20.0,94.0,46093.0,125976.0,0.66432
4.5,270000.0,975000.0,33.0,81.0,46765.0,125976.0,0.757199
4.6,465000.0,795000.0,30.0,85.0,47381.0,127424.0,0.935809
4.7,420000.0,825000.0,12.0,105.0,47601.0,128872.0,0.904306
4.8,60000.0,1185000.0,35.0,84.0,48162.0,128872.0,0.550503
4.9,495000.0,750000.0,34.0,85.0,48848.0,130320.0,0.9597380000000001
5.0,420000.0,825000.0,20.0,100.0,49142.0,130320.0,0.904306
5.1,60000.0,1200000.0,35.0,94.0,49520.0,131768.0,0.549875
5.2,495000.0,754640.0,36.0,107.0,50227.0,131768.0,0.9586169999999999
5.3,450000.0,794160.0,22.0,125.0,50555.0,131768.0,0.9289200000000001
5.4,60000.0,1191240.0,37.0,108.0,50924.0,131768.0,0.55024
5.5,525000.0,712840.0,36.0,109.0,51610.0,133216.0,0.977491
5.6,450000.0,803000.0,22.0,117.0,51930.0,136024.0,0.926468
5.7,120000.0,1123840.0,33.0,17.0,52290.0,92672.0,0.605573
5.8,465000.0,690000.0,38.0,61.0,52996.0,95568.0,0.963438
5.9,540000.0,705000.0,39.0,64.0,53698.0,98464.0,0.982739
6.0,555000.0,690000.0,26.0,77.0,54156.0,99912.0,0.988379
6.1,345000.0,900000.0,19.0,86.0,54460.0,101360.0,0.834221
6.2,225000.0,1035000.0,37.0,69.0,55068.0,104256.0,0.7075809999999999
6.3,525000.0,720000.0,40.0,69.0,55774.0,107152.0,0.9760560000000001
6.4,570000.0,675000.0,38.0,71.0,56440.0,108600.0,0.992937
6.5,435000.0,810000.0,20.0,92.0,56625.0,110048.0,0.9168220000000001
6.6,150000.0,1110000.0,40.0,74.0,57167.0,112944.0,0.632712
6.7,570000.0,675000.0,40.0,74.0,57851.0,114392.0,0.992937
6.8,570000.0,675000.0,31.0,86.0,58352.0,115840.0,0.992937
6.9,210000.0,1035000.0,27.0,91.0,58527.0,118736.0,0.6948760000000002
7.0,375000.0,870000.0,42.0,79.0,59227.0,118736.0,0.8635
7.1,600000.0,660000.0,41.0,80.0,59892.0,120184.0,0.997738
