# TCP Comparison: Bbr vs Bbr
# Simulation time: 10.000000 seconds
TimeInSeconds,Flow1ThroughputBytesPerSecond,Flow2ThroughputBytesPerSecond,JainsFairnessIndex
0.100000,560.000000,560.000000,1.000000
0.200000,0.000000,0.000000,1.000000
0.300000,59320.000000,59320.000000,1.000000
0.400000,0.000000,0.000000,1.000000
0.500000,47040.000000,47040.000000,1.000000
0.600000,58800.000000,58800.000000,1.000000
0.700000,70560.000000,64680.000000,0.998113
0.800000,141120.000000,147000.000000,0.999584
0.900000,147000.000000,147000.000000,1.000000
1.000000,199920.000000,194040.000000,0.999777
1.100000,393960.000000,393960.000000,1.000000
1.200000,417480.000000,417480.000000,1.000000
1.300000,617400.000000,617400.000000,1.000000
1.400000,611520.000000,635040.000000,0.999644
1.500000,626120.000000,619280.000000,0.999970
1.600000,620160.000000,626040.000000,0.999978
1.700000,422280.000000,462960.000000,0.997893
1.800000,17400.000000,11280.000000,0.956448
1.900000,364560.000000,305280.000000,0.992229
2.000000,617320.000000,628600.000000,0.999918
2.100000,725040.000000,520480.000000,0.973735
2.200000,668200.000000,352800.000000,0.912886
2.300000,16920.000000,540800.000000,0.531256
2.400000,354280.000000,147000.000000,0.853983
2.500000,680400.000000,564480.000000,0.991404
2.600000,623680.000000,623280.000000,1.000000
2.700000,620400.000000,629160.000000,0.999951
2.800000,631440.000000,611520.000000,0.999743
2.900000,614040.000000,629160.000000,0.999852
3.000000,344760.000000,776160.000000,0.870990
3.100000,11760.000000,629160.000000,0.518685
3.200000,565000.000000,470400.000000,0.991721
3.300000,627440.000000,623280.000000,0.999989
3.400000,619000.000000,623280.000000,0.999988
3.500000,625800.000000,623280.000000,0.999996
3.600000,620400.000000,621880.000000,0.999999
3.700000,468360.000000,778080.000000,0.941846
3.800000,17160.000000,609120.000000,0.528149
3.900000,555160.000000,11520.000000,0.520742
4.000000,740200.000000,217560.000000,0.770548
4.100000,650920.000000,593880.000000,0.997905
4.200000,682200.000000,564480.000000,0.991162
4.300000,626280.000000,617400.000000,0.999949
4.400000,619920.000000,629160.000000,0.999945
4.500000,620880.000000,623720.000000,0.999995
4.600000,581160.000000,389160.000000,0.962322
4.700000,11280.000000,11760.000000,0.999566
4.800000,416040.000000,229320.000000,0.922756
4.900000,581680.000000,664440.000000,0.995609
5.000000,655080.000000,588000.000000,0.997096
5.100000,621120.000000,627080.000000,0.999977
5.200000,626520.000000,618480.000000,0.999958
5.300000,461520.000000,784200.000000,0.937122
5.400000,22320.000000,90240.000000,0.733081
5.500000,557040.000000,40680.000000,0.572641
5.600000,657120.000000,588000.000000,0.996928
5.700000,710360.000000,535080.000000,0.980578
5.800000,619920.000000,623280.000000,0.999993
5.900000,626280.000000,623280.000000,0.999994
6.000000,620400.000000,623280.000000,0.999995
6.100000,163800.000000,652280.000000,0.736223
6.200000,5400.000000,11760.000000,0.879224
6.300000,981480.000000,194040.000000,0.690265
6.400000,479720.000000,768680.000000,0.949149
6.500000,879600.000000,364560.000000,0.853703
6.600000,541680.000000,705600.000000,0.983022
6.700000,614520.000000,630320.000000,0.999839
6.800000,620880.000000,622560.000000,0.999998
6.900000,777840.000000,469320.000000,0.942333
7.000000,180000.000000,17160.000000,0.594475
7.100000,64440.000000,299400.000000,0.705702
7.200000,634720.000000,611520.000000,0.999654
7.300000,708760.000000,535080.000000,0.980876
7.400000,629040.000000,617400.000000,0.999913
7.500000,620160.000000,623280.000000,0.999994
7.600000,620640.000000,629160.000000,0.999954
7.700000,62040.000000,425360.000000,0.642815
7.800000,175920.000000,23280.000000,0.630055
7.900000,857800.000000,388080.000000,0.875547
8.000000,540320.000000,705600.000000,0.982706
8.100000,744720.000000,499800.000000,0.962714
8.200000,614520.000000,631600.000000,0.999812
8.300000,626280.000000,618160.000000,0.999957
8.400000,360960.000000,677040.000000,0.915143
8.500000,5400.000000,17640.000000,0.779893
8.600000,690640.000000,99480.000000,0.641113
8.700000,587280.000000,658560.000000,0.996737
8.800000,265120.000000,682080.000000,0.837676
8.900000,729120.000000,517440.000000,0.971972
9.000000,623280.000000,617400.000000,0.999978
9.100000,617920.000000,629160.000000,0.999919
9.200000,627000.000000,617400.000000,0.999940
9.300000,196680.000000,576480.000000,0.805602
9.400000,16920.000000,11760.000000,0.968645
9.500000,634560.000000,341040.000000,0.916996
9.600000,617400.000000,626040.000000,0.999952
9.700000,720160.000000,529120.000000,0.977150
9.800000,620640.000000,621760.000000,0.999999
9.900000,627960.000000,620880.000000,0.999968
