# TCP Comparison: Bbr vs Cubic
# Simulation time: 10.000000 seconds
TimeInSeconds,Flow1ThroughputBytesPerSecond,Flow2ThroughputBytesPerSecond,JainsFairnessIndex
0.100000,560.000000,560.000000,1.000000
0.200000,0.000000,0.000000,1.000000
0.300000,59320.000000,59320.000000,1.000000
0.400000,0.000000,0.000000,1.000000
0.500000,47040.000000,105840.000000,0.871134
0.600000,58800.000000,0.000000,0.500000
0.700000,70560.000000,211680.000000,0.800000
0.800000,141120.000000,0.000000,0.500000
0.900000,141120.000000,423360.000000,0.800000
1.000000,188160.000000,70560.000000,0.828767
1.100000,376320.000000,776160.000000,0.892565
1.200000,341040.000000,282240.000000,0.991179
1.300000,429240.000000,817320.000000,0.911643
1.400000,764400.000000,480200.000000,0.950442
1.500000,620360.000000,626040.000000,0.999979
1.600000,733200.000000,512760.000000,0.969648
1.700000,146880.000000,5880.000000,0.539969
1.800000,0.000000,458640.000000,0.500000
1.900000,699720.000000,547440.000000,0.985310
2.000000,732520.000000,511560.000000,0.969420
2.100000,710880.000000,535080.000000,0.980481
2.200000,293280.000000,735000.000000,0.844215
2.300000,0.000000,352800.000000,0.500000
2.400000,782040.000000,417480.000000,0.915442
2.500000,629160.000000,617400.000000,0.999911
2.600000,782680.000000,464520.000000,0.938900
2.700000,400440.000000,752640.000000,0.914666
2.800000,0.000000,0.000000,1.000000
2.900000,294000.000000,370440.000000,0.986938
3.000000,805560.000000,441000.000000,0.921210
3.100000,727720.000000,493920.000000,0.964667
3.200000,507600.000000,346920.000000,0.965850
3.300000,0.000000,629160.000000,0.500000
3.400000,640920.000000,229320.000000,0.817191
3.500000,735000.000000,505680.000000,0.966965
3.600000,880240.000000,370440.000000,0.857521
3.700000,620160.000000,623280.000000,0.999994
3.800000,924960.000000,323400.000000,0.811551
3.900000,518880.000000,723240.000000,0.973645
4.000000,992640.000000,252840.000000,0.739196
4.100000,451200.000000,793800.000000,0.929606
4.200000,1060320.000000,188160.000000,0.672038
4.300000,496320.000000,746760.000000,0.960994
4.400000,992640.000000,252840.000000,0.739196
4.500000,564000.000000,682080.000000,0.991100
4.600000,924960.000000,323400.000000,0.811551
4.700000,615000.000000,629160.000000,0.999870
4.800000,873960.000000,370440.000000,0.859310
4.900000,660120.000000,588000.000000,0.996672
5.000000,828840.000000,417480.000000,0.901763
5.100000,705240.000000,540960.000000,0.982919
5.200000,783720.000000,458640.000000,0.935920
5.300000,733200.000000,511560.000000,0.969270
5.400000,755760.000000,493920.000000,0.957945
5.500000,772920.000000,470400.000000,0.944106
5.600000,693480.000000,552720.000000,0.987403
5.700000,829320.000000,417480.000000,0.901624
5.800000,659640.000000,582120.000000,0.996118
5.900000,851880.000000,393960.000000,0.880980
6.000000,625800.000000,623280.000000,0.999996
6.100000,891120.000000,352800.000000,0.842260
6.200000,564000.000000,682080.000000,0.991100
6.300000,913680.000000,329280.000000,0.818962
6.400000,530160.000000,717360.000000,0.977979
6.500000,947520.000000,299880.000000,0.787674
6.600000,496320.000000,746760.000000,0.960994
6.700000,975960.000000,270480.000000,0.757374
6.800000,467880.000000,776160.000000,0.942145
6.900000,1015200.000000,235200.000000,0.719877
7.000000,428640.000000,817320.000000,0.911316
7.100000,1049040.000000,194040.000000,0.678850
7.200000,457080.000000,787920.000000,0.934043
7.300000,1020600.000000,223440.000000,0.708917
7.400000,496320.000000,752640.000000,0.959584
7.500000,970080.000000,276360.000000,0.763499
7.600000,541440.000000,699720.000000,0.983997
7.700000,930840.000000,317520.000000,0.805558
7.800000,586560.000000,658560.000000,0.996667
7.900000,896520.000000,346920.000000,0.836566
8.000000,620400.000000,629160.000000,0.999951
8.100000,857280.000000,388080.000000,0.875697
8.200000,654240.000000,588000.000000,0.997165
8.300000,818040.000000,429240.000000,0.911437
8.400000,693480.000000,552720.000000,0.987403
8.500000,789600.000000,458640.000000,0.934318
8.600000,727800.000000,517440.000000,0.972254
8.700000,744480.000000,499800.000000,0.962771
8.800000,761160.000000,482160.000000,0.952059
8.900000,710640.000000,535080.000000,0.980525
9.000000,789600.000000,458640.000000,0.934318
9.100000,676800.000000,570360.000000,0.992769
9.200000,818040.000000,423360.000000,0.908199
9.300000,648360.000000,599760.000000,0.998486
9.400000,834720.000000,411600.000000,0.896654
9.500000,631680.000000,611520.000000,0.999737
9.600000,840600.000000,405720.000000,0.891462
9.700000,609120.000000,635040.000000,0.999566
9.800000,857280.000000,388080.000000,0.875697
9.900000,591960.000000,658560.000000,0.997172
