# TCP Comparison: NewReno vs Bbr
# Simulation time: 10.000000 seconds
TimeInSeconds,Flow1ThroughputBytesPerSecond,Flow2ThroughputBytesPerSecond,Flow1PacketLoss,Flow1PacketLossPercent,Flow2PacketLoss,Flow2PacketLossPercent,JainsFairnessIndex
0.100000,560.000000,560.000000,0,0.000000,0,0.000000,1.000000
0.200000,0.000000,0.000000,11,91.666667,11,91.666667,1.000000
0.300000,59320.000000,59320.000000,0,0.000000,0,0.000000,1.000000
0.400000,0.000000,0.000000,14,53.846154,7,36.842105,1.000000
0.500000,82320.000000,47040.000000,0,0.000000,10,33.333333,0.930769
0.600000,0.000000,58800.000000,21,44.680851,10,25.000000,0.500000
0.700000,123480.000000,64680.000000,0,0.000000,22,34.920635,0.911032
0.800000,0.000000,147000.000000,33,41.250000,22,25.000000,0.500000
0.900000,194040.000000,147000.000000,0,0.000000,28,23.529412,0.981330
1.000000,70560.000000,182280.000000,36,28.125000,62,33.695652,0.836652
1.100000,211680.000000,399840.000000,45,26.011561,59,23.694779,0.913514
1.200000,252840.000000,346920.000000,29,14.500000,117,31.967213,0.975985
1.300000,170520.000000,776160.000000,90,31.034483,117,23.493976,0.709581
1.400000,446880.000000,659000.000000,32,10.389610,153,23.647604,0.964514
1.500000,188160.000000,958280.000000,141,31.403118,89,11.835106,0.689063
1.600000,687960.000000,479400.000000,45,9.574468,187,20.000000,0.969068
1.700000,264600.000000,981600.000000,201,29.955291,85,8.440914,0.751300
1.800000,787920.000000,456600.000000,109,15.287518,196,16.346956,0.933816
1.900000,639240.000000,609120.000000,162,18.514286,150,11.895321,0.999418
2.000000,439920.000000,806760.000000,178,18.369453,134,9.654179,0.920314
2.100000,750360.000000,490920.000000,137,12.912347,103,7.132964,0.958143
2.200000,671400.000000,574800.000000,79,7.040998,1,0.069252,0.994027
2.300000,439440.000000,0.000000,1,0.089127,73,4.815303,0.500000
2.400000,0.000000,346920.000000,121,9.742351,187,11.071640,0.500000
2.500000,388080.000000,858480.000000,55,4.428341,124,6.997743,0.875351
2.600000,317520.000000,813880.000000,77,5.842185,122,6.377418,0.838596
2.700000,505680.000000,738600.000000,35,2.569750,147,7.104882,0.966145
2.800000,199920.000000,941880.000000,98,6.716929,101,4.611872,0.703106
2.900000,617400.000000,620400.000000,27,1.808439,156,6.624204,0.999994
3.000000,205800.000000,936240.000000,102,6.363069,91,3.705212,0.709684
3.100000,593880.000000,558600.000000,31,1.898347,168,6.382979,0.999064
3.200000,235200.000000,998040.000000,82,4.756381,101,3.683443,0.723263
3.300000,476280.000000,676800.000000,51,2.874859,149,5.120275,0.970647
3.400000,341040.000000,891120.000000,65,3.521127,121,3.980263,0.833816
3.500000,376320.000000,789600.000000,69,3.605016,128,4.016316,0.888378
3.600000,464520.000000,767040.000000,45,2.285424,143,4.284002,0.943095
3.700000,258720.000000,913680.000000,91,4.419621,105,3.032929,0.762144
3.800000,576240.000000,654240.000000,29,1.384248,157,4.325069,0.995998
3.900000,211680.000000,947520.000000,103,4.671202,95,2.542827,0.712784
4.000000,646800.000000,530160.000000,26,1.161752,173,4.426817,0.990274
4.100000,205800.000000,1015200.000000,89,3.809932,95,2.369077,0.694717
4.200000,517440.000000,648840.000000,47,1.973132,152,3.634625,0.987466
4.300000,317520.000000,919080.000000,71,2.886179,115,2.669452,0.808639
4.400000,411600.000000,761640.000000,66,2.613861,132,2.959641,0.918261
4.500000,441000.000000,795000.000000,51,1.972921,137,2.974381,0.924189
4.600000,294000.000000,879840.000000,87,3.257207,111,2.343750,0.800589
4.700000,564480.000000,671400.000000,29,1.070506,160,3.262643,0.992571
4.800000,211680.000000,952920.000000,100,3.551136,99,1.975259,0.711692
4.900000,664440.000000,575280.000000,25,0.875964,165,3.185328,0.994854
5.000000,194040.000000,981360.000000,98,3.310811,90,1.704868,0.690286
5.100000,570360.000000,615000.000000,41,1.366667,158,2.895894,0.998584
5.200000,288120.000000,941640.000000,79,2.559119,111,1.990674,0.779783
5.300000,458640.000000,739080.000000,61,1.938354,136,2.372645,0.948026
5.400000,411600.000000,817560.000000,57,1.774043,133,2.264215,0.901647
5.500000,329280.000000,863160.000000,81,2.459763,114,1.897470,0.833018
5.600000,535080.000000,688080.000000,37,1.107784,156,2.527544,0.984595
5.700000,223440.000000,970080.000000,101,2.934340,96,1.527689,0.718727
5.800000,640920.000000,591960.000000,32,0.919012,161,2.494577,0.998425
5.900000,229320.000000,970080.000000,108,3.002502,87,1.327839,0.723882
6.000000,629160.000000,575280.000000,33,0.909341,165,2.450980,0.998003
6.100000,246960.000000,981360.000000,87,2.335570,104,1.519357,0.736663
6.200000,505680.000000,699360.000000,57,1.507538,141,2.012561,0.974818
6.300000,370440.000000,857280.000000,67,1.738454,126,1.763965,0.864122
6.400000,388080.000000,818040.000000,75,1.909369,122,1.674904,0.887249
6.500000,493920.000000,733200.000000,47,1.179719,148,1.989247,0.963370
6.600000,270480.000000,947520.000000,97,2.377451,98,1.296639,0.763952
6.700000,611520.000000,609120.000000,36,0.873151,160,2.070393,0.999996
6.800000,264600.000000,952920.000000,101,2.386015,95,1.212972,0.757796
6.900000,658560.000000,558600.000000,29,0.678680,169,2.111181,0.993301
7.000000,223440.000000,998040.000000,93,2.125714,101,1.244762,0.713193
7.100000,540960.000000,676800.000000,50,1.130199,148,1.787224,0.987710
7.200000,346920.000000,885720.000000,73,1.620062,121,1.438592,0.839584
7.300000,423360.000000,795000.000000,71,1.551573,127,1.483992,0.914875
7.400000,470400.000000,761640.000000,53,1.142734,143,1.641980,0.947078
7.500000,305760.000000,919080.000000,94,1.986895,103,1.166214,0.799530
7.600000,605640.000000,631680.000000,33,0.691389,163,1.810307,0.999557
7.700000,246960.000000,970080.000000,101,2.068401,95,1.043039,0.739082
7.800000,682080.000000,552720.000000,30,0.608766,167,1.799957,0.989144
7.900000,229320.000000,992640.000000,99,1.965846,95,1.012577,0.719315
8.000000,576240.000000,642960.000000,47,0.924833,153,1.601423,0.997014
8.100000,317520.000000,924960.000000,81,1.566731,115,1.188017,0.807092
8.200000,470400.000000,755760.000000,67,1.279603,131,1.332655,0.948621
8.300000,446880.000000,795480.000000,60,1.131008,138,1.383043,0.927013
8.400000,346920.000000,885240.000000,87,1.613801,111,1.098140,0.839719
8.500000,576240.000000,660120.000000,37,0.680272,162,1.576489,0.995418
8.600000,258720.000000,964200.000000,101,1.820804,97,0.934309,0.750304
8.700000,646800.000000,597840.000000,35,0.626006,162,1.535108,0.998455
