# TCP Comparison: NewReno vs Cubic
# Simulation time: 10.000000 seconds
TimeInSeconds,Flow1ThroughputBytesPerSecond,Flow2ThroughputBytesPerSecond,JainsFairnessIndex
0.100000,560.000000,560.000000,1.000000
0.200000,0.000000,0.000000,1.000000
0.300000,59320.000000,59320.000000,1.000000
0.400000,0.000000,0.000000,1.000000
0.500000,82320.000000,105840.000000,0.984615
0.600000,0.000000,0.000000,1.000000
0.700000,123480.000000,211680.000000,0.935233
0.800000,0.000000,0.000000,1.000000
0.900000,194040.000000,423360.000000,0.878766
1.000000,52920.000000,29400.000000,0.924528
1.100000,229320.000000,817320.000000,0.760100
1.200000,135240.000000,188160.000000,0.973921
1.300000,288120.000000,958440.000000,0.775699
1.400000,299880.000000,551600.000000,0.919629
1.500000,335160.000000,908040.000000,0.824847
1.600000,458640.000000,614520.000000,0.979337
1.700000,493920.000000,750360.000000,0.959255
1.800000,646800.000000,597840.000000,0.998455
1.900000,570360.000000,676800.000000,0.992769
2.000000,616080.000000,631200.000000,0.999853
2.100000,626040.000000,615000.000000,0.999921
2.200000,620160.000000,626760.000000,0.999972
2.300000,423240.000000,140760.000000,0.799455
2.400000,11280.000000,10800.000000,0.999528
2.500000,446880.000000,781760.000000,0.930848
2.600000,263800.000000,455440.000000,0.933712
2.700000,552720.000000,693840.000000,0.987346
2.800000,152880.000000,593880.000000,0.741427
2.900000,640920.000000,605640.000000,0.999200
3.000000,105840.000000,687960.000000,0.650289
3.100000,670320.000000,464520.000000,0.968160
3.200000,223440.000000,711480.000000,0.785856
3.300000,488040.000000,464520.000000,0.999391
3.400000,352800.000000,805560.000000,0.867473
3.500000,364560.000000,540960.000000,0.963438
3.600000,446880.000000,793800.000000,0.927482
3.700000,276360.000000,664440.000000,0.854587
3.800000,564480.000000,676200.000000,0.991957
3.900000,152880.000000,805560.000000,0.683183
4.000000,652680.000000,593880.000000,0.997780
4.100000,158760.000000,817320.000000,0.687182
4.200000,629160.000000,529200.000000,0.992608
4.300000,329280.000000,770280.000000,0.861433
4.400000,399840.000000,635040.000000,0.950884
4.500000,417480.000000,829080.000000,0.901693
4.600000,317520.000000,740880.000000,0.862069
4.700000,505680.000000,740880.000000,0.965624
4.800000,223440.000000,846720.000000,0.746709
4.900000,617400.000000,629160.000000,0.999911
5.000000,152880.000000,940800.000000,0.658319
5.100000,664440.000000,582120.000000,0.995658
5.200000,270480.000000,840840.000000,0.791513
5.300000,517440.000000,611520.000000,0.993103
5.400000,364560.000000,882000.000000,0.853022
5.500000,376320.000000,758520.000000,0.898129
5.600000,464520.000000,782040.000000,0.939072
5.700000,282240.000000,876120.000000,0.791859
5.800000,576240.000000,664440.000000,0.994972
5.900000,176400.000000,993720.000000,0.672092
6.000000,676200.000000,558600.000000,0.991011
6.100000,229320.000000,953000.000000,0.727459
6.200000,605640.000000,577680.000000,0.999442
6.300000,341040.000000,905640.000000,0.829805
6.400000,417480.000000,772920.000000,0.918143
6.500000,446880.000000,795000.000000,0.927147
6.600000,317520.000000,879840.000000,0.819299
6.700000,546840.000000,699360.000000,0.985242
6.800000,223440.000000,981360.000000,0.716463
6.900000,658560.000000,586560.000000,0.996667
7.000000,182280.000000,1015200.000000,0.673943
7.100000,687960.000000,552720.000000,0.988257
7.200000,323400.000000,891120.000000,0.820679
7.300000,458640.000000,750360.000000,0.944982
7.400000,411600.000000,834720.000000,0.896654
7.500000,370440.000000,846000.000000,0.867425
7.600000,517440.000000,727320.000000,0.972356
7.700000,258720.000000,953400.000000,0.752753
7.800000,617400.000000,625800.000000,0.999954
7.900000,205800.000000,1003920.000000,0.696729
8.000000,676200.000000,569880.000000,0.992773
8.100000,305760.000000,907800.000000,0.802498
8.200000,540960.000000,682680.000000,0.986764
8.300000,376320.000000,868560.000000,0.864790
8.400000,417480.000000,812160.000000,0.906599
8.500000,482160.000000,761160.000000,0.952059
8.600000,305760.000000,919560.000000,0.799404
8.700000,588000.000000,648360.000000,0.997622
8.800000,211680.000000,1021080.000000,0.698767
8.900000,693840.000000,546840.000000,0.986156
9.000000,270480.000000,958800.000000,0.761307
9.100000,617400.000000,620400.000000,0.999994
9.200000,364560.000000,879840.000000,0.853635
9.300000,435120.000000,800880.000000,0.919481
9.400000,476280.000000,767040.000000,0.948146
9.500000,329280.000000,913680.000000,0.818962
9.600000,576240.000000,660120.000000,0.995418
9.700000,223440.000000,1015200.000000,0.709925
9.800000,687960.000000,552720.000000,0.988257
9.900000,229320.000000,1009320.000000,0.716050
