# TCP Comparison: NewReno vs NewReno
# Simulation time: 10.000000 seconds
TimeInSeconds,Flow1ThroughputBytesPerSecond,Flow2ThroughputBytesPerSecond,Flow1PacketLoss,Flow1PacketLossPercent,Flow2PacketLoss,Flow2PacketLossPercent,JainsFairnessIndex
0.100000,560.000000,560.000000,0,0.000000,0,0.000000,1.000000
0.200000,0.000000,0.000000,11,91.666667,11,91.666667,1.000000
0.300000,59320.000000,59320.000000,0,0.000000,0,0.000000,1.000000
0.400000,0.000000,0.000000,14,53.846154,14,53.846154,1.000000
0.500000,82320.000000,82320.000000,0,0.000000,0,0.000000,1.000000
0.600000,0.000000,0.000000,21,44.680851,21,44.680851,1.000000
0.700000,123480.000000,123480.000000,0,0.000000,0,0.000000,1.000000
0.800000,0.000000,0.000000,33,41.250000,33,41.250000,1.000000
0.900000,194040.000000,194040.000000,0,0.000000,0,0.000000,1.000000
1.000000,52920.000000,29400.000000,39,30.468750,43,33.593750,0.924528
1.100000,229320.000000,252840.000000,33,20.496894,21,14.093960,0.997626
1.200000,194040.000000,129360.000000,39,19.500000,50,25.000000,0.961538
1.300000,229320.000000,294000.000000,63,23.954373,51,20.318725,0.984954
1.400000,299880.000000,264600.000000,57,18.506494,63,20.454545,0.996109
1.500000,335160.000000,370440.000000,96,23.762376,81,20.822622,0.997506
1.600000,458640.000000,346920.000000,84,17.872340,103,21.914894,0.981129
1.700000,493920.000000,605640.000000,126,21.140940,114,19.520548,0.989782
1.800000,676200.000000,370440.000000,128,17.952314,180,25.245442,0.921368
1.900000,570360.000000,676200.000000,155,18.518519,151,18.898623,0.992843
2.000000,625920.000000,622800.000000,154,16.279070,147,16.279070,0.999994
2.100000,620640.000000,620640.000000,62,6.431535,38,4.203540,1.000000
2.200000,327600.000000,191760.000000,6,0.621118,7,0.771775,0.935970
2.300000,11280.000000,16920.000000,125,11.499540,122,11.902439,0.961538
2.400000,446160.000000,688160.000000,50,4.595588,7,0.680934,0.956466
2.500000,264800.000000,135240.000000,101,8.523207,100,8.741259,0.905067
2.600000,676200.000000,564480.000000,10,0.827130,48,4.040404,0.991957
2.700000,35280.000000,364560.000000,123,9.262048,64,5.055292,0.595876
2.800000,699720.000000,352800.000000,8,0.600601,82,6.101190,0.902004
2.900000,82320.000000,517440.000000,110,7.596685,36,2.597403,0.655164
3.000000,623280.000000,188160.000000,30,2.035278,103,6.936027,0.776672
3.100000,205800.000000,629160.000000,90,5.736138,18,1.194426,0.795487
3.200000,505680.000000,82320.000000,58,3.573629,112,6.934985,0.658588
3.300000,376320.000000,693840.000000,62,3.666470,6,0.368777,0.919090
3.400000,341040.000000,76440.000000,88,4.957746,112,6.414662,0.713416
3.500000,611520.000000,635040.000000,22,1.213458,38,2.134831,0.999644
3.600000,117600.000000,305760.000000,125,6.456612,76,4.064171,0.835052
3.700000,711480.000000,423360.000000,6,0.309598,77,3.962944,0.939445
3.800000,58800.000000,488040.000000,116,5.636540,44,2.207727,0.618758
3.900000,658560.000000,235200.000000,24,1.154957,98,4.695736,0.816742
4.000000,170520.000000,611520.000000,98,4.493352,22,1.040189,0.758729
4.100000,552720.000000,105840.000000,48,2.157303,115,5.166217,0.684716
4.200000,346920.000000,676200.000000,69,2.993492,12,0.536193,0.906142
4.300000,382200.000000,64680.000000,79,3.319328,123,5.211864,0.664519
4.400000,540960.000000,699720.000000,37,1.522634,30,1.257334,0.983890
4.500000,194040.000000,258720.000000,116,4.563336,85,3.420523,0.980000
4.600000,729120.000000,488040.000000,6,0.234742,64,2.512760,0.962250
4.700000,23520.000000,458640.000000,125,4.665920,50,1.914975,0.551148
4.800000,711480.000000,270480.000000,18,0.668400,94,3.480193,0.832160
4.900000,135240.000000,588000.000000,107,3.814617,28,1.023766,0.718444
5.000000,605640.000000,141120.000000,38,1.338499,115,4.040759,0.721010
5.100000,299880.000000,664440.000000,80,2.728513,16,0.559441,0.874951
5.200000,446880.000000,70560.000000,68,2.269693,126,4.225352,0.654054
5.300000,476280.000000,729120.000000,49,1.602354,20,0.666667,0.957857
5.400000,264600.000000,211680.000000,106,3.354430,95,3.053680,0.987805
5.500000,711480.000000,535080.000000,12,0.376530,58,1.832543,0.980368
5.600000,47040.000000,435120.000000,130,3.923936,58,1.790676,0.606859
5.700000,740880.000000,317520.000000,14,0.421306,91,2.736019,0.862069
5.800000,105840.000000,576240.000000,115,3.341081,33,0.980392,0.677679
5.900000,652680.000000,170520.000000,32,0.922190,114,3.279632,0.744568
6.000000,241080.000000,682080.000000,91,2.549020,16,0.457928,0.814197
6.100000,511560.000000,70560.000000,62,1.708931,125,3.457815,0.635356
6.200000,411600.000000,746760.000000,62,1.676582,12,0.330670,0.922750
6.300000,341040.000000,158760.000000,97,2.558692,105,2.800747,0.882604
6.400000,652680.000000,593880.000000,22,0.574863,52,1.369502,0.997780
6.500000,117600.000000,388080.000000,132,3.335861,69,1.778351,0.777544
6.600000,752640.000000,382200.000000,8,0.201969,88,2.219980,0.903707
6.700000,82320.000000,540960.000000,121,2.959883,42,1.047382,0.648730
6.800000,687960.000000,223440.000000,26,0.632603,109,2.648846,0.793795
6.900000,188160.000000,670320.000000,102,2.418208,21,0.507124,0.760200
7.000000,576240.000000,99960.000000,53,1.242090,122,2.864522,0.668402
7.100000,370440.000000,723240.000000,72,1.655553,11,0.257551,0.905749
7.200000,399840.000000,135240.000000,84,1.896591,117,2.659091,0.803513
7.300000,576240.000000,664440.000000,38,0.848025,44,0.990991,0.994972
7.400000,211680.000000,329280.000000,121,2.630435,80,1.765225,0.954874
7.500000,770280.000000,458640.000000,6,0.129983,78,1.692708,0.939578
7.600000,47040.000000,517440.000000,128,2.697008,49,1.049925,0.590164
7.700000,729120.000000,264600.000000,20,0.419992,104,2.181666,0.820671
7.800000,152880.000000,646800.000000,111,2.275056,26,0.541780,0.723857
7.900000,629160.000000,129360.000000,44,0.894491,123,2.501017,0.697268
8.000000,335160.000000,711480.000000,81,1.615799,16,0.324412,0.885523
8.100000,452760.000000,117600.000000,74,1.455833,126,2.489135,0.743324
8.200000,505680.000000,729120.000000,53,1.029526,34,0.667452,0.968294
8.300000,294000.000000,282240.000000,109,2.074610,90,1.731435,0.999584
8.400000,735000.000000,505680.000000,14,0.264951,73,1.385988,0.966965
8.500000,58800.000000,511560.000000,136,2.511078,54,1.012184,0.613444
8.600000,776160.000000,294000.000000,16,0.294768,100,1.841282,0.831259
8.700000,123480.000000,623280.000000,118,2.125743,32,0.585116,0.690631
